Unnamed: 0,name,smiles,stoichiometry,occurrence,parent_metal_occurrences,metal_bond_node_idx_groups,charge,custom_mol,connect_id,enriched_mol,enriched_smiles
0,ligand0-0,N1(Cc2c3c(cccc3)cc3c2cccc3)[C]N(C=C1)CC,C20H18N2,4,"{'Pd': ['UKEBAN-subgraph-3', 'IRIXUC-subgraph-2', 'UKEBAN-subgraph-0', 'IRIXUC-subgraph-0'], 'Ni': ['IRIXOW-subgraph-0', 'IRIXOW-subgraph-2'], 'Pt': ['IRIYAJ-subgraph-2', 'IRIYAJ-subgraph-0']}","{'UKEBAN-subgraph-0': [[2]], 'UKEBAN-subgraph-3': [[0]], 'IRIXOW-subgraph-0': [[1]], 'IRIXOW-subgraph-2': [[0]], 'IRIXUC-subgraph-0': [[1]], 'IRIXUC-subgraph-2': [[0]], 'IRIYAJ-subgraph-0': [[1]], 'IRIYAJ-subgraph-2': [[0]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c33692b0>,[[2]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba6890>,[Be]=[C]1N(CC)C=CN1Cc1c2ccccc2cc2ccccc12
29,ligand31-0,Oc1c(/C=N/c2cnccc2N)cc(cc1C(C)(C)C)C(C)(C)C,C20H27N3O,1,{'Re': ['DAPJUC-subgraph-0']},{'DAPJUC-subgraph-0': [[33]]},0,<rdkit.Chem.rdchem.Mol object at 0x7710c3369350>,[[33]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba68e0>,[Li]<-n1ccc(N)c(N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c1
31,ligand33-0,c1ccnc2-c3c(C(=O)c12)cccn3,C11H6N2O,9,"{'Zn': ['NUJDED-subgraph-2', 'UHEKEY-subgraph-1', 'NUJDED-subgraph-0', 'UHEKEY-subgraph-3', 'UHEKAU-subgraph-2'], 'Cu': ['UFUSUJ-subgraph-2', 'UFUSUJ-subgraph-1'], 'Pd': ['IMIYIO-subgraph-0', 'IMIYIO-subgraph-2'], 'Cd': ['YIHNUA-subgraph-2', 'OJUJUY-subgraph-2'], 'Ni': ['NAPRIH-subgraph-3', 'NAPRIH-subgraph-1'], 'Ru': ['WUSTOV-subgraph-4']}","{'UHEKAU-subgraph-2': [[8]], 'UFUSUJ-subgraph-1': [[0]], 'UFUSUJ-subgraph-2': [[0]], 'UHEKEY-subgraph-1': [[0]], 'UHEKEY-subgraph-3': [[0]], 'IMIYIO-subgraph-0': [[10]], 'IMIYIO-subgraph-2': [[11]], 'OJUJUY-subgraph-2': [[9]], 'NAPRIH-subgraph-1': [[8]], 'NAPRIH-subgraph-3': [[8]], 'WUSTOV-subgraph-4': [[11]], 'YIHNUA-subgraph-2': [[13]], 'NUJDED-subgraph-0': [[3]], 'NUJDED-subgraph-2': [[3]]}",0,<rdkit.Chem.rdchem.Mol object at 0x7710c33693f0>,[[0]],<rdkit.Chem.rdchem.Mol object at 0x7710c2ba6930>,[Li]<-n1cccc2c1-c1ncccc1C2=O
