tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand5-0,[H]/C(=N\C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])[H])c1nc([H])c([H])c([H])c1[H],"[[0], [10]]",CN(C)CCN1=Cc2ccccn2->[Ir]<-1
ligand7-0,[H]c1nc(-c2nc(C(F)(F)F)c([H])c(C(F)(F)F)n2)c([H])c([H])c1[H],"[[11], [14]]",FC(F)(F)c1cc(C(F)(F)F)n2->[Ir]<-n3ccccc3-c2n1
ligand21-0,[H]N([H])C([H])([H])C([H])([H])N([H])[H],"[[0], [9]]",C1CN->[Ir]<-N1
ligand32-0,[H]c1nc(-c2nc([H])c([H])c(C([H])([H])[H])c2[H])c([H])c(C([H])([H])[H])c1[H],"[[6], [13]]",Cc1ccn2->[Ir]<-n3ccc(C)cc3-c2c1
ligand46-0,[H]OC(=O)c1c([H])c([H])c(C([H])([H])n2nc(-c3nc([H])c([H])c([H])c3[H])c([H])c2[H])c([H])c1[H],"[[18], [25]]",O=C(O)c1ccc(Cn2ccc3-c4ccccn4->[Ir]<-n32)cc1
ligand64-0,[H]c1c([H])c([H])c2c(nc(C([H])([H])N([H])C([H])([H])c3nc4c([H])c([H])c([H])c([H])c4n3[H])n2[H])c1[H],"[[13], [23]]",c1ccc2c(c1)[nH]c1CNCc3[nH]c4ccccc4n3->[Ir]<-n12
ligand85-0,[H]c1c(C([H])([H])[H])nc2c(c1[H])c([H])c([H])c1c([H])c([H])c(C([H])([H])[H])nc12,"[[0], [8]]",Cc1ccc2ccc3ccc(C)n4->[Ir]<-n1c2c34
ligand92-0,[H]C([H])([H])C(P(C([H])([H])C([H])([H])P(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"[[0], [13]]",CC(C)(C)P1(CCP(->[Ir]<-1)(C(C)(C)C)C(C)(C)C)C(C)(C)C
ligand98-0,[H]c1nc2c(OC([H])([H])C([H])([H])C([H])([H])Oc3c([H])c([H])c([H])c4c([H])c([H])c([H])nc34)c([H])c([H])c([H])c2c([H])c1[H],"[[10], [30]]",c1cc2OCCCOc3cccc4cccn(->[Ir]<-n5cccc(c1)c25)c34
ligand109-0,[H]c1nc(-c2nc([H])c([H])c([H])c2[H])c(-c2nc([H])c([H])c([H])c2[H])nc1[H],"[[0], [9]]",c1ccc(-c2nccn3->[Ir]<-n4ccccc4-c23)nc1
ligand115-0,[H]c1nc(-c2nc([H])c([H])c([H])c2[H])c([H])c([H])c1[H],"[[1], [10]]",c1ccn2->[Ir]<-n3ccccc3-c2c1
ligand116-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C(N([H])[H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [13]]",c1ccc(P2(->[Ir]<-Nc3ccccc32)c2ccccc2)cc1
ligand123-0,[H]N(C([H])([H])C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H],"[[0], [11]]",CC(C)N1CCN(->[Ir]<-1)C(C)C
ligand124-0,[H]C([H])(P1[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H])C([H])([H])P1[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H],"[[0], [14]]",CC1CCC(C)P12CCP1(->[Ir]<-2)C(C)CCC1C
ligand131-0,[H]c1c([H])c([H])c(N([H])[H])c(N([H])[H])c1[H],"[[0], [9]]",c1ccc2N->[Ir]<-Nc2c1
ligand138-0,[H]C1=C([H])C([H])=C(SC([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [7]]",c1ccc(S2CP(->[Ir]<-2)(c2ccccc2)c2ccccc2)cc1
ligand152-0,[H]C([H])([H])C(SC([H])([H])C([H])([H])SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],"[[0], [9]]",CC(C)(C)S1CCS(->[Ir]<-1)C(C)(C)C
