,enriched_smiles,name
0,CN(C)CCN(->[Ir])=Cc1ccccn1->[Ir],ligand5-0
1,FC(F)(F)c1cc(C(F)(F)F)n(->[Ir])c(-c2ccccn2->[Ir])n1,ligand7-0
2,[Ir]<-NCCN->[Ir],ligand21-0
3,Cc1ccn(->[Ir])c(-c2cc(C)ccn2->[Ir])c1,ligand32-0
4,O=C(O)c1ccc(Cn2ccc(-c3ccccn3->[Ir])n2->[Ir])cc1,ligand46-0
5,[Ir]<-n1c(CNCc2[nH]c3ccccc3n2->[Ir])[nH]c2ccccc21,ligand64-0
6,Cc1ccc2ccc3ccc(C)n(->[Ir])c3c2n1->[Ir],ligand85-0
7,CC(C)(C)P(->[Ir])(CCP(->[Ir])(C(C)(C)C)C(C)(C)C)C(C)(C)C,ligand92-0
8,[Ir]<-n1cccc2cccc(OCCCOc3cccc4cccn(->[Ir])c34)c21,ligand98-0
9,[Ir]<-n1ccccc1-c1c(-c2ccccn2)nccn1->[Ir],ligand109-0
10,[Ir]<-n1ccccc1-c1ccccn1->[Ir],ligand115-0
11,[Ir]<-Nc1ccccc1P(->[Ir])(c1ccccc1)c1ccccc1,ligand116-0
12,CC(C)N(->[Ir])CCN(->[Ir])C(C)C,ligand123-0
13,CC1CCC(C)P1(->[Ir])CCP1(->[Ir])C(C)CCC1C,ligand124-0
14,[Ir]<-Nc1ccccc1N->[Ir],ligand131-0
15,[Ir]<-S(CP(->[Ir])(c1ccccc1)c1ccccc1)c1ccccc1,ligand138-0
16,CC(C)(C)S(->[Ir])CCS(->[Ir])C(C)(C)C,ligand152-0
17,Clc1ccc(-n2ccc(-c3ccccc3)n2->[Ir])n(->[Ir])n1,ligand158-0
18,[Ir]<-NCCP(=O->[Ir])(c1ccccc1)c1ccccc1,ligand164-0
19,[Ir]<-S(c1ccccc1)c1cccc2cccc(P(->[Ir])(c3ccccc3)c3ccccc3)c12,ligand167-0
20,NC1=N(->[Ir])C(=Nc2sccn2->[Ir])c2ccccc21,ligand171-0
21,COC(=O)CC(CCP(->[Ir])(c1ccccc1)c1ccccc1)P(->[Ir])(c1ccccc1)c1ccccc1,ligand173-0
22,[Be]=[C]1N(C)C=CN1CCCCCCCCN1C=CN(C)[C]1=[Be],ligand180-0
