tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES
ligand0-0,[H]C1=C([H])C2=C(C([H])=C1[H])/C(C([H])([H])N1CN(C([H])([H])C([H])([H])[H])C([H])=C1[H])=C1/C([H])=C([H])C([H])=C([H])/C1=C/2[H],[[2]],[Be]=[C]1N(CC)C=CN1Cc1c2ccccc2cc2ccccc12
ligand31-0,[H]Oc1c(/C([H])=N/c2c([H])nc([H])c([H])c2N([H])[H])c([H])c(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],[[33]],[Li]<-n1ccc(N)c(N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c1
ligand33-0,[H]c1nc2c(c([H])c1[H])C(=O)c1c-2nc([H])c([H])c1[H],[[0]],[Li]<-n1cccc2c1-c1ncccc1C2=O
ligand38-0,[H]C([H])([H])P(C([H])([H])[H])C([H])([H])[H],[[0]],[Li]<-P(C)(C)C
ligand41-0,[H]c1nc([H])n(C([H])([H])n2nnc3c([H])c([H])c([H])c([H])c32)c1[H],[[0]],[Li]<-n1ccn(Cn2nnc3ccccc32)c1
ligand51-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[0]],[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1
ligand53-0,[H]C1=C([H])C(OC([H])([H])[H])=C(C([H])([H])N2CN(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])=C2[H])C([H])=C1[H],[[2]],[Be]=[C]1N(Cc2ccccc2OC)C=CN1C(C)(C)C
ligand61-0,[H]C1=C([H])C([H])=C(P(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H])C([H])=C1[H],[[0]],[Li]<-P(OCC)(OCC)c1ccccc1
ligand62-0,[H]c1nn([H])c([H])c1[H],[[0]],[Li]<-n1ccc[nH]1
ligand67-0,[H]C1=C([H])C([H])=C(P(C([H])([H])[H])C([H])([H])[H])C([H])=C1[H],[[0]],[Li]<-P(C)(C)c1ccccc1
ligand75-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])C2=C(C3=C([H])C([H])=C(C([H])([H])[H])S3)SC(C3=C([H])C([H])=C(C([H])([H])[H])S3)=C2[H])C([H])=C1[H],[[25]],[Li]<-P(CCc1cc(-c2ccc(C)s2)sc1-c1ccc(C)s1)(c1ccccc1)c1ccccc1
ligand82-0,[H]c1oc(/C(=N\N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])[H])c([H])c1[H],[[0]],[Li]<-S=C(NC)NN=C(C)c1ccco1
ligand86-0,[H]C1=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C(N2CN(C3=C(C([H])([H])[H])C([H])=C(C([H])([H])[H])C([H])=C3C([H])([H])[H])C([H])([H])C2([H])[H])=C1C([H])([H])[H],[[0]],[Be]=[C]1N(c2c(C)cc(C)cc2C)CCN1c1c(C)cc(C)cc1C
ligand100-0,[H]c1c(C([H])([H])[H])nn([H])c1C([H])([H])[H],[[0]],[Li]<-n1[nH]c(C)cc1C
