,enriched_smiles,name
0,[Be]=[C]1N(CC)C=CN1Cc1c2ccccc2cc2ccccc12,ligand0-0
1,[Li]<-n1ccc(N)c(N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c1,ligand31-0
2,[Li]<-n1cccc2c1-c1ncccc1C2=O,ligand33-0
3,[Li]<-P(C)(C)C,ligand38-0
4,[Li]<-n1ccn(Cn2nnc3ccccc32)c1,ligand41-0
5,[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1,ligand51-0
6,[Be]=[C]1N(Cc2ccccc2OC)C=CN1C(C)(C)C,ligand53-0
7,[Li]<-P(OCC)(OCC)c1ccccc1,ligand61-0
8,[Li]<-n1ccc[nH]1,ligand62-0
9,[Li]<-P(C)(C)c1ccccc1,ligand67-0
10,[Li]<-P(CCc1cc(-c2ccc(C)s2)sc1-c1ccc(C)s1)(c1ccccc1)c1ccccc1,ligand75-0
11,[Li]<-S=C(NC)NN=C(C)c1ccco1,ligand82-0
12,[Be]=[C]1N(c2c(C)cc(C)cc2C)CCN1c1c(C)cc(C)cc1C,ligand86-0
13,[Li]<-n1[nH]c(C)cc1C,ligand100-0
14,[Li]<-P(c1ccccc1-c1c(OC)cccc1OC)(C1CCCCC1)C1CCCCC1,ligand101-0
15,[Be]=[C]1N(c2c(C)cc(C)cc2C)CCCN1c1c(C)cc(C)cc1C,ligand104-0
16,[Li]<-N#Cc1ccc(-n2cccc2)cc1,ligand106-0
17,[Li]<-NC(C)C,ligand119-0
18,[Li]<-O=Cc1ccccc1,ligand129-0
19,[Be]=[C]1C(C)=C(C)N(C)N1C,ligand132-0
20,[Li]<-[S+](C)(C)[O-],ligand133-0
21,[Li]<-Nc1ccccc1N,ligand135-0
22,[Li]<-P(CC)(CC)CC,ligand141-0
23,[Li]<-n1cccc2ccccc21,ligand166-0
24,[Be]=[C]1OCC(=C)N1c1ccccc1,ligand168-0
25,[Li]<-n1cn(CCCC)c2ccccc21,ligand174-0
26,[Li]<-N(c1ccccc1)=P(c1ccccc1)(c1ccccc1)c1ccccc1,ligand175-0
27,[Li]<-n1ccc(C)cc1,ligand177-0
28,[Li]<-n1ccccc1,ligand188-0
29,[Li]<-N(O)=C1CCCC1,ligand191-0
30,[Be]=[C](NC)OC,ligand204-0
31,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=CN1c1c(C(C)C)cccc1C(C)C,ligand206-0
32,[Be]=[C]1N(Cc2ccccc2)C=NN1C(C)C,ligand208-0
33,[Be]=[C](C)NP(N(C(C)C)C(C)C)N(C(C)C)C(C)C,ligand215-0
34,[Li]<-Nc1ccccc1C,ligand222-0
35,[Li]<-P(c1cccnc1)(c1cccnc1)c1cccnc1,ligand223-0
36,[Be]=[C]1N([C]c2c3ccccc3cc3ccccc23)C=CN1CCCC,ligand227-0
37,[Li]<-P(c1ccccc1)(c1ccccc1)c1cccc2c1Oc1ccccc1C2(C)C,ligand239-0
38,[Li]<-P(c1ccccc1C)(c1ccccc1C)c1ccccc1C,ligand244-0
39,[Li]<-P(C(C)C)(C(C)C)C(C)C,ligand250-0
40,[Li]<-n1cn(C)c2cc(C)c(C)cc21,ligand257-0
41,[Be]=[C]1N(c2c(C)cc(C)cc2C)C=C(OC(=O)C(C)(C)C)N1c1c(C)cc(C)cc1C,ligand293-0
42,[Li]<-P(C(C)(C)C)(C(C)(C)C)C(C)(C)C,ligand296-0
43,[Li]<-n1ccccc1C(N)=O,ligand307-0
44,[Li]<-S=C(C=C(OCC)c1ccccc1)c1ccccc1,ligand318-0
45,[Li]<-O1CCCC1,ligand326-0
46,[Li]<-S=c1n(CC)ccn1CC,ligand330-0
47,[Be]=[C]1Nc2ccccc2N1COC,ligand357-0
48,[Li]<-n1ccn(C)c1,ligand361-0
49,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=C2C=Cc3cccnc3N12,ligand363-0
50,[Li]<-S=Cc1ccc(Cl)cc1,ligand376-0
51,[Li]<-P(Nc1ccc(F)cc1)(c1ccccc1)c1ccccc1,ligand377-0
52,[Be]=[C]1N(C(C)C)C=CN1C(C)C,ligand383-0
53,[Li]<-P(c1c(OC)cc(OC)cc1OC)(c1c(OC)cc(OC)cc1OC)c1c(OC)cc(OC)cc1OC,ligand389-0
54,[Be]=[C]1N2C=CC=CC2=C2C=CC=CN12,ligand106-0
55,[Li]<-n1cccc(CC)c1,ligand222-0
56,[Li]<-P(N(C)C)(N(C)C)N(C)C,ligand399-0
57,[Be]=[C]1N(c2c(C(C)C)cccc2C(C)C)C=CN1C(c1ccccc1)c1ccccc1,ligand403-0
58,[Be]=[C]1N(C(C)c2cccc3ccccc23)C=CN1C(C)c1cccc2ccccc12,ligand410-0
59,[Li]<-n1c(C)n(Cn2nnc3ccccc32)c2ccccc21,ligand417-0
60,[Li]<-n1c(C)csc1N,ligand419-0
61,[Li]<-n1c(C)cc(C)n1Cc1cccc(O)c1,ligand433-0
62,[Be]=[C](C)NCc1ccccc1,ligand437-0
63,[Be]=[C]1N(CC(C)(C)O)C=CN1CC(C)(C)O,ligand438-0
64,[Li]<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,ligand447-0
65,[Li]<-N(=Cc1ccc(Cl)cc1)Cc1ccc(Cl)cc1,ligand458-0
66,[Li]<-S=C(N)c1ccccc1,ligand472-0
67,[Li]<-P(C)(N1CCCC1)N1CCCC1,ligand473-0
68,[Be]=[C]1N(C)C=CN1Cn1cnc2c1c(=O)n(C)c(=O)n2C,ligand483-0
69,[Li]<-[Se](c1ccccc1)c1ccccc1,ligand493-0
70,[Li]<-P12CN3CN(CN(C3)C1)C2,ligand497-0
71,[Li]<-P(c1ccccc1-c1ccccc1)(C(C)(C)C)C(C)(C)C,ligand504-0
72,[Li]<-p1(-c2ccccc2)c2ccccc2c2ccccc21,ligand506-0
73,[Li]<-N1CCSCC1,ligand512-0
74,[Li]<-n1c[nH]c2ccccc21,ligand515-0
75,[Li]<-P(c1cccc(C)c1)(c1cccc(C)c1)c1cccc(C)c1,ligand244-0
76,[Li]<-n1ccccc1N,ligand522-0
77,[Li]<-P(CCC)(CCC)CCC,ligand250-0
78,[Li]<-N(CCO)CCO,ligand527-0
79,[Li]<-O=P(c1ccccc1)(c1ccccc1)c1ccccc1,ligand534-0
80,[Li]<-n1ccc(C)nc1,ligand522-0
81,[Be]=[C]1N(C)C=CN1C,ligand100-0
82,[Li]<-N12CCCCC1C1CC(C2)C2CCCCN2C1,ligand561-0
83,[Be]=[C]1N(c2ccccc2)C=CN1C(C)C,ligand567-0
84,[Be]=[C]1N(C)C(C)=C(C)N1C,ligand132-0
85,[Li]<-n1ccccn1,ligand578-0
86,[Be]=[C]1Nc2ccccc2N1,ligand515-0
87,[Li]<-n1ccc(N(C)C)cc1,ligand588-0
88,[Be]=[C]1N(C)c2cccc3cccc(c23)N1Cc1ccccc1,ligand594-0
89,[Li]<-NCCc1ccccc1,ligand605-0
90,[Li]<-[As](C=C)(C1CCCCC1)C1CCCCC1,ligand621-0
91,[Li]<-S=C(NN=C(C)c1cccc[n+]1[O-])N(C)C,ligand626-0
92,[Be]=[C]1N(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)CCN1c1cc(C(C)(C)C)cc(C(C)(C)C)c1,ligand636-0
93,[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C,ligand637-0
94,[Li]<-n1cc([N+](=O)[O-])n(CCO)c1C,ligand637-0
95,[Be]=[C](NN)NC(C)(C)C,ligand649-0
96,[Li]<-S=c1[nH]ccn1-c1ccccc1,ligand652-0
97,[Li]<-P1=Cc2ccccc2C1=P(c1ccccc1)(c1ccccc1)c1ccccc1,ligand656-0
