Heavy atom count,Decoded SMILES,Connection IDs,Encoded SMILES,Coordination environment
4,CC#N,[2],[Li]<-N#CC,['N([C])']
4,O=CP,[0],[Li]<-O=CP,['O([C])']
4,N[C]I,[1],[Be]=C(N)I,['C_carb([N])([I])']
4,CN=O,[1],[Li]<-N(C)=O,['N([C])([O])']
4,C=NC,[1],[Li]<-N(=C)C,['N([C])([C])']
4,F[C]Br,[1],[Be]=C(F)Br,['C_carb([F])([Br])']
4,N#CCl,[0],[Li]<-N#CCl,['N([C])']
4,CC=N,[2],[Li]<-N=CC,['N([C])']
4,CN=S,[2],[Li]<-S=NC,['S([N])']
4,C=[N+]=[N-],[2],[Li]<-[N-]=[N+]=C,['N([N])']
4,PC=S,[2],[Li]<-S=CP,['S([C])']
4,N#CS,[2],[Li]<-SC#N,['S([C])']
4,CNN,[1],[Li]<-N(C)N,['N([C])([N])']
4,F[C]F,[1],[Be]=C(F)F,['C_carb([F])([F])']
4,CCS,[2],[Li]<-SCC,['S([C])']
4,SCS,[0],[Li]<-SCS,['S([C])']
4,CC=O,[2],[Li]<-O=CC,['O([C])']
4,Cl[C]Cl,[1],[Be]=C(Cl)Cl,['C_carb([Cl])([Cl])']
4,[C]=CC,[0],[Be]=C=CC,['C_carb([C])']
4,NC=S,[2],[Li]<-S=CN,['S([C])']
4,ONO,[1],[Li]<-N(O)O,['N([O])([O])']
4,I[C]I,[1],[Be]=C(I)I,['C_carb([I])([I])']
4,NCP,[0],[Li]<-NCP,['N([C])']
4,CON,[2],[Li]<-NOC,['N([O])']
4,[C]=NC,[0],[Be]=C=NC,['C_carb([N])']
4,CCO,[2],[Li]<-OCC,['O([C])']
5,C[C]NN,[1],[Be]=C(C)NN,['C_carb([C])([N])']
5,C[As](I)I,[1],[Li]<-[As](C)(I)I,['As([C])([I])([I])']
5,C[N+](=N)[O-],[3],[Li]<-[O-][N+](C)=N,['O([N])']
5,C[C]SC,[1],[Be]=C(C)SC,['C_carb([C])([S])']
5,CC(N)=O,[2],[Li]<-NC(C)=O,['N([C])']
5,C[C]NC,[1],[Be]=C(C)NC,['C_carb([C])([N])']
5,CO[C]I,[2],[Be]=C(I)OC,['C_carb([I])([O])']
5,CC(N)P,[3],[Li]<-PC(C)N,['P([C])']
5,C[S+]([O-])[O-],[2],[Li]<-[O-][S+](C)[O-],['O([S])']
5,C#CC#N,[3],[Li]<-N#CC#C,['N([C])']
5,CC(C)P,[3],[Li]<-PC(C)C,['P([C])']
5,CC1=NC1,[2],[Li]<-N1=C(C)C1,['N([C])([C])']
5,CCC=O,[3],[Li]<-O=CCC,['O([C])']
5,C[SH](C)C,[1],[Li]<-[SH](C)(C)C,['S([C])([C])([C])']
5,CCON,[3],[Li]<-NOCC,['N([O])']
5,CC(=O)[O-],[2],[Li]<-O=C(C)[O-],['O([C])']
5,CCOC,[2],[Li]<-O(C)CC,['O([C])([C])']
5,CO[C]Cl,[2],[Be]=C(Cl)OC,['C_carb([Cl])([O])']
5,COC#N,[3],[Li]<-N#COC,['N([C])']
5,NC(=S)[SH2+],[2],[Li]<-S=C(N)[SH2+],['S([C])']
5,CC(=O)F,[2],[Li]<-O=C(C)F,['O([C])']
5,C=C(C)N,[3],[Li]<-NC(=C)C,['N([C])']
5,ON1CC1,[1],[Li]<-N1(O)CC1,['N([O])([C])([C])']
5,O=[N+]([O-])[O-],[0],[Li]<-O=[N+]([O-])[O-],['O([N])']
5,PC(P)=S,[3],[Li]<-S=C(P)P,['S([C])']
5,CCNC,[2],[Li]<-N(C)CC,['N([C])([C])']
5,C[C]OC,[1],[Be]=C(C)OC,['C_carb([C])([O])']
5,N#CCN,[0],[Li]<-N#CCN,['N([C])']
5,CC(N)O,[3],[Li]<-OC(C)N,['O([C])']
5,[C]=NCN,[0],[Be]=C=NCN,['C_carb([N])']
5,[C]=NCC,[0],[Be]=C=NCC,['C_carb([N])']
5,OCCO,[0],[Li]<-OCCO,['O([C])']
5,CN1CC1,[1],[Li]<-N1(C)CC1,['N([C])([C])([C])']
5,CCN=O,[2],[Li]<-N(=O)CC,['N([O])([C])']
5,CN[C]Br,[2],[Be]=C(Br)NC,['C_carb([Br])([N])']
5,BO[C]C,[2],[Be]=C(C)OB,['C_carb([C])([O])']
5,N=C(F)F,[0],[Li]<-N=C(F)F,['N([C])']
5,CSCP,[1],[Li]<-S(C)CP,['S([C])([C])']
5,CC(P)P,[2],[Li]<-PC(C)P,['P([C])']
5,CC[SH]=O,[2],[Li]<-[SH](=O)CC,['S([O])([C])']
5,CN[C]F,[2],[Be]=C(F)NC,['C_carb([F])([N])']
5,CN[C]I,[2],[Be]=C(I)NC,['C_carb([I])([N])']
5,CO[C]F,[2],[Be]=C(F)OC,['C_carb([F])([O])']
5,FC(F)=S,[3],[Li]<-S=C(F)F,['S([C])']
5,N#CCO,[0],[Li]<-N#CCO,['N([C])']
5,ClP1CC1,[1],[Li]<-P1(Cl)CC1,['P([Cl])([C])([C])']
5,COSO,[2],[Li]<-S(O)OC,['S([O])([O])']
5,CC(O)O,[2],[Li]<-OC(C)O,['O([C])']
5,CC(C)S,[3],[Li]<-SC(C)C,['S([C])']
5,N=CCO,[0],[Li]<-N=CCO,['N([C])']
5,CC(C)[AsH2],[3],[Li]<-[AsH2]C(C)C,['As([C])']
5,CC(C)[O-],[3],[Li]<-[O-]C(C)C,['O([C])']
5,OCCS,[3],[Li]<-SCCO,['S([C])']
5,COC=O,[3],[Li]<-O=COC,['O([C])']
5,CNC#N,[3],[Li]<-N#CNC,['N([C])']
6,[C]=NN(C)C,[0],[Be]=C=NN(C)C,['C_carb([N])']
6,CC(N)(O)O,[2],[Li]<-NC(C)(O)O,['N([C])']
6,CC(C)NN,[3],[Li]<-N(N)C(C)C,['N([N])([C])']
6,COC(C)=O,[4],[Li]<-O=C(C)OC,['O([C])']
6,CCN1CC1,[2],[Li]<-N1(CC)CC1,['N([C])([C])([C])']
6,C=CCNC,[3],[Li]<-N(C)CC=C,['N([C])([C])']
6,CSC(C)O,[1],[Li]<-S(C)C(C)O,['S([C])([C])']
6,CNC(C)=O,[4],[Li]<-O=C(C)NC,['O([C])']
6,CN=C(C)O,[1],[Li]<-N(C)=C(C)O,['N([C])([C])']
