Ligand ID,Atom count,Decoded SMILES,Connection IDs,Encoded SMILES,Coordination environment
uncond_bi-min10k-1,6,S=CC(=S)Br,"[0, 3]",BrC1=S->[Ir]<-S=C1,"['S([C])', 'S([C])']"
uncond_bi-min10k-2,8,N=CC(=O)O,"[0, 3]",OC1=O->[Ir]<-N=C1,"['N([C])', 'O([C])']"
uncond_bi-min10k-3,8,N=C(O)C=O,"[0, 4]",OC1=N->[Ir]<-O=C1,"['N([C])', 'O([C])']"
uncond_bi-min10k-4,10,OC(O)=C(O)O,"[2, 5]",OC1=C(O)O->[Ir]<-O1,"['O([C])', 'O([C])']"
uncond_bi-min10k-5,10,N=C(O)C(N)=O,"[0, 5]",NC1=O->[Ir]<-N=C1O,"['N([C])', 'O([C])']"
uncond_bi-min10k-6,11,CN=C(O)C=O,"[1, 5]",CN1->[Ir]<-O=CC=1O,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-7,11,O=C(S)[SH]=CC=S,"[3, 6]",O=C(S)[SH]1->[Ir]<-S=CC=1,"['S([C])', 'S([C])([C])']"
uncond_bi-min10k-8,11,O=C(O)c1nccs1,"[0, 4]",OC1=O->[Ir]<-n2ccsc21,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-9,12,N=c1ccc(=O)c1=N,"[0, 7]",O=C1C=CC2=N->[Ir]<-N=C12,"['N([C])', 'N([C])']"
uncond_bi-min10k-10,12,N=C(N)NC(=N)Cl,"[0, 5]",NC1=N->[Ir]<-N=C(Cl)N1,"['N([C])', 'N([C])']"
uncond_bi-min10k-11,12,NC(S)=C(P)S,"[0, 5]",PC1=C(S)N->[Ir]<-S1,"['N([C])', 'S([C])']"
uncond_bi-min10k-12,12,CSC(F)=C(N)F,"[1, 5]",CS1->[Ir]<-NC(F)=C1F,"['N([C])', 'S([C])([C])']"
uncond_bi-min10k-13,12,N=CCC=NO,"[0, 4]",ON1->[Ir]<-N=CCC=1,"['N([C])', 'N([O])([C])']"
uncond_bi-min10k-14,12,OC(O)C(O)O,"[2, 4]",OC1O->[Ir]<-OC1O,"['O([C])', 'O([C])']"
uncond_bi-min10k-15,12,SC(S)C(S)S,"[2, 4]",SC1S->[Ir]<-SC1S,"['S([C])', 'S([C])']"
uncond_bi-min10k-16,12,C=C(C=N)C=N,"[3, 5]",C=C1C=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
uncond_bi-min10k-17,12,CSC=CN,"[1, 4]",CS1->[Ir]<-NC=C1,"['N([C])', 'S([C])([C])']"
uncond_bi-min10k-18,12,FC(F)(S)C(S)(S)S,"[3, 5]",FC1(F)S->[Ir]<-SC1(S)S,"['S([C])', 'S([C])']"
uncond_bi-min10k-19,13,Nn1c(=S)cn[nH]c1=O,"[0, 3]",O=C1NN=CC2=S->[Ir]<-NN12,"['N([N])', 'S([C])']"
uncond_bi-min10k-20,13,CC(S)=C(N)S,"[2, 4]",CC1=C(S)N->[Ir]<-S1,"['N([C])', 'S([C])']"
uncond_bi-min10k-21,13,N=Nc1cccc(Cl)n1,"[0, 8]",Clc1cccc2n1->[Ir]<-N=N2,"['N([C])([C])', 'N([N])']"
uncond_bi-min10k-22,13,O=C(Br)c1ccccn1,"[0, 8]",BrC1=O->[Ir]<-n2ccccc21,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-23,13,CC(N)=C(S)S,"[2, 5]",CC1=C(S)S->[Ir]<-N1,"['N([C])', 'S([C])']"
uncond_bi-min10k-24,13,NC(=O)C(N)N,"[0, 5]",NC1N->[Ir]<-NC1=O,"['N([C])', 'N([C])']"
uncond_bi-min10k-25,13,N=Cc1cncn1O,"[0, 6]",On12->[Ir]<-N=Cc1cnc2,"['N([C])', 'N([O])([C])([C])']"
uncond_bi-min10k-26,13,N=Nc1ccc(Cl)cn1,"[0, 8]",Clc1ccc2n(->[Ir]<-N=N2)c1,"['N([C])([C])', 'N([N])']"
uncond_bi-min10k-27,13,CC(=O)c1cscn1,"[2, 7]",CC1=O->[Ir]<-n2cscc21,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-28,13,Nc1cc(Cl)ccn1,"[0, 7]",Clc1ccn2->[Ir]<-Nc2c1,"['N([C])', 'N([C])([C])']"
uncond_bi-min10k-29,13,O=Cc1cc(Br)ccn1,"[0, 8]",Brc1ccn2->[Ir]<-O=Cc2c1,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-30,13,O=C(Cl)c1ccccn1,"[0, 8]",ClC1=O->[Ir]<-n2ccccc21,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-31,13,[C]Nc1ccccn1,"[0, 6]",[Be]1->[Ir]<-n2ccccc2NC=1,"['C_carb([N])', 'N([C])([C])']"
uncond_bi-min10k-32,13,Cc1nonc1C=N,"[4, 7]",Cc1non2->[Ir]<-N=Cc12,"['N([C])', 'N([O])([C])']"
uncond_bi-min10k-33,13,NCc1nccs1,"[0, 3]",c1cn2->[Ir]<-NCc2s1,"['N([C])', 'N([C])([C])']"
uncond_bi-min10k-34,13,N=Nc1ncccc1Br,"[0, 3]",Brc1cccn2->[Ir]<-N=Nc12,"['N([C])([C])', 'N([N])']"
uncond_bi-min10k-35,13,NCNNC=S,"[2, 5]",NCN1->[Ir]<-S=CN1,"['N([C])([N])', 'S([C])']"
uncond_bi-min10k-36,14,O=C([O-])C1=[N+]=NCCC1=O,"[0, 4]",O=C1CCN=[N+]2->[Ir]<-O=C([O-])C=21,"['N([N])([C])', 'O([C])']"
uncond_bi-min10k-37,14,ONCCNO,"[1, 4]",ON1->[Ir]<-N(O)CC1,"['N([O])([C])', 'N([O])([C])']"
uncond_bi-min10k-38,14,Cc1cc[nH]c(=S)n1,"[6, 7]",CC1=N2->[Ir]<-S=C2NC=C1,"['N([C])([C])', 'S([C])']"
uncond_bi-min10k-39,14,CCNNC=S,"[2, 5]",CCN1->[Ir]<-S=CN1,"['N([C])([N])', 'S([C])']"
uncond_bi-min10k-40,14,CN(C)NC=S,"[1, 5]",CN1(C)->[Ir]<-S=CN1,"['N([C])([C])([N])', 'S([C])']"
uncond_bi-min10k-41,14,CC(C=N)C=N,"[3, 5]",CC1C=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
uncond_bi-min10k-42,14,CC(=N)C(C)=N,"[2, 5]",CC1=N->[Ir]<-N=C1C,"['N([C])', 'N([C])']"
uncond_bi-min10k-43,14,NC(=O)COC(=S)C=S,"[6, 8]",NC(=O)COC1=S->[Ir]<-S=C1,"['S([C])', 'S([C])']"
uncond_bi-min10k-44,14,N=C1N=C(C(=O)O)OC1=NO,"[0, 9]",O=C(O)c1nc2c(o1)=N(O)->[Ir]<-N=2,"['N([C])', 'N([C])([O])']"
uncond_bi-min10k-45,14,NC(C=O)NC(=O)O,"[0, 3]",O=C(O)NC1C=O->[Ir]<-N1,"['N([C])', 'O([C])']"
uncond_bi-min10k-46,14,CSC(=S)C(=S)SC,"[3, 5]",CSC1=S->[Ir]<-S=C1SC,"['S([C])', 'S([C])']"
uncond_bi-min10k-47,14,NCc1cc[nH]n1,"[0, 6]",c1cc2n(->[Ir]<-NC2)[nH]1,"['N([C])', 'N([C])([N])']"
uncond_bi-min10k-48,14,NC(N)C(S)S,"[2, 4]",NC1N->[Ir]<-SC1S,"['N([C])', 'S([C])']"
uncond_bi-min10k-49,14,O=C1CN=[N+]=C(C(=O)[O-])C1,"[4, 7]",O=C1CN=[N+]2->[Ir]<-O=C([O-])C=2C1,"['N([N])([C])', 'O([C])']"
uncond_bi-min10k-50,14,NC(C=O)NC(Cl)Cl,"[0, 3]",ClC(Cl)NC1C=O->[Ir]<-N1,"['N([C])', 'O([C])']"
uncond_bi-min10k-51,14,CSC(=S)c1ncc(F)s1,"[3, 5]",CSC1=S->[Ir]<-n2cc(F)sc21,"['N([C])([C])', 'S([C])']"
uncond_bi-min10k-52,14,Nc1ccncc1O,"[0, 7]",c1cc2c(cn1)O->[Ir]<-N2,"['N([C])', 'O([C])']"
uncond_bi-min10k-53,14,CC(=O)C(N)N,"[2, 4]",CC1=O->[Ir]<-NC1N,"['N([C])', 'O([C])']"
uncond_bi-min10k-54,14,CON=C(C)N,"[2, 5]",CON1->[Ir]<-NC=1C,"['N([C])', 'N([O])([C])']"
uncond_bi-min10k-55,14,CSC=C(N)P,"[1, 4]",CS1->[Ir]<-NC(P)=C1,"['N([C])', 'S([C])([C])']"
uncond_bi-min10k-56,14,Nc1cnc(C=NO)s1,"[3, 6]",Nc1cn2->[Ir]<-N(O)=Cc2s1,"['N([C])([C])', 'N([O])([C])']"
uncond_bi-min10k-57,14,N=Nc1cccc(O)n1,"[0, 8]",Oc1cccc2n1->[Ir]<-N=N2,"['N([C])([C])', 'N([N])']"
uncond_bi-min10k-58,15,O=C(F)C1=NCCC(F)=C1F,"[0, 4]",FC1=O->[Ir]<-N2=C1C(F)=C(F)CC2,"['N([C])([C])', 'O([C])']"
uncond_bi-min10k-59,15,N=C([SeH])c1ccccn1,"[0, 8]",[SeH]C1=N->[Ir]<-n2ccccc21,"['N([C])', 'N([C])([C])']"
uncond_bi-min10k-60,15,CNC(=S)C(=S)SC,"[3, 5]",CNC1=S->[Ir]<-S=C1SC,"['S([C])', 'S([C])']"
uncond_bi-min10k-61,15,CC(O)(C=N)C=N,"[4, 6]",CC1(O)C=N->[Ir]<-N=C1,"['N([C])', 'N([C])']"
uncond_bi-min10k-62,15,NC1CCNC1=O,"[0, 6]",C1CC2N->[Ir]<-O=C2N1,"['N([C])', 'O([C])']"
