Ligand ID,Heavy atom count,Canonical SMILES,Connection IDs,Enriched SMILES,Coordination environment
uncond_mono-min15k-1,4,CC#N,[2],[Li]<-N#CC,['N([C])']
uncond_mono-min15k-2,4,O=CP,[0],[Li]<-O=CP,['O([C])']
uncond_mono-min15k-3,4,N[C]I,[1],[Be]=C(N)I,['C_carb([N])([I])']
uncond_mono-min15k-4,4,CN=O,[1],[Li]<-N(C)=O,['N([C])([O])']
uncond_mono-min15k-5,4,C=NC,[1],[Li]<-N(=C)C,['N([C])([C])']
uncond_mono-min15k-6,4,F[C]Br,[1],[Be]=C(F)Br,['C_carb([F])([Br])']
uncond_mono-min15k-7,4,N#CCl,[0],[Li]<-N#CCl,['N([C])']
uncond_mono-min15k-8,4,CC=N,[2],[Li]<-N=CC,['N([C])']
uncond_mono-min15k-9,4,CN=S,[2],[Li]<-S=NC,['S([N])']
uncond_mono-min15k-10,4,C=[N+]=[N-],[2],[Li]<-[N-]=[N+]=C,['N([N])']
uncond_mono-min15k-11,4,PC=S,[2],[Li]<-S=CP,['S([C])']
uncond_mono-min15k-12,4,N#CS,[2],[Li]<-SC#N,['S([C])']
uncond_mono-min15k-13,4,CNN,[1],[Li]<-N(C)N,['N([C])([N])']
uncond_mono-min15k-14,4,F[C]F,[1],[Be]=C(F)F,['C_carb([F])([F])']
uncond_mono-min15k-15,4,CCS,[2],[Li]<-SCC,['S([C])']
uncond_mono-min15k-16,4,SCS,[0],[Li]<-SCS,['S([C])']
uncond_mono-min15k-17,4,CC=O,[2],[Li]<-O=CC,['O([C])']
uncond_mono-min15k-18,4,Cl[C]Cl,[1],[Be]=C(Cl)Cl,['C_carb([Cl])([Cl])']
uncond_mono-min15k-19,4,[C]=CC,[0],[Be]=C=CC,['C_carb([C])']
uncond_mono-min15k-20,4,NC=S,[2],[Li]<-S=CN,['S([C])']
uncond_mono-min15k-21,4,ONO,[1],[Li]<-N(O)O,['N([O])([O])']
uncond_mono-min15k-22,4,I[C]I,[1],[Be]=C(I)I,['C_carb([I])([I])']
uncond_mono-min15k-23,4,NCP,[0],[Li]<-NCP,['N([C])']
uncond_mono-min15k-24,4,CON,[2],[Li]<-NOC,['N([O])']
uncond_mono-min15k-25,4,[C]=NC,[0],[Be]=C=NC,['C_carb([N])']
uncond_mono-min15k-26,4,CCO,[2],[Li]<-OCC,['O([C])']
uncond_mono-min15k-27,5,C[C]NN,[1],[Be]=C(C)NN,['C_carb([C])([N])']
uncond_mono-min15k-28,5,C[As](I)I,[1],[Li]<-[As](C)(I)I,['As([C])([I])([I])']
uncond_mono-min15k-29,5,C[N+](=N)[O-],[3],[Li]<-[O-][N+](C)=N,['O([N])']
uncond_mono-min15k-30,5,C[C]SC,[1],[Be]=C(C)SC,['C_carb([C])([S])']
uncond_mono-min15k-31,5,CC(N)=O,[2],[Li]<-NC(C)=O,['N([C])']
uncond_mono-min15k-32,5,C[C]NC,[1],[Be]=C(C)NC,['C_carb([C])([N])']
uncond_mono-min15k-33,5,CO[C]I,[2],[Be]=C(I)OC,['C_carb([I])([O])']
uncond_mono-min15k-34,5,CC(N)P,[3],[Li]<-PC(C)N,['P([C])']
uncond_mono-min15k-35,5,C[S+]([O-])[O-],[2],[Li]<-[O-][S+](C)[O-],['O([S])']
uncond_mono-min15k-36,5,C#CC#N,[3],[Li]<-N#CC#C,['N([C])']
uncond_mono-min15k-37,5,CC(C)P,[3],[Li]<-PC(C)C,['P([C])']
uncond_mono-min15k-38,5,CC1=NC1,[2],[Li]<-N1=C(C)C1,['N([C])([C])']
uncond_mono-min15k-39,5,CCC=O,[3],[Li]<-O=CCC,['O([C])']
uncond_mono-min15k-40,5,C[SH](C)C,[1],[Li]<-[SH](C)(C)C,['S([C])([C])([C])']
uncond_mono-min15k-41,5,CCON,[3],[Li]<-NOCC,['N([O])']
uncond_mono-min15k-42,5,CC(=O)[O-],[2],[Li]<-O=C(C)[O-],['O([C])']
uncond_mono-min15k-43,5,CCOC,[2],[Li]<-O(C)CC,['O([C])([C])']
uncond_mono-min15k-44,5,CO[C]Cl,[2],[Be]=C(Cl)OC,['C_carb([Cl])([O])']
uncond_mono-min15k-45,5,COC#N,[3],[Li]<-N#COC,['N([C])']
uncond_mono-min15k-46,5,NC(=S)[SH2+],[2],[Li]<-S=C(N)[SH2+],['S([C])']
uncond_mono-min15k-47,5,CC(=O)F,[2],[Li]<-O=C(C)F,['O([C])']
uncond_mono-min15k-48,5,C=C(C)N,[3],[Li]<-NC(=C)C,['N([C])']
uncond_mono-min15k-49,5,ON1CC1,[1],[Li]<-N1(O)CC1,['N([O])([C])([C])']
uncond_mono-min15k-50,5,O=[N+]([O-])[O-],[0],[Li]<-O=[N+]([O-])[O-],['O([N])']
uncond_mono-min15k-51,5,PC(P)=S,[3],[Li]<-S=C(P)P,['S([C])']
uncond_mono-min15k-52,5,CCNC,[2],[Li]<-N(C)CC,['N([C])([C])']
uncond_mono-min15k-53,5,C[C]OC,[1],[Be]=C(C)OC,['C_carb([C])([O])']
uncond_mono-min15k-54,5,N#CCN,[0],[Li]<-N#CCN,['N([C])']
uncond_mono-min15k-55,5,CC(N)O,[3],[Li]<-OC(C)N,['O([C])']
uncond_mono-min15k-56,5,[C]=NCN,[0],[Be]=C=NCN,['C_carb([N])']
uncond_mono-min15k-57,5,[C]=NCC,[0],[Be]=C=NCC,['C_carb([N])']
uncond_mono-min15k-58,5,OCCO,[0],[Li]<-OCCO,['O([C])']
uncond_mono-min15k-59,5,CN1CC1,[1],[Li]<-N1(C)CC1,['N([C])([C])([C])']
uncond_mono-min15k-60,5,CCN=O,[2],[Li]<-N(=O)CC,['N([O])([C])']
uncond_mono-min15k-61,5,CN[C]Br,[2],[Be]=C(Br)NC,['C_carb([Br])([N])']
uncond_mono-min15k-62,5,BO[C]C,[2],[Be]=C(C)OB,['C_carb([C])([O])']
uncond_mono-min15k-63,5,N=C(F)F,[0],[Li]<-N=C(F)F,['N([C])']
uncond_mono-min15k-64,5,CSCP,[1],[Li]<-S(C)CP,['S([C])([C])']
uncond_mono-min15k-65,5,CC(P)P,[2],[Li]<-PC(C)P,['P([C])']
uncond_mono-min15k-66,5,CC[SH]=O,[2],[Li]<-[SH](=O)CC,['S([O])([C])']
uncond_mono-min15k-67,5,CN[C]F,[2],[Be]=C(F)NC,['C_carb([F])([N])']
uncond_mono-min15k-68,5,CN[C]I,[2],[Be]=C(I)NC,['C_carb([I])([N])']
uncond_mono-min15k-69,5,CO[C]F,[2],[Be]=C(F)OC,['C_carb([F])([O])']
uncond_mono-min15k-70,5,FC(F)=S,[3],[Li]<-S=C(F)F,['S([C])']
uncond_mono-min15k-71,5,N#CCO,[0],[Li]<-N#CCO,['N([C])']
uncond_mono-min15k-72,5,ClP1CC1,[1],[Li]<-P1(Cl)CC1,['P([Cl])([C])([C])']
uncond_mono-min15k-73,5,COSO,[2],[Li]<-S(O)OC,['S([O])([O])']
uncond_mono-min15k-74,5,CC(O)O,[2],[Li]<-OC(C)O,['O([C])']
uncond_mono-min15k-75,5,CC(C)S,[3],[Li]<-SC(C)C,['S([C])']
uncond_mono-min15k-76,5,N=CCO,[0],[Li]<-N=CCO,['N([C])']
uncond_mono-min15k-77,5,CC(C)[AsH2],[3],[Li]<-[AsH2]C(C)C,['As([C])']
uncond_mono-min15k-78,5,CC(C)[O-],[3],[Li]<-[O-]C(C)C,['O([C])']
uncond_mono-min15k-79,5,OCCS,[3],[Li]<-SCCO,['S([C])']
uncond_mono-min15k-80,5,COC=O,[3],[Li]<-O=COC,['O([C])']
uncond_mono-min15k-81,5,CNC#N,[3],[Li]<-N#CNC,['N([C])']
uncond_mono-min15k-82,6,[C]=NN(C)C,[0],[Be]=C=NN(C)C,['C_carb([N])']
uncond_mono-min15k-83,6,CC(N)(O)O,[2],[Li]<-NC(C)(O)O,['N([C])']
uncond_mono-min15k-84,6,CC(C)NN,[3],[Li]<-N(N)C(C)C,['N([N])([C])']
uncond_mono-min15k-85,6,COC(C)=O,[4],[Li]<-O=C(C)OC,['O([C])']
uncond_mono-min15k-86,6,CCN1CC1,[2],[Li]<-N1(CC)CC1,['N([C])([C])([C])']
uncond_mono-min15k-87,6,C=CCNC,[3],[Li]<-N(C)CC=C,['N([C])([C])']
uncond_mono-min15k-88,6,CSC(C)O,[1],[Li]<-S(C)C(C)O,['S([C])([C])']
uncond_mono-min15k-89,6,CNC(C)=O,[4],[Li]<-O=C(C)NC,['O([C])']
uncond_mono-min15k-90,6,CN=C(C)O,[1],[Li]<-N(C)=C(C)O,['N([C])([C])']
uncond_mono-min15k-91,6,C=CC(C)N,[4],[Li]<-NC(C)C=C,['N([C])']
uncond_mono-min15k-92,6,c1nnc[nH]1,[4],[Li]<-[nH]1cnnc1,['N([C])([C])']
uncond_mono-min15k-93,6,C=CC=NC,[3],[Li]<-N(C)=CC=C,['N([C])([C])']
uncond_mono-min15k-94,6,CN(C)[C]F,[3],[Be]=C(F)N(C)C,['C_carb([F])([N])']
uncond_mono-min15k-95,6,CN[C]OC,[2],[Be]=C(NC)OC,['C_carb([N])([O])']
uncond_mono-min15k-96,6,CN(C)N=S,[4],[Li]<-S=NN(C)C,['S([N])']
uncond_mono-min15k-97,6,NC(=S)CO,[4],[Li]<-OCC(N)=S,['O([C])']
uncond_mono-min15k-98,6,CCO[C]Cl,[3],[Be]=C(Cl)OCC,['C_carb([Cl])([O])']
uncond_mono-min15k-99,6,O=C1CCS1,[4],[Li]<-S1CCC1=O,['S([C])([C])']
uncond_mono-min15k-100,6,CCC(C)=N,[4],[Li]<-N=C(C)CC,['N([C])']
uncond_mono-min15k-101,6,[C]1CCCN1,[0],[Be]=C1CCCN1,['C_carb([C])([N])']
uncond_mono-min15k-102,6,c1cp[nH]n1,[3],[Li]<-[nH]1nccp1,['N([N])([P])']
uncond_mono-min15k-103,6,COC(C)=S,[4],[Li]<-S=C(C)OC,['S([C])']
uncond_mono-min15k-104,6,CNC([O-])=S,[4],[Li]<-S=C([O-])NC,['S([C])']
uncond_mono-min15k-105,6,CNC(C)=S,[4],[Li]<-S=C(C)NC,['S([C])']
