Ligand ID,Isomer,Label ID,HOMO-LUMO gap (Eh),Metal center charge,XYZ,Final single point energy (Eh),log P,G parameter,HOMO-LUMO gap (eV),Sampling region
uncond_bi-min10k-2260,cis,2508,0.0937259999999999,0.4807448035519109,"53
uncond_bi-min10k-2260-cis
Ir -0.196317 0.227492 -0.241737
C -2.576132 4.535187 -0.163473
O -2.686118 3.61754 0.918605
C -1.564972 2.839142 1.149728
C -1.686727 2.166736 2.504813
N -1.468214 1.831127 0.028159
C -2.132727 0.752117 -0.148576
C -3.137769 -0.182049 -0.262737
C -4.592723 -0.044176 -0.20318
C -5.355888 -1.161959 -0.143208
C -4.75784 -2.546481 -0.093088
C -3.37297 -2.6514 -0.764894
C -2.524913 -1.451769 -0.489291
O -1.237971 -1.515987 -0.525222
H -2.482928 4.009734 -1.139578
H -3.499734 5.142316 -0.16669
H -1.699513 5.210548 -0.031824
H -0.624467 3.434579 1.069583
H -0.830613 1.488045 2.680375
H -1.710241 2.93992 3.296226
H -2.626871 1.583197 2.553907
H -5.03213 0.963272 -0.184505
H -6.450697 -1.0691 -0.070781
H -5.444023 -3.283078 -0.556242
H -4.678475 -2.854952 0.975944
H -3.492484 -2.684213 -1.874099
H -2.83246 -3.576666 -0.485633
C 2.076976 4.53579 -0.151081
O 2.369945 3.569279 -1.154265
C 1.362891 2.668138 -1.423456
C 1.618554 1.987916 -2.755795
N 1.300295 1.592519 -0.321011
C 2.333085 1.166057 0.263488
C 3.081242 0.09118 0.592418
C 4.258054 -0.041892 1.443607
C 5.082395 -1.106834 1.284615
C 4.838818 -2.163296 0.241702
C 3.352218 -2.36841 -0.083795
C 2.528781 -1.113059 -0.060909
O 1.322825 -1.15223 -0.439043
H 1.148715 5.100744 -0.394519
H 2.928535 5.239677 -0.122431
H 1.964545 4.070705 0.854225
H 0.347769 3.128181 -1.381697
H 2.622022 1.518579 -2.754985
H 1.588996 2.750241 -3.55728
H 0.849704 1.217269 -2.953951
H 4.481196 0.759344 2.16266
H 6.001828 -1.171563 1.887428
H 5.284105 -3.128816 0.552677
H 5.39762 -1.871781 -0.678505
H 3.195261 -2.883055 -1.054142
H 2.879343 -3.032675 0.67694",-1291.353547805563,1.494,43.48241286009868,2.550414387291468,High metal center charge
uncond_bi-min10k-4350,trans,4278,0.093756,0.3848285780135762,"59
uncond_bi-min10k-4350-trans
Ir 5.7e-05 3.5e-05 -0.295132
C -3.763403 1.68715 0.939663
C -2.66734 0.825319 0.397309
N -1.495741 1.307663 0.003734
C -1.301005 2.73136 0.024259
N -0.802083 3.238919 1.151286
C -0.557578 4.55838 1.187737
C -0.80112 5.406186 0.096373
C -1.328203 4.848783 -1.077163
C -1.600642 3.469372 -1.147612
C -2.145959 2.806484 -2.381277
C -2.800503 -0.61077 0.190547
C -3.988849 -1.340474 0.353403
C -4.03805 -2.683335 -0.03902
C -2.89193 -3.250553 -0.612739
C -1.727284 -2.483759 -0.722405
N -1.650746 -1.202914 -0.295551
H -4.516614 1.094411 1.488187
H -3.349031 2.444897 1.631763
H -4.288776 2.233486 0.126946
H -0.148552 4.955212 2.132621
H -0.584974 6.482239 0.165574
H -1.531372 5.48396 -1.953808
H -2.17822 3.509907 -3.234324
H -1.531236 1.926459 -2.665797
H -3.17737 2.428177 -2.219196
H -4.876774 -0.848079 0.771895
H -4.9601 -3.269156 0.084574
H -2.881911 -4.289618 -0.970069
H -0.81272 -2.907688 -1.155003
C 3.763408 -1.687207 0.939731
C 2.667392 -0.825332 0.397351
N 1.495781 -1.307626 0.003749
C 1.300956 -2.731313 0.024257
N 0.801979 -3.238849 1.151271
C 0.557355 -4.558289 1.187694
C 0.800817 -5.406093 0.096311
C 1.327945 -4.848711 -1.077215
C 1.600512 -3.469324 -1.147634
C 2.14588 -2.806458 -2.381289
C 2.800622 0.61075 0.190578
C 3.988998 1.340404 0.353439
C 4.038278 2.683242 -0.03905
C 2.892209 3.250481 -0.612851
C 1.727529 2.48374 -0.722516
N 1.650905 1.202928 -0.295577
H 4.51664 -1.094496 1.488257
H 3.348992 -2.444927 1.631836
H 4.288766 -2.233579 0.127028
H 0.148293 -4.955105 2.132569
H 0.584572 -6.482128 0.165488
H 1.531051 -5.483887 -1.953876
H 2.17807 -3.509865 -3.234352
H 1.531236 -1.92637 -2.665785
H 3.177327 -2.428249 -2.219207
H 4.876889 0.847983 0.771975
H 4.960354 3.269024 0.08454
H 2.882259 4.289523 -0.970253
H 0.813013 2.907682 -1.155194",-1438.170319654375,2.925720000000001,37.64125417794048,2.5512307288788505,High metal center charge
uncond_bi-min10k-2103,trans,2398,0.1388339999999999,0.5105844574060744,"51
uncond_bi-min10k-2103-trans
Ir 0.008663 0.001438 -0.218659
O -2.168697 1.626438 0.901472
N -1.407021 1.512309 -0.291197
C -2.199073 0.930688 -1.488846
C -1.779841 -0.545491 -1.35765
C -1.75808 -1.431488 -2.483434
C -1.781934 -2.793259 -2.255862
C -1.817661 -3.294187 -0.918312
C -1.7969 -2.403891 0.139219
N -1.809624 -1.040913 -0.049163
C -3.70377 1.17538 -1.374888
C -4.057683 2.591284 -1.716004
C -3.238666 3.3027 -2.529706
C -2.069911 2.623611 -3.092189
N -1.575187 1.499056 -2.675296
H -2.230753 0.677064 1.178869
H -1.100546 2.47706 -0.500474
H -1.709662 -0.996997 -3.490648
H -1.774179 -3.496293 -3.102402
H -1.868728 -4.374738 -0.722748
H -1.783227 -2.73798 1.188738
H -4.054157 0.898299 -0.362479
H -4.225774 0.48424 -2.07839
H -5.004739 3.012837 -1.343541
H -3.476322 4.327628 -2.849649
H -1.569641 3.08421 -3.96721
O 2.168547 -1.633464 0.925995
N 1.422789 -1.510315 -0.27562
C 2.231868 -0.929494 -1.461642
C 1.813631 0.547703 -1.338163
C 1.81309 1.432367 -2.464739
C 1.838439 2.794386 -2.237907
C 1.854184 3.296424 -0.900584
C 1.811239 2.407074 0.157206
N 1.821961 1.044268 -0.030172
C 3.734543 -1.175967 -1.326896
C 4.090283 -2.593554 -1.659396
C 3.282127 -3.304475 -2.484279
C 2.123809 -2.623428 -3.065634
N 1.624867 -1.497606 -2.657266
H 2.225735 -0.687626 1.214277
H 1.113554 -2.472723 -0.491947
H 1.779903 0.997106 -3.472258
H 1.847654 3.496759 -3.084999
H 1.906396 4.376941 -0.705179
H 1.77938 2.741943 1.20609
H 4.073438 -0.896206 -0.31133
H 4.266038 -0.487986 -2.026425
H 5.030199 -3.016805 -1.271154
H 3.522042 -4.33061 -2.798619
H 1.636334 -3.08372 -3.948015",-1357.428502680325,1.2439000000000002,41.74757281553398,3.7778655980754947,High metal center charge
uncond_bi-min10k-179,cis,275,0.1181479999999999,0.6135384379203982,"35
uncond_bi-min10k-179-cis
Ir -0.066409 0.563914 -0.162509
C -4.787497 -1.585259 -0.155164
C -3.507454 -1.011044 0.376899
N -3.544061 0.009348 1.151806
C -2.482291 0.686333 1.739765
N -2.218422 0.740489 3.012239
C -1.659716 1.591507 0.86585
N -1.71267 1.566589 -0.512427
C -2.237695 -1.715669 -0.036139
H -4.919857 -2.624377 0.174208
H -5.636708 -1.00009 0.184419
H -4.77601 -1.614928 -1.248147
H -2.860811 0.136564 3.550321
H -1.339638 2.508567 1.393298
H -1.60547 2.476102 -0.979435
H -2.230921 -2.792012 0.269751
H -1.343965 -1.235258 0.450903
H -2.118536 -1.679066 -1.152107
C 1.321736 -2.735321 -1.035364
C 2.148106 -1.508949 -1.191068
N 1.619332 -0.328027 -1.09056
C 2.282732 0.953028 -1.212377
N 2.986688 1.44655 -2.146782
C 1.657681 1.788378 -0.132275
N 1.45152 1.132128 1.055229
C 3.61873 -1.684213 -1.444498
H 0.291259 -2.508738 -0.701839
H 1.810097 -3.414471 -0.318948
H 1.282747 -3.294562 -2.006354
H 3.218076 0.781624 -2.895417
H 1.675565 2.879411 -0.258339
H 1.167647 1.742582 1.828989
H 4.087359 -1.997258 -0.472482
H 4.128284 -0.77219 -1.76507
H 3.790959 -2.506054 -2.172456",-823.936931283673,1.09404,37.65717014165208,3.214970862190987,High metal center charge
uncond_bi-min10k-3783,cis,3787,0.0959019999999999,0.3879962834110094,"57
uncond_bi-min10k-3783-cis
Ir 0.020982 -0.159382 0.49661
C -2.653361 -2.650257 -1.862499
C -3.908093 -2.105143 -1.553842
C -3.975722 -1.005921 -0.690394
C -2.797292 -0.488891 -0.124388
C -2.69193 0.773285 0.624089
N -1.386048 1.237262 0.686308
N -1.108731 2.50514 0.950786
C -2.107701 3.318609 1.306976
C -3.425856 2.884933 1.49164
C -3.747991 1.560287 1.145083
C -5.104569 1.032298 1.400181
C -6.265909 1.718329 0.990012
C -7.517817 1.177974 1.307219
C -7.566252 -0.028902 2.025696
N -6.468806 -0.679764 2.446521
C -5.276957 -0.159222 2.147768
N -1.575407 -1.058542 -0.402546
C -1.515591 -2.091782 -1.277713
H -2.54709 -3.491728 -2.561306
H -4.826034 -2.51425 -1.999825
H -4.939918 -0.533147 -0.471878
H -1.810567 4.364366 1.485996
H -4.190816 3.554356 1.910507
H -6.185119 2.650934 0.410192
H -8.445853 1.678652 0.994588
H -8.53739 -0.491928 2.273982
H -4.388773 -0.698155 2.526738
H -0.50928 -2.46282 -1.515718
C 2.267562 -3.884803 0.454387
C 3.591155 -3.427951 0.532778
C 3.829032 -2.051892 0.624175
C 2.747892 -1.153603 0.603836
C 2.828912 0.286122 0.895975
N 1.593192 0.823809 1.224229
N 1.484076 1.963671 1.890251
C 2.589193 2.679849 2.119583
C 3.850892 2.329152 1.624653
C 3.993975 1.08663 0.980763
C 5.285094 0.709163 0.368729
C 6.50478 0.811714 1.068525
C 7.693474 0.479764 0.407691
C 7.622715 0.058193 -0.931104
N 6.471216 -0.01819 -1.619089
C 5.340549 0.304817 -0.98833
N 1.455242 -1.611925 0.487042
C 1.232477 -2.948286 0.447273
H 2.029853 -4.956979 0.414151
H 4.432361 -4.135792 0.547952
H 4.851624 -1.673462 0.734265
H 2.42984 3.601736 2.70153
H 4.708567 3.010162 1.720964
H 6.515613 1.126503 2.123636
H 8.662842 0.536671 0.924181
H 8.53955 -0.230567 -1.474398
H 4.408548 0.259304 -1.581823
H 0.179126 -3.259447 0.422349",-1620.069283963982,2.6006,35.41301925831609,2.609626363762738,High metal center charge
uncond_bi-min10k-3096,trans,3229,0.118841,0.4629952014426043,"55
uncond_bi-min10k-3096-trans
Ir 1.243222 0.246067 -0.05016
C -1.334029 -3.208652 0.158646
C -2.625356 -2.658108 0.190377
C -2.763714 -1.267847 0.147769
C -1.621733 -0.454497 0.075196
C -1.639971 1.014387 0.028476
C -2.795186 1.800222 0.036949
C -2.688612 3.209896 -0.011348
C -3.867719 4.044781 -0.00776
C -4.068615 5.418659 -0.050084
C -5.477975 5.625056 -0.020594
C -6.044632 4.368809 0.038364
O -5.084944 3.410584 0.046568
C -1.382085 3.759582 -0.063259
C -0.273163 2.919267 -0.068724
N -0.394243 1.57179 -0.02435
N -0.362819 -1.004827 0.047288
C -0.23262 -2.355461 0.085152
H -1.172398 -4.295198 0.187914
H -3.512599 -3.304989 0.246595
H -3.759343 -0.805157 0.170764
H -3.789389 1.337699 0.078658
H -3.293089 6.190534 -0.097784
H -6.012252 6.580878 -0.040262
H -7.079293 4.012306 0.078026
H -1.23031 4.846891 -0.100835
H 0.769319 3.284438 -0.102276
H 0.799273 -2.730589 0.052147
C 3.948698 5.900893 -0.049195
C 5.232471 5.340223 -0.054712
C 5.359953 3.947268 -0.040221
C 4.195845 3.147846 -0.020055
C 4.285041 1.664712 -0.00121
C 5.495876 0.945566 0.030122
C 5.513758 -0.473064 0.036985
C 6.777885 -1.179225 0.07067
C 7.118588 -2.525339 0.086686
C 8.542192 -2.586605 0.120457
C 8.977665 -1.278225 0.122751
O 7.924988 -0.423735 0.09326
C 4.28124 -1.18577 0.009505
C 3.119707 -0.423228 -0.007356
N 3.158346 0.925663 -0.007825
N 2.958615 3.691795 -0.016993
C 2.850917 5.026372 -0.030916
H 3.796613 6.989861 -0.059707
H 6.12748 5.979716 -0.070812
H 6.358775 3.491421 -0.046748
H 6.455256 1.474653 0.052947
H 6.425028 -3.372749 0.075675
H 9.17096 -3.483091 0.140592
H 9.97022 -0.816177 0.143258
H 4.255323 -2.28376 0.003361
H 1.168904 0.11333 -1.58484
H 1.823933 5.435126 -0.027134",-1551.577263258409,3.403600000000002,34.2431959255133,3.2338283528594594,High metal center charge
uncond_bi-min10k-4626,trans,4520,0.0935319999999999,0.3848392376904875,"59
uncond_bi-min10k-4626-trans
Ir 0.002566 6.6e-05 -0.388194
O -2.849803 4.893601 -5.738215
C -2.663683 5.44023 -4.674187
O -2.642095 6.788216 -4.505945
C -2.425421 4.722492 -3.36449
C -2.213762 5.42875 -2.160951
C -1.996582 4.697395 -0.989889
C -2.002555 3.2903 -1.046291
C -1.781228 2.485622 0.219964
N -1.683857 1.044126 -0.016698
C -2.769335 0.331114 0.212273
C -2.690892 -1.07377 -0.092589
C -3.784296 -1.953797 -0.093305
C -3.610249 -3.261744 -0.56141
C -2.344657 -3.632965 -1.039255
C -1.286454 -2.717215 -0.984588
N -1.426441 -1.468734 -0.481752
C -2.227994 2.691036 -2.304689
N -2.429214 3.382811 -3.429346
H -2.80934 7.172958 -5.393737
H -2.223094 6.526862 -2.157679
H -1.827051 5.218262 -0.033524
H -0.849762 2.81487 0.724923
H -2.610127 2.687877 0.93346
H -3.696233 0.794314 0.58876
H -4.764196 -1.594055 0.252032
H -4.45073 -3.970321 -0.57492
H -2.159407 -4.63363 -1.454312
H -0.288975 -2.988235 -1.354313
H -2.232355 1.591031 -2.401401
O 2.880553 -4.893512 -5.725717
C 2.687032 -5.440138 -4.663008
O 2.661463 -6.788136 -4.495439
C 2.442878 -4.722387 -3.354395
C 2.223004 -5.428695 -2.152362
C 2.000742 -4.697354 -0.982247
C 2.009957 -3.290235 -1.038031
C 1.78353 -2.485673 0.227432
N 1.687346 -1.044138 -0.009593
C 2.771903 -0.331271 0.224065
C 2.69491 1.073623 -0.081028
C 3.788503 1.953427 -0.077142
C 3.616603 3.261502 -0.545644
C 2.353057 3.633144 -1.028514
C 1.294451 2.717568 -0.978454
N 1.432165 1.468933 -0.475386
C 2.243728 -2.690955 -2.294887
N 2.449819 -3.382689 -3.418692
H 2.832947 -7.172911 -5.382408
H 2.230032 -6.526825 -2.149496
H 1.824645 -5.218208 -0.027062
H 0.849956 -2.814836 0.728527
H 2.60956 -2.688182 0.944181
H 3.697104 -0.794591 0.604555
H 4.766941 1.593387 0.272014
H 4.457266 3.969929 -0.555468
H 2.169676 4.633998 -1.443941
H 0.29853 2.98869 -1.352258
H 2.250746 -1.590932 -2.391168",-1736.47572284514,1.7938999999999998,37.474136558968645,2.545135378359747,High metal center charge
uncond_bi-min10k-4496,trans,4404,0.087948,0.4081565376377837,"59
uncond_bi-min10k-4496-trans
Ir 6e-06 6e-06 -0.224825
N -1.004016 3.52103 -1.131819
C -1.85689 2.576024 -0.669709
N -1.568652 1.311181 -0.327635
C -2.796305 0.674963 -0.074485
N -2.807495 -0.644217 0.237455
N -1.602792 -1.141227 0.148321
C -1.505628 -2.517932 0.540986
C -0.721279 -2.831568 1.645325
C -0.539334 -4.182247 2.028884
C -1.129965 -5.201953 1.296521
C -1.937572 -4.913036 0.1573
C -2.542291 -5.950412 -0.61254
C -3.305886 -5.655374 -1.730414
C -3.494908 -4.305046 -2.128102
C -2.932457 -3.267101 -1.400312
C -2.147901 -3.537819 -0.23973
C -3.831668 1.588481 -0.209522
N -3.223228 2.768291 -0.583909
H -1.215409 4.502897 -0.947864
H -0.00567 3.29655 -1.069633
H -0.247468 -2.012373 2.204639
H 0.068079 -4.4147 2.91614
H -0.992426 -6.25345 1.592268
H -2.391639 -6.994817 -0.298592
H -3.767383 -6.46624 -2.313387
H -4.099191 -4.080153 -3.019589
H -3.099022 -2.227081 -1.709282
H -4.911779 1.479711 -0.083155
H -3.708382 3.633012 -0.825136
N 1.004152 -3.520755 -1.132694
C 1.856963 -2.575892 -0.670171
N 1.56868 -1.311149 -0.32778
C 2.796305 -0.674979 -0.074379
N 2.807481 0.644167 0.2377
N 1.60279 1.141194 0.148442
C 1.505586 2.517918 0.541031
C 0.721041 2.831634 1.645205
C 0.538968 4.182349 2.028583
C 1.129676 5.202001 1.296207
C 1.937487 4.912994 0.157155
C 2.542281 5.950308 -0.612712
C 3.306065 5.655176 -1.730433
C 3.495215 4.30481 -2.127933
C 2.9327 3.266924 -1.400107
C 2.147943 3.537744 -0.239685
C 3.831682 -1.588475 -0.209471
N 3.223288 -2.768195 -0.584224
H 1.215475 -4.502674 -0.948939
H 0.005802 -3.296258 -1.070647
H 0.247143 2.01248 2.204505
H -0.068617 4.414873 2.915702
H 0.99203 6.253525 1.591809
H 2.391532 6.994743 -0.298908
H 3.767616 6.465995 -2.313427
H 4.099652 4.07984 -3.019296
H 3.099364 2.226872 -1.708927
H 4.911782 -1.479722 -0.082985
H 3.708469 -3.632849 -0.825634",-1654.61109766314,3.560500000000001,37.94365748846093,2.393186997562152,High metal center charge
uncond_bi-min10k-5352,trans,5062,0.0959979999999999,0.4603971985720721,"61
uncond_bi-min10k-5352-trans
Ir -0.038109 -0.002425 1.511908
O -3.887249 -1.557169 -0.515318
C -2.998867 -1.127124 0.228493
C -2.716253 0.306678 0.242576
N -1.693673 0.908231 0.836592
N -1.667892 2.281215 0.699764
C -0.790452 2.749198 -0.136035
C -0.480343 4.158741 -0.257433
C -1.255946 5.167546 0.361789
C -0.878831 6.507748 0.285926
C 0.296584 6.858351 -0.409459
C 1.087632 5.879342 -1.021381
C 0.708652 4.525451 -0.954411
O 1.446453 3.52697 -1.497756
C -2.290268 -2.072814 1.154549
C -2.910194 -3.313789 1.388925
C -2.34519 -4.220119 2.284585
C -1.170225 -3.842516 2.95546
C -0.591659 -2.609525 2.666151
N -1.119035 -1.736224 1.761121
H -3.40073 0.92449 -0.361427
H -0.177519 2.047069 -0.735664
H -2.167522 4.8628 0.897116
H -1.494656 7.286703 0.757581
H 0.600511 7.913817 -0.477903
H 2.006058 6.161 -1.561032
H 2.259555 3.885337 -1.902162
H -3.839945 -3.518127 0.839996
H -2.813242 -5.197653 2.470405
H -0.687242 -4.502001 3.689643
H 0.353346 -2.29996 3.134294
O 3.936383 1.54977 -0.261201
C 3.001278 1.119261 0.422714
C 2.715273 -0.313781 0.414116
N 1.655394 -0.914044 0.940264
N 1.632525 -2.286189 0.797327
C 0.812809 -2.746703 -0.099082
C 0.501739 -4.153582 -0.245622
C 1.224237 -5.169694 0.42387
C 0.842676 -6.506655 0.318828
C -0.284404 -6.84647 -0.457226
C -1.023604 -5.859951 -1.119866
C -0.639504 -4.509225 -1.023394
O -1.331388 -3.503634 -1.611839
C 2.235875 2.064134 1.303423
C 2.84286 3.302459 1.581886
C 2.223493 4.207816 2.441767
C 1.005706 3.832126 3.032778
C 0.443343 2.602252 2.701637
N 1.026244 1.729748 1.830407
H 3.4346 -0.931706 -0.147769
H 0.249137 -2.039211 -0.739519
H 2.098826 -4.87312 1.021802
H 1.418295 -7.291469 0.829905
H -0.591143 -7.899331 -0.549293
H -1.90507 -6.132995 -1.721976
H -2.117703 -3.854446 -2.072055
H 3.807054 3.504832 1.095196
H 2.681394 5.183065 2.661832
H 0.477187 4.490503 3.735925
H -0.531995 2.295001 3.104641",-1812.508159061913,2.0748,42.65478274709534,2.612238656842353,High metal center charge
uncond_bi-min10k-16,trans,27,0.093561,0.383910551058535,"25
uncond_bi-min10k-16-trans
Ir -7.1e-05 0.0 -0.031803
C -4.813377 -0.084806 -0.028353
C -3.441283 -0.060614 -0.029144
C -2.753822 1.22364 -0.029649
N -1.450704 1.364338 -0.030147
C -2.708995 -1.319823 -0.029374
N -1.401707 -1.414672 -0.030119
H -5.402315 0.844801 -0.028046
H -5.36924 -1.034567 -0.027952
H -3.388334 2.127554 -0.029653
H -1.184879 2.362535 -0.030245
H -3.31134 -2.245473 -0.028931
H -1.101101 -2.402946 -0.029806
C 4.813228 0.084806 -0.040942
C 3.441137 0.060614 -0.038296
C 2.753677 -1.22364 -0.03707
N 1.450562 -1.364338 -0.034152
C 2.708851 1.319823 -0.036744
N 1.401565 1.414672 -0.03408
H 5.402165 -0.844801 -0.042081
H 5.36909 1.034566 -0.041945
H 3.388187 -2.127554 -0.038814
H 1.184738 -2.362535 -0.033631
H 3.311195 2.245473 -0.03799
H 1.100961 2.402947 -0.033112",-634.853385812013,0.8417399999999999,35.93824606079899,2.545924508560883,High metal center charge
