Ligand ID,Isomer,Label ID,HOMO-LUMO gap (Eh),Metal center charge,XYZ,Final single point energy (Eh),log P,G parameter,Sampling region
uncond_bi-min10k-4743,cis,4604,0.1341909999999999,0.3660651955918284,"61
uncond_bi-min10k-4743-cis
Ir -0.83428 -0.278698 -0.833838
C -1.406416 0.602752 5.73274
O -1.738934 0.067257 4.461396
C -2.393396 0.860579 3.575116
C -2.729034 2.210311 3.79848
C -3.420779 2.914667 2.798983
C -3.773741 2.306209 1.589391
C -3.438184 0.954785 1.359744
C -3.782958 0.332311 0.010435
P -2.644632 1.144303 -1.291706
C -3.62092 -1.153234 -0.030628
C -4.69896 -2.01324 0.246729
C -4.515963 -3.397984 0.264449
C -3.231534 -3.905482 0.021312
C -2.200969 -3.007347 -0.252632
N -2.377611 -1.66497 -0.3087
C -2.751176 0.241047 2.354666
H -0.91476 -0.211687 6.295632
H -2.310627 0.933348 6.289641
H -0.703133 1.461315 5.649546
H -2.468852 2.714063 4.738447
H -3.689907 3.967096 2.975906
H -4.303767 2.879298 0.814202
H -4.835352 0.588213 -0.233567
H -3.156967 0.367349 -2.413628
H -0.945304 0.252338 0.615017
H -5.681045 -1.570598 0.464982
H -5.357816 -4.072272 0.481293
H -3.020833 -4.98366 0.043437
H -1.181164 -3.371443 -0.424907
H -2.497323 -0.82241 2.242736
C 7.208796 2.94158 -2.527735
O 6.016815 2.181173 -2.380469
C 5.335171 2.255303 -1.214617
C 5.721522 3.036075 -0.102416
C 4.930092 3.027538 1.055055
C 3.761308 2.258171 1.128663
C 3.370685 1.477666 0.021256
C 2.094364 0.671574 0.079595
P 0.744113 1.297332 -1.065435
C 2.216665 -0.817393 -0.203053
C 3.443626 -1.483962 -0.052852
C 3.545372 -2.840625 -0.379825
C 2.415803 -3.49409 -0.889352
C 1.222873 -2.775442 -0.99222
N 1.096982 -1.47904 -0.625281
C 4.156107 1.482345 -1.143444
H 7.980761 2.642957 -1.785008
H 7.586303 2.731339 -3.544716
H 7.014215 4.032165 -2.431154
H 6.631938 3.64871 -0.131897
H 5.237256 3.636721 1.918327
H 3.151292 2.261373 2.044694
H 1.631284 0.791149 1.085146
H 1.440734 1.562445 -2.289858
H 0.502037 2.630561 -0.618585
H 4.314258 -0.919085 0.307462
H 4.500507 -3.373014 -0.259796
H 2.449398 -4.545557 -1.207586
H 0.327794 -3.252497 -1.416887
H 3.888781 0.883662 -2.027655",-2053.332235053608,3.054700000000002,47.78768104408722,High G parameter
uncond_bi-min10k-4057,cis,4018,0.1767169999999999,0.3484545653691621,"59
uncond_bi-min10k-4057-cis
Ir 0.070097 -0.349775 0.888302
C -4.554719 1.548046 1.382793
C -4.009298 0.120418 1.363226
C -3.30802 -0.244376 0.044934
O -2.388718 0.748391 -0.453892
C -1.282813 1.119708 0.262018
O -1.221764 1.072354 1.570148
C -2.649495 -1.633936 0.031302
O -1.53133 -1.681162 1.015306
C -3.594286 -2.800669 0.361681
O -3.075094 -3.950396 -0.273719
C -1.956401 -3.612655 -1.112668
C -2.00862 -4.435847 -2.387353
C -2.061082 -2.091456 -1.29788
H -5.229933 1.736444 0.523436
H -5.129264 1.731169 2.310906
H -3.737107 2.293246 1.34403
H -4.846008 -0.600574 1.487417
H -3.325599 -0.01965 2.226278
H -4.081515 -0.272025 -0.751184
H -0.789515 1.947336 -0.296576
H -1.923976 -1.540695 1.906538
H -3.679432 -2.962785 1.461363
H -4.619359 -2.569159 -0.012984
H -1.013761 -3.86002 -0.561783
H -2.923014 -4.203255 -2.969047
H -1.122555 -4.234212 -3.02267
H -2.015755 -5.515986 -2.145889
H -1.106209 -1.576972 -1.520584
H -2.77948 -1.845091 -2.106299
C 3.487736 0.924858 -3.01446
C 3.316942 -0.50875 -2.510774
C 2.585902 -0.593263 -1.174204
O 3.370645 0.206201 -0.221982
C 2.799468 0.963889 0.692568
O 1.619037 0.950128 1.080613
C 2.384685 -1.998122 -0.629613
O 1.38169 -1.924258 0.45925
C 1.821983 -3.048544 -1.604413
O 1.787509 -4.192003 -0.762453
C 3.09618 -4.245642 -0.095186
C 4.033075 -5.201551 -0.814142
C 3.584584 -2.764925 -0.060674
H 2.509274 1.435983 -3.124365
H 4.115171 1.524375 -2.327005
H 3.980317 0.930631 -4.00545
H 4.304716 -1.009994 -2.424396
H 2.727808 -1.094537 -3.246555
H 1.573383 -0.128199 -1.250571
H 3.514153 1.679032 1.149966
H 0.996562 -2.840307 0.486121
H 2.49524 -3.182154 -2.480048
H 0.796897 -2.832086 -1.962016
H 2.88416 -4.623767 0.925513
H 5.004886 -5.254396 -0.283277
H 4.2339 -4.872537 -1.854388
H 3.601588 -6.220058 -0.845963
H 4.471971 -2.618737 -0.709022
H 3.842015 -2.414554 0.955701",-1410.201923708658,0.4778999999999997,45.19337895909597,High G parameter
uncond_bi-min10k-984,cis,1245,0.1007289999999999,0.2892532074754358,"45
uncond_bi-min10k-984-cis
Ir -0.06932 -0.09897 -0.334974
C -1.708754 0.780836 -0.526667
N -2.832619 0.590799 0.099827
C -4.111775 1.172763 -0.051612
C -4.946558 0.613975 0.863601
Cl -6.591105 0.971158 1.137567
N -4.332323 -0.389468 1.628576
C -2.922376 -0.45457 1.292247
N -2.089254 -0.140807 2.397886
C -2.505338 -1.797124 0.681013
C -3.327064 -2.922155 0.815637
C -2.931538 -4.138226 0.246698
C -1.718524 -4.189147 -0.454504
C -0.951169 -3.027519 -0.552561
N -1.32727 -1.850338 0.005705
H -4.310477 1.928063 -0.816557
H -4.54714 -0.408176 2.631621
H -2.291107 0.802823 2.75572
H -1.097924 -0.14973 2.096974
H -4.276453 -2.812929 1.357224
H -3.565984 -5.031846 0.342382
H -1.367227 -5.113207 -0.934452
H 0.001554 -3.019923 -1.101929
C 1.247073 1.135368 -0.827247
N 2.426386 0.929431 -1.335951
C 3.481946 1.808833 -1.667715
C 4.507152 1.074684 -2.174405
Cl 6.007458 1.634561 -2.75986
N 4.252974 -0.30558 -2.165495
C 2.89212 -0.540137 -1.72028
N 2.094758 -1.154154 -2.721738
C 2.808974 -1.339712 -0.415263
C 3.914165 -2.065854 0.043093
C 3.81915 -2.785161 1.240055
C 2.612627 -2.747805 1.95335
C 1.552639 -1.999313 1.439485
N 1.638887 -1.30942 0.275382
H 3.405995 2.885676 -1.49511
H 4.542674 -0.837959 -2.993362
H 2.057902 -0.574114 -3.571196
H 1.122824 -1.251952 -2.375524
H 4.839245 -2.037881 -0.548549
H 4.67867 -3.360197 1.615281
H 2.488688 -3.28061 2.906458
H 0.591637 -1.932151 1.970093",-2156.914134256664,0.6390900000000004,45.949387235397104,High G parameter
uncond_bi-min10k-3880,trans,3877,0.0841799999999999,0.2073673669299284,"57
uncond_bi-min10k-3880-trans
Ir -0.165223 0.081533 0.644609
C -3.646064 0.918511 -1.736599
C -3.431111 1.343433 -0.293394
C -4.174001 2.594427 0.135716
C -3.717762 3.098214 1.304404
C -2.573424 2.270884 1.82485
P -1.681758 1.793618 0.2353
C -3.04151 0.807002 2.190607
P -1.409493 -0.070799 2.602825
P -3.990276 0.879244 3.831144
C -3.755345 0.218444 0.842122
C -5.280124 0.073891 0.983447
C -3.244698 -1.131448 0.397409
S -1.706435 -1.5541 -0.062693
H -4.692451 0.588019 -1.898974
H -2.974575 0.09331 -2.038591
H -3.462133 1.774119 -2.415927
H -5.027687 2.980518 -0.440953
H -4.119728 3.974222 1.832506
H -1.953055 2.734803 2.615062
H -1.36657 3.016018 -0.438621
H -1.857666 -1.349077 3.071626
H -1.065597 0.553351 3.845823
H -4.476081 -0.474882 3.825932
H -5.225674 1.427719 3.342278
H -5.766551 1.013055 1.298426
H -5.53096 -0.712326 1.721195
H -5.716998 -0.22994 0.011152
H -3.994153 -1.930989 0.261454
C 3.208661 -0.870785 -1.398141
C 3.141154 -1.289176 0.060691
C 3.765129 -2.632158 0.388755
C 3.364759 -3.115356 1.58848
C 2.447243 -2.126654 2.274602
P 1.425381 -1.594037 0.78182
C 3.299805 -0.833812 2.574648
P 2.234856 0.365873 3.625024
P 4.675 -1.401493 3.761703
C 3.688972 -0.217872 1.126358
C 5.200796 -0.031178 0.913464
C 3.067638 1.151408 0.913861
S 1.51694 1.638864 0.57232
H 4.259438 -0.712782 -1.714779
H 2.646661 0.063712 -1.58724
H 2.783762 -1.661861 -2.04723
H 4.466346 -3.127279 -0.299482
H 3.681205 -4.064042 2.044642
H 1.893028 -2.503743 3.154112
H 1.021777 -2.847814 0.220065
H 3.27452 1.32066 3.905079
H 2.470561 -0.346262 4.860757
H 5.326175 -0.130403 3.919755
H 5.656884 -1.896874 2.83297
H 5.742442 -0.992941 0.96302
H 5.62659 0.64483 1.68034
H 5.39284 0.424624 -0.077933
H 3.768539 2.005777 0.905193",-3651.17915503263,2.828100000000002,50.0238739455674,High G parameter
uncond_bi-min10k-9808,trans,7329,0.131795,0.3386626517541881,"73
uncond_bi-min10k-9808-trans
Ir -0.00295 -0.006057 0.174483
N -1.818654 0.799459 0.414401
C -3.014847 0.561515 -0.039921
C -3.315857 -0.331041 -1.217724
N -2.229043 -0.526522 -2.155588
C -1.598811 -1.82791 -2.259279
C -1.393073 -2.462071 -0.920345
N -0.824487 -1.876308 0.140642
C -0.852062 -2.808759 1.178995
C -0.409879 -2.711426 2.510567
C -0.564467 -3.838958 3.323643
C -1.150468 -5.032104 2.833106
C -1.607671 -5.138252 1.514509
C -1.449156 -4.006574 0.70024
N -1.78644 -3.73874 -0.617189
C -2.04341 0.423235 -3.171743
C -2.357395 1.788359 -2.945691
C -2.192192 2.738547 -3.960873
C -1.712076 2.363291 -5.226143
C -1.406673 1.014477 -5.457824
C -1.566168 0.052681 -4.451018
H -1.829987 1.506519 1.166063
H -3.880542 1.059933 0.436317
H -4.195717 0.106277 -1.743619
H -3.670454 -1.31943 -0.843711
H -2.166105 -2.54519 -2.906646
H -0.598706 -1.693613 -2.727795
H 0.016472 -1.768363 2.883541
H -0.232791 -3.79918 4.371617
H -1.255654 -5.894819 3.507116
H -2.069909 -6.06304 1.140526
H -2.242344 -4.37798 -1.268916
H -2.717243 2.115016 -1.960686
H -2.444974 3.790175 -3.755574
H -1.59227 3.110048 -6.024387
H -1.046445 0.693741 -6.447227
H -1.326508 -0.994391 -4.677561
N 1.810543 -0.81323 0.416777
C 3.008136 -0.576994 -0.03493
C 3.313763 0.319296 -1.208406
N 2.233729 0.511351 -2.15612
C 1.606651 1.81317 -2.270932
C 1.382536 2.450463 -0.936129
N 0.814924 1.866568 0.126515
C 0.830141 2.806295 1.158808
C 0.386036 2.71318 2.490066
C 0.526837 3.847486 3.296181
C 1.101678 5.043423 2.799299
C 1.561486 5.145369 1.48131
C 1.416832 4.00672 0.674182
N 1.761785 3.733111 -0.639827
C 2.083328 -0.42655 -3.190605
C 2.362995 -1.798 -2.961087
C 2.234562 -2.736522 -3.992564
C 1.82566 -2.341813 -5.276832
C 1.555059 -0.986011 -5.511791
C 1.678997 -0.036224 -4.488615
H 1.818883 -1.522029 1.16681
H 3.871722 -1.07797 0.44235
H 4.200357 -0.112035 -1.727663
H 3.659826 1.308675 -0.828506
H 2.18566 2.530625 -2.90815
H 0.615157 1.679781 -2.758027
H -0.03036 1.767704 2.868188
H 0.19344 3.810946 4.343727
H 1.196234 5.911599 3.467851
H 2.015666 6.072198 1.102521
H 2.215496 4.371623 -1.293776
H 2.667584 -2.136998 -1.961498
H 2.459176 -3.794152 -3.785317
H 1.73365 -3.079695 -6.08694
H 1.2524 -0.651365 -6.515891
H 1.470674 1.01746 -4.715503",-1779.678785223928,3.219070000000001,47.26245424160432,High G parameter
uncond_bi-min10k-9575,cis,7177,0.1666139999999999,0.0030689548993496,"71
uncond_bi-min10k-9575-cis
Ir -0.478137 0.309613 -0.408469
C -3.485656 -2.982175 4.05015
C -3.139259 -1.506117 3.936407
C -3.275495 -0.759267 5.262694
O -1.811217 -1.386241 3.403801
C -1.81438 -0.214497 2.618069
C -3.189183 -0.26208 1.93122
C -3.790063 1.119853 1.620101
C -2.885862 2.25314 1.125661
S -1.892088 2.152586 -0.425809
C -3.167655 2.032162 -1.743991
C -4.079537 0.808702 -1.796523
C -3.404432 -0.53767 -2.01832
S -2.230453 -1.173122 -0.753215
C -3.242533 -1.312782 0.788793
O -4.002252 -0.85908 2.957813
H -3.397832 -3.4785 3.065373
H -4.522746 -3.102804 4.41634
H -2.800106 -3.481322 4.761594
H -2.659779 -1.245127 6.044124
H -4.332167 -0.759335 5.592
H -2.950451 0.294319 5.159758
H -0.979033 -0.227172 1.873437
H -1.722378 0.709315 3.239639
H -4.680743 1.004407 0.973074
H -4.190431 1.475123 2.593163
H -2.100704 2.483624 1.874087
H -3.486651 3.179463 1.0118
H -3.767244 2.961587 -1.653722
H -2.566592 2.122048 -2.672507
H -4.730956 0.765204 -0.902582
H -4.775938 0.965058 -2.650864
H -4.162822 -1.338486 -2.138697
H -2.783279 -0.535422 -2.937967
H -4.296261 -1.471396 0.482486
H -2.879522 -2.265687 1.219166
C 6.171016 -1.221795 -3.870122
C 4.813787 -1.83106 -3.518787
C 4.274411 -2.749076 -4.602923
O 4.867574 -2.560572 -2.290398
C 4.635044 -1.62522 -1.264594
C 3.548292 -0.698268 -1.867731
C 3.707237 0.766353 -1.402158
C 2.520153 1.720766 -1.422424
S 1.294265 1.736239 -0.020938
C 2.195148 1.110298 1.465995
C 2.760664 -0.313911 1.523751
C 1.860218 -1.495995 1.178543
S 0.953546 -1.507329 -0.422934
C 2.158418 -1.383942 -1.830983
O 3.870885 -0.749338 -3.269169
H 6.903938 -2.02011 -4.096306
H 6.562807 -0.611594 -3.033273
H 6.074934 -0.566121 -4.75655
H 4.962589 -3.60256 -4.753908
H 3.280441 -3.139256 -4.31427
H 4.179941 -2.197929 -5.55755
H 5.547445 -1.034703 -1.006816
H 4.305666 -2.174811 -0.360785
H 4.207901 0.812522 -0.415946
H 4.4499 1.187255 -2.110479
H 2.896815 2.762803 -1.442039
H 1.884065 1.584161 -2.319078
H 3.002487 1.844478 1.668157
H 1.426311 1.261395 2.251655
H 3.689935 -0.37968 0.931826
H 3.089992 -0.467858 2.57595
H 1.020271 -1.601292 1.897006
H 2.439166 -2.441639 1.224118
H 2.33367 -2.438228 -2.125361
H 1.525196 -0.921775 -2.612405",-2858.990898533998,2.768300000000001,46.17221072735954,High G parameter
uncond_bi-min10k-1746,cis,2045,0.061888,0.3973606328789543,"49
uncond_bi-min10k-1746-cis
Ir -1.604461 -0.558548 1.217438
O -2.057193 1.38063 0.174362
C -3.103979 2.076458 0.222226
C -4.319435 1.777928 1.121329
O -4.540658 0.388939 1.325065
C -3.614487 -0.28532 2.044844
S -2.520475 0.490418 3.179622
C -3.40653 -1.665294 1.66666
S -2.074552 -2.54296 2.39393
N -3.227176 3.211458 -0.492763
C -2.298718 3.872342 -1.342749
C -2.77712 5.015707 -2.017653
C -1.932312 5.729683 -2.8736
C -0.606435 5.308151 -3.065523
C -0.136189 4.171691 -2.390636
C -0.967837 3.446657 -1.524947
H -5.247294 2.155652 0.650114
H -4.170985 2.300624 2.092046
H -4.067089 -2.101254 0.89715
H -4.132672 3.68439 -0.423731
H -3.818068 5.347681 -1.871094
H -2.315436 6.619246 -3.394817
H 0.057728 5.86585 -3.742044
H 0.899348 3.826974 -2.523032
H -0.572578 2.571851 -0.999988
O 1.948825 2.237014 -0.717786
C 2.954443 1.98819 -0.058921
C 3.413911 0.514583 0.150121
O 2.560437 -0.351439 -0.582717
C 1.286218 -0.47093 -0.216808
S 0.700974 -0.003486 1.317514
C 0.434703 -1.099 -1.177991
S -1.171208 -1.41843 -0.855698
N 3.759807 2.889702 0.566502
C 3.644964 4.30289 0.614064
C 4.725295 5.019862 1.168799
C 4.672345 6.415805 1.253819
C 3.545793 7.109966 0.784797
C 2.472741 6.391698 0.236318
C 2.508144 4.99307 0.147026
H 4.428976 0.347644 -0.26031
H 3.410241 0.251634 1.231462
H 0.843993 -1.358595 -2.168216
H 4.586667 2.517711 1.041424
H 5.614394 4.48049 1.534275
H 5.521541 6.963738 1.688266
H 3.506414 8.207228 0.847991
H 1.583366 6.924438 -0.13324
H 1.666781 4.437684 -0.279645",-2879.024467455001,1.9688,56.11173006525545,High G parameter
uncond_bi-min10k-3538,cis,3559,0.14254,0.3544325173282803,"57
uncond_bi-min10k-3538-cis
Ir -0.163863 -0.342293 -0.973776
C -6.500435 1.670215 0.082613
C -5.015685 1.934493 -0.124584
C -4.757642 3.277097 -0.812046
C -4.15943 1.748498 1.139931
O -2.892815 1.342956 0.618886
C -3.166509 0.568317 -0.555243
P -1.834893 0.941437 -1.879961
C -3.040995 -0.906736 -0.169404
C -4.161372 -1.64204 0.238042
C -3.992874 -2.918805 0.784743
C -2.69144 -3.422513 0.918243
C -1.623502 -2.657367 0.445737
N -1.78911 -1.443094 -0.131012
O -4.480268 0.855414 -0.95614
H -6.94546 2.454486 0.726315
H -7.032635 1.683805 -0.88822
H -6.67443 0.68739 0.563724
H -5.219176 4.10707 -0.240748
H -5.191669 3.269359 -1.830486
H -3.671305 3.476051 -0.895525
H -4.593235 0.967178 1.807863
H -4.005879 2.67794 1.721074
H -0.102785 0.40388 0.382732
H -1.644998 2.317192 -1.489817
H -5.149439 -1.17936 0.11411
H -4.86153 -3.506234 1.117734
H -2.495165 -4.402848 1.374572
H -0.590404 -3.01655 0.536484
C 4.375815 2.949909 0.329175
C 4.638318 1.477011 0.644105
C 6.108678 1.188612 0.905493
C 3.688692 0.925537 1.72091
O 2.494297 0.631335 0.987351
C 2.916192 0.222027 -0.305439
P 1.601239 0.93888 -1.510071
C 2.800532 -1.295334 -0.49003
C 3.940157 -2.106513 -0.502183
C 3.801266 -3.483825 -0.72102
C 2.519096 -3.9942 -0.960635
C 1.429063 -3.117553 -0.942748
N 1.547963 -1.793139 -0.689633
O 4.221355 0.654758 -0.504667
H 3.290863 3.150311 0.229096
H 4.766539 3.597163 1.139106
H 4.880007 3.234353 -0.614561
H 6.459557 1.761027 1.786679
H 6.724783 1.490437 0.036493
H 6.277542 0.111577 1.101021
H 4.102145 0.004027 2.19075
H 3.431215 1.657323 2.509478
H 2.277628 0.889957 -2.772704
H 1.632088 2.340516 -1.247206
H 4.9214 -1.633324 -0.363838
H 4.682252 -4.142465 -0.730144
H 2.354708 -5.059443 -1.176733
H 0.416872 -3.485226 -1.167628",-1975.228805356213,1.8924,49.76921852618176,High G parameter
uncond_bi-min10k-4921,cis,4727,0.1278139999999999,0.1092858184846769,"61
uncond_bi-min10k-4921-cis
Ir -0.163268 -0.141473 -0.648708
C -3.428307 -1.305374 3.115367
N -2.457283 -0.911116 2.103428
C -1.499869 0.091306 2.564534
C -2.831391 -0.891721 0.718895
N -2.84783 0.534499 0.130197
C -1.738778 0.998893 -0.585283
C -1.975909 2.228236 -1.280555
C -3.133639 2.974405 -1.117328
C -4.144901 2.514606 -0.24006
C -3.979267 1.272507 0.336638
C -4.178547 -1.509395 0.42086
C -4.419678 -2.050756 -0.802494
C -3.36112 -2.268158 -1.762296
C -2.072119 -2.155346 -1.34199
N -1.743663 -1.593736 -0.07196
H -4.220326 -0.541316 3.31444
H -2.883825 -1.460651 4.067004
H -3.91569 -2.265251 2.861307
H -1.974123 1.079433 2.782326
H -0.705119 0.242451 1.799217
H -1.020665 -0.2706 3.49535
H -1.203001 2.56604 -1.982648
H -3.269332 3.915569 -1.672022
H -5.060697 3.089541 -0.05018
H -4.753887 0.811575 0.962582
H -4.975351 -1.449081 1.171268
H -5.431843 -2.409485 -1.045357
H -3.579538 -2.660267 -2.76407
H -1.2195 -2.537588 -1.920425
H -1.280237 -2.252176 0.575623
C 3.82607 -0.943267 -2.863596
N 4.007225 -1.094636 -1.423589
C 4.716424 -2.322371 -1.079144
C 2.872405 -0.723807 -0.614226
N 2.585222 0.742107 -0.838182
C 1.252434 1.189075 -0.787152
C 1.142448 2.613889 -0.684664
C 2.23227 3.469257 -0.707677
C 3.540889 2.939389 -0.822612
C 3.677957 1.569391 -0.859714
C 3.122362 -0.898825 0.873717
C 2.631165 -1.95478 1.569645
C 1.798561 -2.946104 0.919525
C 1.345621 -2.687934 -0.334962
N 1.607967 -1.448574 -0.980662
H 3.32617 0.014141 -3.105959
H 4.815989 -0.94444 -3.361008
H 3.236018 -1.776996 -3.323849
H 4.885598 -2.382866 0.010149
H 4.17685 -3.244053 -1.407243
H 5.705499 -2.315431 -1.578871
H 0.138295 3.035363 -0.562567
H 2.081599 4.556614 -0.625528
H 4.432205 3.57944 -0.855505
H 4.643791 1.047413 -0.911843
H 3.769719 -0.141943 1.339408
H 2.871914 -2.063679 2.638134
H 1.523131 -3.88108 1.424551
H 0.721791 -3.386515 -0.911909
H 1.544958 -1.526966 -2.005839",-1364.254704280887,1.2991899999999998,44.54878242877607,High G parameter
uncond_bi-min10k-5349,trans,5056,0.152242,0.5142642262716871,"61
uncond_bi-min10k-5349-trans
Ir -0.292915 0.290243 0.187776
C -0.277758 0.002779 4.24119
O -0.206418 0.65855 2.969844
C -1.211647 0.45759 2.026786
O -1.907663 -0.70421 2.295317
C -2.104148 1.703044 1.955116
C -2.811636 2.15281 3.0866
C -3.554427 3.338429 3.027138
C -3.597604 4.089943 1.840313
C -2.923096 3.637641 0.698878
C -2.196367 2.441776 0.771632
N -1.533031 1.859599 -0.407756
C -2.511693 1.259506 -1.339891
C -3.291642 1.987144 -2.241694
C -4.22345 1.27277 -3.014403
N -4.402991 -0.053401 -2.903542
C -3.649673 -0.744393 -2.045645
C -2.656561 -0.138415 -1.237958
O -1.858634 -0.840071 -0.412451
H -0.477566 -1.080171 4.139443
H -1.062107 0.460451 4.880555
H 0.706318 0.166193 4.715633
H -2.78109 1.571081 4.018534
H -4.100976 3.685475 3.91637
H -4.168374 5.029117 1.799827
H -2.97091 4.21075 -0.238312
H -1.008585 2.601216 -0.899675
H -3.183964 3.076348 -2.3572
H -4.848099 1.800313 -3.754882
H -3.80467 -1.835977 -1.977327
H -2.363974 -0.945237 1.451233
C 5.06641 -0.389856 3.717578
O 4.055446 -1.380299 3.430477
C 2.899772 -0.932467 2.941938
O 2.69215 0.267189 2.74401
C 1.901018 -2.032526 2.772351
C 1.8018 -2.954158 3.842105
C 0.813732 -3.941208 3.871609
C -0.092807 -4.042468 2.805544
C 0.016091 -3.171776 1.717438
C 1.004988 -2.175267 1.686975
N 1.035507 -1.374621 0.462244
C 2.323968 -0.854169 0.002113
C 3.330312 -1.644703 -0.557535
C 4.489511 -0.987536 -1.014857
N 4.671833 0.338465 -0.940061
C 3.707884 1.091997 -0.392266
C 2.520951 0.533134 0.093215
O 1.5333 1.299821 0.720946
H 4.681736 0.360003 4.435664
H 5.370483 0.124858 2.785244
H 5.915346 -0.947607 4.147432
H 2.515759 -2.862418 4.672154
H 0.753376 -4.632945 4.724046
H -0.878654 -4.811789 2.810012
H -0.676509 -3.260325 0.865547
H 0.685131 -2.010166 -0.273045
H 3.222514 -2.73672 -0.643348
H 5.306879 -1.572616 -1.470591
H 3.869537 2.181778 -0.321694
H 1.686434 1.107507 1.714119",-1778.541037793207,2.317400000000001,51.7587139901321,High G parameter
