tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES,log P,Exact cone angle ($^\circ$),M-L XYZ,Sampling region
ligand10584-0,[H]C1=C([H])C([H])=C2C(=C1[H])N(C([H])([H])C([H])([H])[H])CN2C([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])N1CN(C([H])([H])C([H])([H])[H])C2=C1C([H])=C([H])C([H])=C2[H],"[[3], [42]]",CCN1[C]2=[Be]->[Ir]<-[Be]=[C]3N(CC)c4ccccc4N3CCOCCOCCN2c2ccccc21,3.705180000000003,290.13767446152684,"61
ligand10584-0: ISOKEH-subgraph-0. Original M-L.
Ag  0.0105  0.3450  -0.3639
N 2.906661 1.431153 -0.365914
C 2.431962 2.811884 -0.271866
C 4.247996 1.047278 -0.306934
C 2.089319 0.341408 -0.442236
H 1.452778 2.84474 -0.790192
H 3.130937 3.447975 -0.851753
C 2.305579 3.293636 1.17085
C 5.440899 1.781341 -0.221379
C 4.251765 -0.366489 -0.366582
N 2.910861 -0.751019 -0.457613
H 1.583077 2.664745 1.729547
H 1.947969 4.341827 1.192999
H 3.277387 3.25283 1.701352
H 5.444463 2.879111 -0.173602
C 6.635449 1.049408 -0.195843
C 5.449249 -1.097968 -0.343068
C 2.453997 -2.135264 -0.459495
C 6.639598 -0.363589 -0.255601
H 7.592576 1.586314 -0.126953
H 5.462232 -2.19582 -0.388217
H 1.468719 -2.164342 -0.963799
C 2.316826 -2.70811 0.954302
H 3.171069 -2.737474 -1.05336
H 7.599779 -0.898939 -0.232122
H 2.124893 -3.801179 0.872333
H 3.276464 -2.584614 1.506403
O 1.289567 -2.034054 1.655631
C 0.21021 -2.828362 2.118266
C -0.641707 -3.462445 1.02304
H -0.421073 -2.138459 2.713144
H 0.562469 -3.639605 2.799913
H -0.078757 -4.252715 0.466986
H -1.504946 -3.973853 1.513662
O -1.081936 -2.455669 0.130479
C -2.121952 -2.843999 -0.738462
H -3.024084 -3.163678 -0.161216
H -1.82136 -3.703403 -1.386493
C -2.457573 -1.653818 -1.632473
H -1.556892 -1.349615 -2.201915
H -3.240529 -1.935732 -2.362844
N -2.913882 -0.493281 -0.878682
C -4.24514 -0.221352 -0.550602
C -2.072097 0.417206 -0.300981
C -5.453325 -0.856665 -0.875325
C -4.214279 0.939033 0.259274
N -2.866096 1.283943 0.38877
H -5.486934 -1.761725 -1.49784
C -6.62747 -0.284823 -0.366678
C -5.390967 1.511794 0.765471
C -2.375021 2.466769 1.097298
H -7.595631 -0.751349 -0.599321
C -6.596968 0.8777 0.437931
H -5.37408 2.416377 1.389013
C -2.465213 3.738387 0.258447
H -1.325798 2.249494 1.381022
H -2.955098 2.559523 2.037988
H -7.542143 1.294122 0.815177
H -1.854005 3.644682 -0.661447
H -2.0905 4.60397 0.839231
H -3.509034 3.95625 -0.042259",High exact cone angle
ligand18068-0,[H]C1=C([H])C([H])=C(C([H])([H])N([H])C([H])([H])C2=C(P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C2[H])C(P(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])(C([H])([H])[H])C([H])([H])[H])=C1[H],"[[0], [32]]",CC(C)P(c1ccccc1CN1Cc2ccccc2P(->[Ir]<-1)(C(C)C)C(C)C)C(C)C,6.824400000000008,246.67518687853283,"71
ligand18068-0: PUWDUI-subgraph-2. Original M-L.
Fe  1.4183  -1.2259  0.2419
P 2.348274 0.430692 -0.644209
C 4.234005 0.446773 -0.493706
C 2.084365 0.831406 -2.481782
C 1.78906 2.048596 0.071655
H 4.593694 1.058954 -1.352085
C 4.719625 1.06542 0.820203
C 4.74696 -0.994169 -0.647057
C 0.594296 1.035498 -2.767701
H 2.606833 1.80579 -2.60975
C 2.723474 -0.188628 -3.427162
C 2.392224 3.245115 -0.377455
C 0.73316 2.12325 1.012995
H 4.285241 0.525513 1.686547
H 4.453781 2.135672 0.911014
H 5.824657 0.980186 0.886615
H 4.356962 -1.49761 -1.552927
H 4.448155 -1.599314 0.233267
H 5.85566 -0.999976 -0.702877
H 0.44847 1.369681 -3.816645
H 0.148058 1.804319 -2.104872
H 0.031477 0.091085 -2.627459
H 2.303627 -1.20117 -3.2618
H 3.82398 -0.237924 -3.312482
H 2.513945 0.097904 -4.479391
H 3.215654 3.195993 -1.106676
C 1.97429 4.498165 0.085575
C 0.056583 0.929933 1.64495
C 0.308439 3.396569 1.453978
H 2.46751 5.412859 -0.276549
C 0.918049 4.573343 1.006092
H 0.664324 0.566956 2.501569
H -0.922103 1.26653 2.049737
N -0.164538 -0.235869 0.760334
H -0.525556 3.455572 2.171302
H 0.564982 5.549281 1.371871
C -1.097653 -1.231209 1.375852
H -0.653717 0.079928 -0.111171
H -0.57857 -1.670136 2.250343
H -1.216771 -2.033975 0.620215
C -2.448636 -0.675855 1.795922
C -2.834744 -0.808653 3.144663
C -3.329048 -0.027263 0.883859
H -2.14695 -1.30651 3.846338
C -4.062533 -0.314175 3.60602
P -2.80927 0.147847 -0.895235
C -4.554247 0.478613 1.368198
H -4.339307 -0.429824 4.664804
C -4.924168 0.339368 2.713962
C -3.875227 -1.149418 -1.764002
C -3.559488 1.798799 -1.392257
H -5.237109 0.998562 0.680157
H -5.886418 0.743215 3.063879
C -3.409805 -2.542508 -1.321491
H -3.58652 -1.012903 -2.830553
C -5.388261 -0.97664 -1.626754
C -2.862582 2.913873 -0.602097
C -3.392422 1.986792 -2.905952
H -4.64513 1.806882 -1.151197
H -3.640171 -2.715148 -0.248863
H -2.318868 -2.678701 -1.470855
H -3.937608 -3.327273 -1.902311
H -5.740635 0.015266 -1.974944
H -5.7121 -1.108102 -0.574158
H -5.916089 -1.744916 -2.230798
H -1.769191 2.920279 -0.793943
H -3.00923 2.800821 0.490813
H -3.260811 3.907583 -0.895996
H -3.759571 2.988371 -3.212808
H -3.957568 1.232709 -3.489398
H -2.324952 1.914181 -3.201695",High exact cone angle
ligand9158-0,[H]C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])[C@]1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H],"[[5], [13]]",CCN1(CC)->[Ir]<-N(CC)(CC)C2CCCCC21,2.981200000000001,257.0067011643171,"47
ligand9158-0: FEJDUV-subgraph-0. Original M-L.
Zn  1.3450  -0.1332  -0.2349
C -2.782709 -1.207044 -0.397775
H -2.575439 -1.408948 -1.46922
H -2.978884 -2.188489 0.077885
C -1.54185 -0.56151 0.24971
C -4.022115 -0.313138 -0.299124
N -0.314768 -1.435985 0.26417
H -1.79882 -0.386275 1.31659
C -1.276841 0.833263 -0.387652
H -4.299719 -0.174374 0.769934
H -4.884664 -0.815557 -0.783442
C -3.75532 1.05185 -0.93522
C -0.040669 -1.984512 1.621506
C -0.278088 -2.475437 -0.805194
N -0.030681 1.468349 0.135965
H -1.055289 0.656438 -1.464872
C -2.538338 1.70934 -0.280595
H -3.568325 0.923322 -2.024312
H -4.642444 1.711881 -0.843473
C -1.03483 -3.019962 2.141581
H 0.020235 -1.119808 2.311874
H 0.988963 -2.390696 1.612493
H -0.361958 -1.937063 -1.770017
H -1.144429 -3.165986 -0.717154
C 1.013454 -3.284773 -0.819897
C -0.005732 1.797493 1.590072
C 0.436134 2.580197 -0.734529
H -2.340093 2.701806 -0.732929
H -2.766961 1.886219 0.792489
H -2.061964 -2.611421 2.234724
H -0.72297 -3.357765 3.149995
H -1.0818 -3.918492 1.494008
H 1.906336 -2.628375 -0.859717
H 1.031183 -3.91235 -1.732127
H 1.111023 -3.958707 0.053783
C -0.554065 3.157183 2.029434
H 1.048641 1.688769 1.921213
H -0.554027 0.991591 2.116039
C 1.851299 3.047734 -0.412389
H -0.272705 3.438052 -0.687554
H 0.420815 2.181491 -1.769106
H 0.014761 4.000626 1.59216
H -0.455384 3.238633 3.130656
H -1.621477 3.303602 1.778312
H 2.176628 3.778316 -1.17855
H 2.569247 2.20268 -0.422627
H 1.930971 3.539389 0.576935",High exact cone angle
ligand28988-0,[H]c1c2nc(c([H])c1[H])C([H])([H])Oc1c([H])c([H])c([H])c([H])c1C([H])([H])SC([H])([H])C([H])([H])SC([H])([H])C([H])([H])SC([H])([H])c1c([H])c([H])c([H])c([H])c1OC2([H])[H],"[[11], [34]]",c1ccc2c(c1)CSCCS1->[Ir]<-n3c(cccc3COc3ccccc3CSCC1)CO2,6.452800000000007,267.0659242150033,"59
ligand28988-0: QALHUJ-subgraph-1. Original M-L.
Cd  -0.1522  -0.3685  -0.3688
S -1.561325 -2.724202 0.03667
C -3.15357 -2.257021 0.883261
C -0.638457 -3.484146 1.416822
H -3.862616 -3.084587 0.692474
H -2.934989 -2.210859 1.967777
C -3.704125 -0.95302 0.393208
C -0.130588 -2.544854 2.516212
H -1.29254 -4.252402 1.880124
H 0.186784 -4.037066 0.929108
C -4.780504 -0.899894 -0.508648
C -3.148168 0.266679 0.848894
S 0.91816 -1.122232 2.040255
H 0.426619 -3.124568 3.281662
H -0.982102 -2.061424 3.036161
H -5.212093 -1.843645 -0.875944
C -5.3115 0.326722 -0.931239
O -2.036998 0.131842 1.671139
C -3.680279 1.499008 0.447132
C 2.542809 -1.848481 1.634161
H -6.152701 0.348518 -1.638283
C -4.764736 1.520755 -0.444796
C -1.613011 1.244997 2.441904
H -3.247849 2.445367 0.796721
H 3.187809 -0.955575 1.50964
H 2.903509 -2.389053 2.534159
C 2.640909 -2.766443 0.408335
H -5.173931 2.489081 -0.768049
H -0.930971 0.821038 3.21026
H -2.475556 1.704133 2.970961
C -0.862353 2.313618 1.666592
S 1.85491 -2.197794 -1.143608
H 2.191262 -3.757136 0.613321
H 3.712787 -2.954916 0.191467
C -0.937409 3.651692 2.090749
N -0.116539 1.93999 0.608131
C 3.198636 -1.170451 -1.907905
H -1.565266 3.920452 2.9532
C -0.213276 4.626157 1.394997
C 0.570306 2.878784 -0.078738
C 3.823817 -0.184343 -0.971083
H 3.946885 -1.875325 -2.318153
H 2.673525 -0.673905 -2.748044
H -0.250507 5.680779 1.705785
C 0.551886 4.234043 0.29045
C 1.309469 2.437332 -1.322368
C 5.089365 -0.408208 -0.398972
C 3.1235 0.997189 -0.616756
H 1.131262 4.968138 -0.288647
O 1.892939 1.140119 -1.211932
H 0.566134 2.328507 -2.144538
H 2.07601 3.18394 -1.614451
C 5.647577 0.502451 0.512456
H 5.652044 -1.309511 -0.6894
C 3.672719 1.915555 0.292339
C 4.934085 1.659158 0.857083
H 6.641062 0.313358 0.94341
H 3.123661 2.825204 0.57033
H 5.361106 2.38061 1.569314",High exact cone angle
ligand13032-0,[H]c1nc(N(c2nc([H])c([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c([H])c(C([H])([H])N(c3nc([H])c([H])c([H])c3[H])c3nc([H])c([H])c([H])c3[H])c2[H])c([H])c([H])c1[H],"[[20], [35]]",c1ccc(N2Cc3cccc(CN(c4ccccn4)c4ccccn4->[Ir]<-n4ccccc42)c3)nc1,5.943200000000005,260.5447119819463,"59
ligand13032-0: TEQQOW-subgraph-0. Original M-L.
Ag  -1.3656  -0.0022  0.0047
C 3.319383 0.029564 1.219409
C 4.726072 0.022592 1.210495
C 2.63187 0.002039 -0.003382
C 2.557062 0.135824 2.526601
H 5.28312 0.04023 2.161104
C 5.42116 0.011073 -0.008276
H 1.533334 -0.001209 -0.001598
C 3.315301 -0.021097 -1.22861
N 1.118715 -0.108455 2.401064
H 2.991777 -0.534854 3.296205
H 2.657998 1.172268 2.901094
C 4.721909 -0.004982 -1.224637
H 6.521906 0.014764 -0.01019
C 2.548716 -0.132797 -2.53279
C 0.67783 -1.405824 2.11444
C 0.274517 1.03041 2.354258
H 5.275711 -0.01883 -2.177202
H 2.979054 0.536635 -3.305951
H 2.650606 -1.170198 -2.904455
N 1.110227 0.108081 -2.402564
N -0.477643 -1.559251 1.422459
C 1.432403 -2.540327 2.507871
N 0.882765 2.187345 2.044715
C -1.107 0.966519 2.674016
C 0.268575 -1.032519 -2.353306
C 0.667236 1.404688 -2.115626
C -0.966231 -2.794951 1.188552
H 2.38717 -2.425149 3.034451
C 0.936537 -3.814586 2.231007
C 0.15585 3.313543 2.014484
C -1.853754 2.148879 2.620879
H -1.57861 0.024152 2.976454
N 0.88055 -2.188485 -2.047278
C -1.114409 -0.9714 -2.667063
C 1.417752 2.540604 -2.512653
N -0.486203 1.555782 -1.419936
C -0.298021 -3.958595 1.575672
H -1.931233 -2.822418 0.656434
H 1.512886 -4.699245 2.541505
C -1.220026 3.353211 2.276304
H 0.705946 4.235488 1.755947
H -2.932386 2.116641 2.828421
C 0.156301 -3.316336 -2.015389
H -1.589644 -0.029739 -2.965915
C -1.858319 -2.155431 -2.612145
H 2.371015 2.427234 -3.042353
C 0.9196 3.81388 -2.235253
C -0.977303 2.790387 -1.185687
H -0.729332 -4.945446 1.359584
H -1.778499 4.298045 2.215601
H 0.709493 -4.237314 -1.760005
C -1.22052 -3.358816 -2.271735
H -2.937928 -2.125111 -2.814842
H 1.49269 4.699718 -2.548426
C -0.313204 3.955349 -1.576087
H -1.940928 2.815645 -0.650933
H -1.776591 -4.305009 -2.210016
H -0.746323 4.941329 -1.359608",High exact cone angle
ligand25548-0,[H]c1nc(C2=N[C@]([H])(C([H])([H])OC(=O)C([H])([H])[H])C(=O)N(C([H])([H])[H])c3c([H])c([H])c(Br)c([H])c32)c([H])c([H])c1[H],"[[13], [16]]",CC(=O)OCC1C(=O)N(C)c2ccc(Br)cc2C2c3ccccn3->[Ir]<-N=21,2.589600000000001,261.5682238663973,"42
ligand25548-0: WUPXIO-subgraph-0. Original M-L.
Zn  2.2991  0.8686  0.1740
Br -4.859395 0.917978 1.661152
C -3.702829 -0.157187 0.609959
C -2.453532 0.333262 0.225681
C -4.106459 -1.448278 0.222543
C -1.578193 -0.461401 -0.551684
H -2.118605 1.325216 0.558053
H -5.092158 -1.831342 0.521626
C -3.237971 -2.248542 -0.521432
C -1.957015 -1.788164 -0.905686
C -0.271322 0.1108 -0.912635
H -3.554108 -3.263731 -0.795575
N -1.124775 -2.624522 -1.680371
C -0.158479 1.546385 -1.312494
N 0.856373 -0.528769 -0.827753
C -1.73934 -3.540422 -2.643172
C 0.238806 -2.814936 -1.441334
N 1.042823 2.10508 -1.055104
C -1.172898 2.267573 -1.964335
C 0.881653 -1.9057 -0.3773
H -2.584525 -3.035012 -3.145365
H -2.100917 -4.473192 -2.160772
H -0.966154 -3.824534 -3.379141
O 0.885834 -3.651542 -2.055269
C 1.307605 3.36159 -1.426496
H -2.141036 1.793815 -2.178929
C -0.910069 3.592278 -2.348129
C 2.33538 -2.338082 -0.17252
H 0.311498 -1.98955 0.579518
C 0.34719 4.15153 -2.07993
H 2.322507 3.719484 -1.180768
H -1.684669 4.180905 -2.862085
H 2.391313 -3.328183 0.31619
H 2.855538 -2.37243 -1.148085
O 3.004878 -1.366789 0.63984
H 0.585922 5.185124 -2.368412
C 3.434632 -1.765395 1.905987
C 4.083762 -0.621982 2.620915
O 3.265402 -2.893412 2.309759
H 4.685298 -1.00585 3.462692
H 3.268883 0.031635 3.002881
H 4.683845 -0.005401 1.922693",High exact cone angle
ligand8254-0,[H]/C(=N\N([H])C(=S)SC([H])([H])[H])c1nc(SC([H])([H])[H])nc(C([H])([H])[H])c1[H],"[[0], [6]]",CSC1NN(=Cc2cc(C)nc(SC)n2)->[Ir]<-S=1,2.07832,245.0156361628377,"29
ligand8254-0: TIFSIL-subgraph-0. Original M-L.
Ni  -0.6476  0.4617  0.2532
S -3.014627 0.133667 0.706654
C -3.388697 -0.017942 -0.911756
S -4.983388 0.110085 -1.63183
N -2.416663 -0.267443 -1.855064
C -6.026208 0.27816 -0.161505
H -2.685376 -0.471995 -2.827129
N -1.100865 -0.263656 -1.541737
H -7.06124 0.341401 -0.547399
H -5.762644 1.201563 0.387342
H -5.912916 -0.60561 0.494772
C -0.255295 -0.713512 -2.432943
C 1.19005 -0.629603 -2.260799
H -0.633435 -1.138876 -3.381252
C 2.030377 -0.993746 -3.334911
N 1.680869 -0.187139 -1.087304
H 1.618941 -1.347014 -4.291097
C 3.421044 -0.887413 -3.132418
C 3.021421 -0.089521 -1.010139
N 3.905549 -0.432736 -1.96098
C 4.418967 -1.263906 -4.186414
S 3.631274 0.549397 0.517806
H 5.015299 -0.373599 -4.473272
H 3.93963 -1.681388 -5.090429
H 5.137733 -2.001945 -3.777164
C 5.423438 0.518132 0.226355
H 5.881996 0.913455 1.152406
H 5.688444 1.159777 -0.633784
H 5.770854 -0.513816 0.036634",High exact cone angle
ligand25952-0,[H]c1c2nc3c(c1[H])c([H])c([H])c1c([H])c([H])c(nc13)C(=O)OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])C([H])([H])OC2=O,"[[0], [11]]",O=C1OCCOCCOCCOCCOCCOC(=O)c2ccc3ccc4ccc1n1->[Ir]<-n2c3c41,2.1766000000000005,250.0018354242065,"61
ligand25952-0: BAKCIB-subgraph-1. Original M-L.
Cu  0.7661  -0.0603  0.3809
N 2.087465 1.241224 -0.589588
C 2.234685 2.574506 -0.461513
C 3.005383 0.568238 -1.343893
C 3.277166 3.299349 -1.085224
C 1.278081 3.356766 0.394711
C 2.875165 -0.869163 -1.426716
C 4.085379 1.218818 -2.018861
H 3.3187 4.384323 -0.917669
C 4.199368 2.625339 -1.875058
O 1.404989 4.552378 0.621413
O 0.298934 2.582259 0.875425
N 1.848498 -1.449596 -0.737762
C 3.825402 -1.62042 -2.186546
C 5.007523 0.435105 -2.793367
H 5.018548 3.161029 -2.378087
C -0.627344 3.159316 1.806435
C 1.756549 -2.793353 -0.75961
C 4.881716 -0.931377 -2.874953
C 3.683088 -3.031451 -2.207316
H 5.827836 0.953856 -3.312753
H -0.083771 3.815999 2.515501
H -1.036084 2.28783 2.352672
C -1.706724 3.965702 1.104213
C 0.695452 -3.491991 0.043988
C 2.653705 -3.615799 -1.481417
H 5.599593 -1.525766 -3.460721
H 4.394383 -3.643824 -2.78185
H -1.242142 4.850041 0.605608
O -2.362301 3.150292 0.155809
H -2.414069 4.356617 1.879392
O 0.658515 -4.707991 0.17703
O -0.171805 -2.634495 0.599391
H 2.503435 -4.702977 -1.434239
C -3.211199 3.846771 -0.725986
C -1.106235 -3.176257 1.550027
H -2.73419 4.800411 -1.062789
H -4.180393 4.118564 -0.23671
C -3.474728 3.001597 -1.956248
H -1.374776 -2.319317 2.196866
H -0.59349 -3.948486 2.157376
C -2.319003 -3.797575 0.883262
O -4.281221 1.886634 -1.634035
H -3.976349 3.638457 -2.728286
H -2.495013 2.668397 -2.377148
H -1.97043 -4.499544 0.091521
H -2.864366 -4.412615 1.642777
O -3.172402 -2.801888 0.344234
C -4.512682 1.037351 -2.739473
C -3.976917 -3.278675 -0.71064
H -3.550442 0.733792 -3.218961
H -5.122505 1.563528 -3.516555
C -5.2485 -0.209968 -2.295161
C -4.993073 -2.237063 -1.132796
H -4.543018 -4.195556 -0.407527
H -3.345785 -3.555846 -1.590937
H -6.078384 0.084755 -1.605069
H -5.722334 -0.690334 -3.188506
O -4.350984 -1.102516 -1.670594
H -5.666847 -2.710201 -1.891342
H -5.636085 -1.955715 -0.260452",High exact cone angle
ligand15229-0,[H]c1c([H])c([H])c(C2=N[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])O2)c(Sc2c([H])c([H])c([H])c([H])c2C2=N[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])O2)c1[H],"[[16], [24]]",CC(C)C1COC2c3ccccc3Sc3ccccc3C3=N(->[Ir]<-N=21)C(C(C)C)CO3,5.440600000000006,253.14486674068047,"58
ligand15229-0: WUBBEA-subgraph-2. Original M-L.
Zn  -0.0001  -1.7198  0.0002
S 0.000066 3.648651 -0.000775
C -0.671694 2.565439 -1.245945
C 0.671842 2.566076 1.244946
C -0.081962 1.34836 -1.682267
C -1.893268 2.979371 -1.815698
C 1.893339 2.980388 1.81459
C 0.082143 1.349185 1.681851
C 1.211535 0.842955 -1.171539
C -0.765327 0.546472 -2.620805
C -2.529027 2.20242 -2.792873
H -2.355198 3.91075 -1.455398
C 2.529048 2.204004 2.792246
H 2.35524 3.911608 1.453842
C 0.765421 0.547892 2.620959
C -1.211363 0.843531 1.171371
O 2.286199 1.645312 -1.255666
N 1.397761 -0.332416 -0.66029
H -0.35257 -0.437728 -2.886522
C -1.977381 0.970781 -3.178844
H -3.47877 2.548551 -3.22838
H 3.478723 2.550431 3.227666
C 1.977407 0.972565 3.178866
H 0.352648 -0.436142 2.887264
O -2.285981 1.645978 1.255266
N -1.39769 -0.331994 0.660476
C 3.419431 0.882558 -0.745869
C 2.812003 -0.465286 -0.276236
H -2.490509 0.327395 -3.908164
H 2.490474 0.329624 3.908621
C -3.4193 0.88313 0.745825
C -2.811966 -0.464864 0.276527
H 3.879101 1.470383 0.071067
H 4.145681 0.776301 -1.577393
H 2.839051 -0.555269 0.831479
C 3.444231 -1.750114 -0.855176
H -3.879052 1.470736 -0.071223
H -4.145452 0.777131 1.577468
C -3.444271 -1.749494 0.855818
H -2.839059 -0.555123 -0.831165
H 2.913194 -2.576144 -0.332986
C 3.203522 -1.900753 -2.359625
C 4.92632 -1.829798 -0.47521
C -3.203761 -1.899623 2.36035
C -4.926314 -1.829292 0.475695
H -2.913173 -2.575705 0.333976
H 2.120598 -1.989188 -2.579208
H 3.696054 -2.818077 -2.739438
H 3.613176 -1.045598 -2.940284
H 5.356474 -2.803163 -0.783979
H 5.070748 -1.731779 0.620545
H 5.526215 -1.036845 -0.972054
H -3.61354 -1.044298 2.940673
H -2.120866 -1.987938 2.580125
H -3.696304 -2.816848 2.74039
H -5.07061 -1.73165 -0.620112
H -5.526264 -1.036162 0.972191
H -5.356516 -2.802546 0.784747",High exact cone angle
ligand18932-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])([H])C([H])([H])N([H])C(=O)C2=C([H])C([H])=C([H])C([H])=C2C(=O)N([H])C([H])([H])C([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],"[[0], [51]]",O=C1NCCP(->[Ir]<-P(CCNC(=O)c2ccccc21)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,5.412000000000005,248.89241331099376,"77
ligand18932-0: FIXVAL-subgraph-0. Original M-L.
Pt  0.3214  0.1976  -1.0812
P -0.696685 1.608883 0.507705
C -1.060063 3.31229 -0.124382
C 0.181791 1.895203 2.11354
C -2.407382 1.141928 1.037946
C -1.165797 4.432858 0.723794
C -1.317104 3.470142 -1.501612
H -0.451224 2.507496 2.788354
H 0.290761 0.897334 2.579599
C 1.564216 2.556861 2.003446
C -2.842705 1.112508 2.375756
C -3.321364 0.815972 0.013895
H -0.993422 4.332455 1.805981
C -1.509742 5.689291 0.201673
H -1.219633 2.596707 -2.165199
C -1.673368 4.723272 -2.020163
N 2.52385 1.908651 1.135554
H 1.45905 3.604453 1.655878
H 1.995456 2.586918 3.026209
H -2.148891 1.333106 3.198453
C -4.168785 0.765927 2.6797
C -4.64277 0.466804 0.318988
H -2.987792 0.830757 -1.033965
H -1.584043 6.557623 0.874106
C -1.765402 5.837151 -1.170647
H -1.871124 4.83182 -3.09744
H 2.58154 2.219568 0.162904
C 3.117715 0.713374 1.457105
C -5.072045 0.443968 1.656326
H -4.49178 0.73511 3.731363
H -5.337612 0.205885 -0.493776
H -2.036407 6.822886 -1.578324
O 2.813327 0.067272 2.465271
C 4.252881 0.324821 0.537613
H -6.109229 0.168338 1.900466
C 5.112064 1.344638 0.069157
C 4.579461 -1.024606 0.252387
H 4.886278 2.389885 0.326886
C 6.267508 1.047531 -0.663976
C 5.76181 -1.312023 -0.456386
C 3.755804 -2.236266 0.625827
H 6.920644 1.86185 -1.012331
C 6.597895 -0.290852 -0.922898
H 6.005152 -2.370036 -0.632742
N 2.419769 -2.154985 0.35513
O 4.292338 -3.270448 1.030805
H 7.511256 -0.540404 -1.483945
H 2.01102 -1.286549 -0.029634
C 1.563061 -3.310411 0.52189
H 1.201763 -3.393343 1.572144
H 2.188795 -4.21213 0.352091
C 0.378628 -3.299417 -0.440886
P -0.720632 -1.782085 -0.35741
H -0.256603 -4.185999 -0.245026
H 0.723514 -3.352878 -1.493312
C -1.317185 -1.882444 1.385331
C -2.124781 -2.317579 -1.424426
C -2.625042 -2.247614 1.757961
C -0.379065 -1.561568 2.394669
C -2.500379 -1.47622 -2.491557
C -2.801818 -3.543098 -1.246655
H -3.381276 -2.455968 0.988563
C -2.982907 -2.310919 3.113356
C -0.74142 -1.633721 3.747885
H 0.642941 -1.239487 2.135398
H -1.93797 -0.539436 -2.640694
C -3.548953 -1.83892 -3.350101
H -2.512646 -4.225136 -0.432368
C -3.853568 -3.902304 -2.102615
H -4.013034 -2.584617 3.387758
C -2.043183 -2.013255 4.111848
H 0.006533 -1.387671 4.517041
H -3.829566 -1.174657 -4.181589
C -4.232086 -3.049015 -3.152256
H -4.378705 -4.857754 -1.951284
H -2.327479 -2.06837 5.173762
H -5.056215 -3.3346 -3.823687",High exact cone angle
