tmQMg-L ligand ID,Decoded SMILES,Connection IDs,Encoded SMILES,log P,Exact cone angle ($^\circ$),M-L XYZ,Sampling region
ligand1244-0,[H]C1=C([H])C([H])=C(N([H])C([H])([H])C2=C([H])C([H])=C([H])C([H])=C2P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[1]],[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1CNc1ccccc1,5.056900000000003,210.3309396445204,"50
ligand1244-0: VOVCAM-subgraph-0. Original M-L.
Au  -0.1418  -1.6114  0.3682
C 2.834951 -0.341402 -0.733212
P 1.221294 0.161917 -0.014132
C 3.999461 0.435066 -0.567391
C 2.888298 -1.530424 -1.48942
C 1.649303 1.152224 1.469449
C 0.515104 1.363737 -1.215242
H 3.969199 1.355392 0.034517
C 5.202507 0.027617 -1.162355
H 1.980368 -2.145466 -1.597484
C 4.092677 -1.928559 -2.087627
C 1.68418 0.516168 2.726233
C 1.957047 2.524877 1.36839
C 1.131495 1.536082 -2.472522
C -0.69634 2.045797 -0.919754
H 6.110613 0.633996 -1.025333
C 5.250179 -1.150806 -1.924863
H 4.127386 -2.857834 -2.675766
H 1.419661 -0.55082 2.801145
C 2.034818 1.246275 3.871044
C 2.304179 3.25065 2.518197
H 1.910202 3.026694 0.388993
H 2.065513 1.001742 -2.698732
C 0.557222 2.371139 -3.440326
C -1.378109 1.941841 0.441254
C -1.258066 2.871264 -1.908918
H 6.196768 -1.468674 -2.387642
C 2.345376 2.612159 3.768467
H 2.057234 0.746141 4.850887
H 2.540267 4.322573 2.437078
H 1.04727 2.491621 -4.418042
C -0.644305 3.03662 -3.157602
H -1.188893 0.926207 0.872597
H -0.877843 2.648915 1.136345
N -2.78711 2.24573 0.421742
H -2.208262 3.373456 -1.672857
H 2.613826 3.184502 4.669332
H -1.109638 3.685888 -3.914762
C -3.744732 1.295514 0.067009
H -3.104421 2.953767 1.081202
C -3.386865 0.062642 -0.526516
C -5.116742 1.56191 0.297551
H -2.332669 -0.178601 -0.725068
C -4.371778 -0.881576 -0.847122
C -6.091227 0.61718 -0.041025
H -5.411095 2.520764 0.754947
C -5.728678 -0.615285 -0.612268
H -4.055639 -1.84834 -1.266983
H -7.15075 0.845186 0.153678
H -6.496607 -1.361334 -0.863665",High exact cone angle
ligand24180-0,[H]C1=C([H])C([H])=C(C([H])(C2=C([H])C([H])=C([H])C([H])=C2[H])N2CN3C(=C2[H])C([H])([H])C([H])([H])[C@@]3([H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[0]],[Be]=[C]1N(C(c2ccccc2)c2ccccc2)C=C2CCC(c3ccccc3)N12,5.766390000000005,215.7502409807684,"50
ligand24180-0: FUMGEB-subgraph-0. Original M-L.
Ir  0.8554  0.6825  -0.4675
C -0.120987 -0.761192 0.552504
N 0.365201 -1.780449 1.319231
N -1.475504 -0.99826 0.541801
C 1.702588 -2.176038 1.789561
C -0.63909 -2.633823 1.772116
C -1.817042 -2.134455 1.281898
C -2.417904 -0.131514 -0.18418
H 1.928749 -1.589958 2.70836
C 2.827288 -1.972791 0.801543
C 1.444677 -3.661736 2.174968
C -0.044155 -3.730232 2.600169
H -2.849427 -2.485728 1.353847
H -1.807625 0.273443 -1.021462
C -2.88457 1.044829 0.656816
C -3.540462 -0.966396 -0.789362
C 2.631572 -2.144899 -0.582482
C 4.111376 -1.654979 1.280388
H 2.147656 -4.008953 2.954916
H 1.60647 -4.282837 1.270615
H -0.500455 -4.721246 2.411691
H -0.162202 -3.514664 3.685199
C -2.91075 1.011452 2.062575
C -3.311408 2.213237 -0.004385
C -4.842333 -0.976801 -0.256665
C -3.239697 -1.777171 -1.903913
H 1.63199 -2.364036 -0.984233
C 3.708543 -2.002715 -1.469709
C 5.1915 -1.525113 0.393818
H 4.265405 -1.500394 2.360613
H -2.564774 0.111313 2.5931
C -3.356305 2.124555 2.794263
C -3.759077 3.323708 0.724009
H -3.282013 2.248917 -1.104595
H -5.083193 -0.333425 0.603229
C -5.832843 -1.794514 -0.82578
C -4.230515 -2.589996 -2.470078
H -2.217841 -1.749553 -2.318572
H 3.529151 -2.110577 -2.54963
C 4.990285 -1.698082 -0.985461
H 6.190923 -1.274915 0.780766
H -3.365004 2.086016 3.894298
C -3.781796 3.283459 2.128142
H -4.082278 4.231752 0.192541
H -6.849675 -1.794902 -0.404019
C -5.528968 -2.602971 -1.931372
H -3.990056 -3.214694 -3.344012
H 5.832664 -1.582618 -1.684371
H -4.125692 4.157415 2.701706
H -6.306792 -3.24012 -2.379496",High exact cone angle
ligand6408-0,[H]c1c(C([H])([H])[H])nc2c(c([H])c(C([H])([H])[H])c3c(Cl)c([H])c(C([H])([H])[H])nc32)c1Cl,[[8]],[Li]<-n1c(C)cc(Cl)c2cc(C)c3c(Cl)cc(C)nc3c21,5.015060000000003,213.558014425609,"32
ligand6408-0: CUMTUB-subgraph-2. Original M-L.
Pd  0.3228  -0.7887  0.3938
Cl -5.668843 -3.551146 -0.216187
C -4.143816 -2.79054 0.127026
C -3.046769 -3.57694 0.445632
C -4.018999 -1.372224 0.079007
H -3.14005 -4.6699 0.487122
C -1.788174 -2.965039 0.669986
C -5.084822 -0.49154 -0.274484
C -2.739648 -0.834644 0.395929
N -1.658881 -1.628347 0.638219
C -0.5637 -3.797221 0.901796
H -6.051999 -0.948303 -0.527213
C -4.956496 0.882988 -0.33324
C -2.601021 0.616729 0.470144
H -0.822713 -4.857175 1.08201
H 0.018069 -3.385851 1.752324
H 0.09243 -3.734937 0.007608
C -6.167252 1.67509 -0.760115
C -3.684149 1.475425 0.053295
N -1.443184 1.065407 0.994865
H -6.477724 2.411256 0.006703
H -7.014248 0.987127 -0.943914
H -5.980532 2.249107 -1.688634
C -3.361145 2.872251 0.110911
C -1.224496 2.368838 1.146639
C -2.15785 3.312357 0.652111
Cl -4.422815 4.132153 -0.477398
C 0.016662 2.798405 1.877459
H -1.952246 4.390406 0.708749
H -0.243221 3.468829 2.722111
H 0.705225 3.356528 1.211056
H 0.528564 1.900061 2.269659",High exact cone angle
ligand18586-0,[H]C1=C([H])C([H])=C(P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C(C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[0]],[Li]<-P(c1ccccc1)(c1ccccc1)c1ccccc1C(=O)NC(C)C,3.583000000000002,210.8148687198352,"48
ligand18586-0: EQISAY-subgraph-0. Original M-L.
Pd  1.0731  -0.4003  0.4310
P -0.815134 0.796171 0.077135
C -1.36035 0.984033 -1.666153
C -0.621618 2.498694 0.752144
C -2.343592 0.167256 0.924745
C -0.487037 0.622071 -2.710964
C -2.659354 1.441902 -1.971779
C -1.120316 3.648493 0.110862
C 0.103709 2.62094 1.958004
C -2.762063 0.775264 2.126098
C -3.120666 -0.887075 0.378295
C -0.902805 0.734256 -4.045263
H 0.515568 0.241598 -2.465956
C -3.068831 1.553129 -3.307538
H -3.364211 1.682655 -1.161943
C -0.895726 4.915115 0.673605
H -1.67055 3.55894 -0.837382
H 0.486701 1.709758 2.449114
C 0.311746 3.889282 2.518176
C -3.936469 0.361341 2.769364
H -2.165376 1.586211 2.564207
C -2.770789 -1.619081 -0.901822
C -4.323607 -1.25728 1.008922
C -2.191966 1.202346 -4.345213
H -0.216016 0.445102 -4.855132
H -4.088467 1.896753 -3.536892
H -1.279273 5.812541 0.164597
C -0.182581 5.037177 1.87625
H 0.873361 3.980732 3.460224
H -4.237441 0.844654 3.710871
C -4.728555 -0.649463 2.203803
O -3.56281 -1.659826 -1.849275
N -1.545439 -2.208288 -0.889293
H -4.934478 -2.042145 0.538344
H -2.520691 1.279308 -5.39274
H -0.006598 6.032219 2.312888
H -5.662445 -0.964183 2.693845
C -1.020731 -2.912332 -2.057692
H -1.024496 -2.242087 0.011381
H -1.223189 -2.253123 -2.931528
C 0.488219 -3.100184 -1.899809
C -1.753956 -4.240227 -2.292709
H 0.921164 -3.552056 -2.813875
H 0.711666 -3.774728 -1.046179
H 0.996485 -2.13292 -1.702019
H -2.837497 -4.053647 -2.417989
H -1.603388 -4.927638 -1.434321
H -1.375324 -4.739412 -3.207943",High exact cone angle
ligand18554-0,[H]c1c(C([H])([H])[H])nc2c(c([H])c([H])c3c(Cl)c([H])c(C([H])([H])[H])nc32)c1Cl,[[9]],[Li]<-n1c(C)cc(Cl)c2ccc3c(Cl)cc(C)nc3c21,4.706640000000002,222.7527054993816,"29
ligand18554-0: JUSROG-subgraph-2. Original M-L.
Pd  -0.1347  -0.5892  -0.2495
Cl 5.875451 -3.418729 0.168603
C 4.349407 -2.620647 -0.065865
C 3.224975 -3.378922 -0.357042
C 4.256502 -1.20232 0.029404
C 1.970698 -2.740776 -0.517542
H 3.299717 -4.470412 -0.446146
C 5.379996 -0.354094 0.302008
C 2.958495 -0.634677 -0.175912
C 0.73286 -3.536977 -0.795057
N 1.861656 -1.405648 -0.409706
H 6.355445 -0.828503 0.475622
C 5.247605 1.012294 0.334616
C 2.821612 0.81945 -0.167653
H 0.037954 -3.45039 0.066281
H 0.966778 -4.603192 -0.972142
H 0.205761 -3.106141 -1.671733
H 6.114108 1.657198 0.536125
C 3.979893 1.627573 0.080349
N 1.612969 1.339328 -0.450263
C 3.77177 3.037054 0.022187
C 1.449316 2.658226 -0.553764
Cl 5.094032 4.126817 0.3324
C 2.524483 3.554762 -0.304688
C 0.086762 3.15046 -0.955449
H 2.379617 4.64142 -0.377564
H -0.333392 2.478382 -1.729523
H 0.113041 4.191995 -1.326638
H -0.607869 3.110419 -0.090638",High exact cone angle
ligand21583-0,[H]C1=C([H])C([H])=C(/C(=N\C2=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C2C([H])(C([H])([H])[H])C([H])([H])[H])N2CN(C([H])([H])[H])C([H])=C2[H])C([H])=C1[H],[[8]],[Be]=[C]1N(C)C=CN1C(=Nc1c(C(C)C)cccc1C(C)C)c1ccccc1,5.726590000000006,220.6295331861757,"54
ligand21583-0: YECVEI-subgraph-1. Original M-L.
Ag  -2.4202  -0.6336  -0.4049
N 0.285377 -0.168615 0.56927
C 0.317907 1.108644 0.518291
C 1.346179 -1.024912 0.23295
N -0.933506 1.778759 0.755139
C 1.474096 1.987987 0.201144
C 1.802738 -1.152907 -1.107223
C 1.866583 -1.842488 1.279792
C -1.085861 3.027347 1.358107
C -2.154495 1.217651 0.443089
C 1.316832 3.103324 -0.652049
C 2.758679 1.6692 0.69328
C 1.193315 -0.374317 -2.267294
C 2.825694 -2.087673 -1.361084
C 2.899465 -2.739506 0.970917
C 1.265372 -1.735433 2.677396
H -0.234854 3.625883 1.693659
C -2.432805 3.254534 1.430258
N -3.058078 2.145397 0.865181
H 0.323446 3.342917 -1.059886
C 2.4257 3.881475 -1.009659
C 3.861228 2.457509 0.341495
H 2.888644 0.797469 1.349256
H 0.433296 0.321458 -1.857318
C 2.248444 0.473642 -2.998778
C 0.450096 -1.314613 -3.23384
C 3.383413 -2.862884 -0.340843
H 3.188697 -2.207931 -2.393469
H 3.330433 -3.362778 1.767267
H 1.067515 -0.65654 2.866501
C -0.09482 -2.460792 2.723324
C 2.191069 -2.231064 3.79365
H -2.991683 4.103182 1.836526
C -4.49877 1.994701 0.72568
C 3.69907 3.561497 -0.512042
H 2.296117 4.738287 -1.687608
H 4.857468 2.203857 0.733026
H 2.785945 1.150552 -2.30543
H 1.772445 1.09287 -3.786593
H 3.004607 -0.168258 -3.496515
H -0.362972 -1.867799 -2.720672
H 1.144245 -2.054016 -3.684621
H -0.004031 -0.732645 -4.062632
H 4.188907 -3.577694 -0.56659
H -0.785766 -2.070292 1.950771
H -0.574576 -2.334341 3.715957
H 0.041216 -3.546391 2.5413
H 1.738384 -2.027084 4.784825
H 3.183802 -1.737442 3.761185
H 2.355269 -3.326909 3.733931
H -4.690091 1.04483 0.192794
H -4.920043 2.836941 0.142388
H -4.98245 1.959499 1.721868
H 4.569745 4.172853 -0.793334",High exact cone angle
ligand1156-0,[H]c1c(C(F)(F)F)nn(C([H])([H])n2nc(C(F)(F)F)c([H])c2C(F)(F)F)c1C(F)(F)F,[[19]],[Li]<-n1c(C(F)(F)F)cc(C(F)(F)F)n1Cn1nc(C(F)(F)F)cc1C(F)(F)F,4.660600000000001,221.6480524094675,"32
ligand1156-0: MIMCOB-subgraph-1. Original M-L.
Ag  0.0001  0.0003  0.8247
C -0.991135 -3.527057 -0.780301
C 0.389316 -2.992001 -1.059389
F -1.361519 -3.269733 0.501723
F -1.041441 -4.849416 -0.973651
F -1.918047 -2.93505 -1.579071
C 1.60029 -3.713456 -1.188328
N 0.582673 -1.669663 -1.16159
H 1.756764 -4.796062 -1.159482
C 2.561644 -2.728395 -1.377859
N 1.908225 -1.516621 -1.363923
C 4.051826 -2.866698 -1.541271
C 2.447624 -0.175975 -1.465291
F 4.696444 -2.301775 -0.491337
F 4.394543 -4.155872 -1.612324
F 4.474949 -2.237119 -2.664077
N 2.939617 0.319557 -0.17547
H 3.287156 -0.160368 -2.18071
H 1.629928 0.480918 -1.819472
C 4.130722 0.931812 0.111775
N 2.154013 0.263053 0.917396
C 5.183533 1.23961 -0.926371
C 4.112253 1.268181 1.462919
C 2.855433 0.823581 1.917512
F 5.668875 0.115448 -1.496183
F 4.650543 1.992782 -1.919291
F 6.192565 1.911442 -0.364113
H 4.899369 1.771337 2.031908
C 2.261014 0.90435 3.303634
F 2.105574 -0.324028 3.834739
F 1.032475 1.485123 3.258843
F 3.048362 1.630674 4.106813",High exact cone angle
ligand7258-0,[H]C1=C([H])C([H])=C(SC([H])([H])P(C2=C([H])C([H])=C([H])C([H])=C2[H])C2=C([H])C([H])=C([H])C([H])=C2[H])C([H])=C1[H],[[0]],[Li]<-P(CSc1ccccc1)(c1ccccc1)c1ccccc1,4.869100000000004,211.73132744225208,"39
ligand7258-0: XAMWAJ-subgraph-0. Original M-L.
Au  -0.7965  -1.1244  -0.4859
P 0.934382 0.083773 0.330288
C 1.278098 1.636944 -0.57133
C 0.749531 0.566291 2.12748
C 2.512465 -0.859549 0.370635
C 1.936428 2.731211 0.028214
C 0.85886 1.72669 -1.914332
S -0.377607 1.962397 2.476269
H 1.739253 0.867387 2.528915
H 0.439906 -0.358432 2.657213
C 3.769069 -0.230129 0.261494
C 2.444319 -2.255617 0.560264
C 2.18314 3.89422 -0.716057
H 2.245164 2.690073 1.082492
H 0.318218 0.880172 -2.367477
C 1.110771 2.890683 -2.654806
C -1.850179 1.458479 1.586847
C 4.943484 -0.99199 0.350223
H 3.831587 0.85506 0.08999
H 1.459651 -2.748032 0.612625
C 3.622534 -3.009818 0.658481
C 1.772935 3.974638 -2.056725
H 2.691895 4.746844 -0.241671
H 0.780001 2.952852 -3.702351
C -2.183321 2.112268 0.384775
C -2.67083 0.425977 2.082463
H 5.921847 -0.497148 0.254231
C 4.872753 -2.379767 0.553409
H 3.561476 -4.098711 0.804927
H 1.963923 4.891028 -2.635551
C -3.325548 1.715185 -0.32744
H -1.529614 2.911231 0.005386
C -3.800199 0.026046 1.355592
H -2.408886 -0.0691 3.029509
H 5.796608 -2.974089 0.619992
C -4.126258 0.666661 0.14946
H -3.576219 2.21403 -1.275668
H -4.420879 -0.804217 1.722807
H -4.998304 0.33129 -0.430065",High exact cone angle
ligand4986-0,[H]C1=C([H])C([H])=C(SC([H])([H])N2CN(C3=C(C([H])(C([H])([H])[H])C([H])([H])[H])C([H])=C([H])C([H])=C3C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])=C1[H],[[0]],[Be]=[C]1N(CSc2ccccc2)CCN1c1c(C(C)C)cccc1C(C)C,5.801490000000006,229.3961814624923,"54
ligand4986-0: GEDWOE-subgraph-0. Original M-L.
Cu  -0.1741  0.8301  -1.1825
C 0.169615 -0.958812 -0.721844
N 1.086959 -1.331356 0.194205
N -0.495314 -2.07324 -1.11734
C 2.052987 -0.458794 0.795686
C 1.015068 -2.762499 0.550639
C -0.083217 -3.287859 -0.395069
C -1.638297 -2.060306 -1.98036
C 3.357759 -0.421841 0.236667
C 1.700443 0.297711 1.939174
H 0.753214 -2.870134 1.624294
H 1.998259 -3.252516 0.392701
H 0.287041 -4.054386 -1.109263
H -0.958123 -3.713083 0.139572
H -1.565687 -2.849734 -2.758329
H -1.673108 -1.070667 -2.477789
S -3.235237 -2.430457 -1.128049
C 3.647709 -1.096554 -1.097977
C 4.332509 0.352177 0.888959
C 0.278619 0.342281 2.482203
C 2.715279 1.055574 2.556706
C -3.327799 -1.080632 0.038977
C 3.338438 -0.104545 -2.237219
H 2.940891 -1.94594 -1.206625
C 5.068483 -1.662547 -1.214103
H 5.350898 0.403198 0.477306
C 4.018479 1.071673 2.050039
C 0.16669 -0.371493 3.840246
H -0.378512 -0.193213 1.766834
C -0.229174 1.791937 2.557608
H 2.472435 1.651894 3.449003
C -3.110625 0.260697 -0.337462
C -3.689429 -1.383569 1.367549
H 2.301501 0.284353 -2.157911
H 3.45752 -0.586365 -3.229399
H 4.023071 0.767004 -2.189927
H 5.308262 -2.347426 -0.375769
H 5.833137 -0.859005 -1.224389
H 5.181511 -2.224983 -2.162719
H 4.795348 1.668014 2.552282
H 0.515715 -1.422985 3.780941
H -0.887098 -0.379307 4.186454
H 0.776044 0.137478 4.615961
H -1.274747 1.80976 2.920478
H -0.206402 2.274106 1.558748
H 0.38023 2.404425 3.253366
H -2.835444 0.529284 -1.368477
C -3.257111 1.286149 0.607919
H -3.838017 -2.433687 1.661776
C -3.867072 -0.349088 2.299088
H -3.042883 2.319906 0.297002
C -3.65363 0.986538 1.920826
H -4.165259 -0.592225 3.330548
H -3.790072 1.796228 2.653379",High exact cone angle
ligand8239-0,[H]C1=C([H])C2=C(C([H])=C1[H])N(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])CN2C([H])([H])[H],[[13]],[Be]=[C]1N(C)c2ccccc2N1CC(=O)NCCC,1.4652899999999998,234.2399207275664,"35
ligand8239-0: URUGOE-subgraph-3. Original M-L.
Pd  -0.2228  0.5511  -1.2892
O 0.446923 2.218611 2.028623
C 0.488331 2.726872 0.900398
N -0.570992 3.269907 0.255539
C 1.817852 2.822509 0.130123
C -1.928734 3.145264 0.773209
H -0.467702 3.396023 -0.764234
H 2.535642 3.35596 0.780084
H 1.701553 3.362647 -0.830711
N 2.373066 1.503607 -0.157958
C -2.925099 3.89622 -0.103889
H -2.209299 2.07086 0.8079
H -1.941122 3.509396 1.822014
C 3.694902 1.119421 0.067072
C 1.692081 0.51622 -0.819919
H -2.804177 3.534226 -1.147848
C -4.366154 3.658087 0.343883
H -2.683595 4.981757 -0.101307
C 4.769666 1.741927 0.716767
C 3.833035 -0.166951 -0.508152
N 2.591278 -0.487948 -1.050887
H -4.620844 2.5814 0.26512
H -5.08341 4.222439 -0.28441
H -4.525262 3.965872 1.398951
C 5.97884 1.032218 0.777592
H 4.673951 2.740627 1.164784
C 5.040443 -0.874772 -0.450976
C 2.309266 -1.718875 -1.763263
C 6.112944 -0.252322 0.205215
H 6.842127 1.488925 1.283414
H 5.140256 -1.875299 -0.893812
H 2.526375 -2.592944 -1.119143
H 2.917989 -1.772447 -2.688088
H 1.238814 -1.721667 -2.036289
H 7.077835 -0.775473 0.275546",High exact cone angle
