,Original encoded SMILES,Original log P,Original G parameter,Denticity,Isomer,Original encoded SMILES again,Optimized encoded SMILES,Tanimoto similarity,Optimization objective,Minimization,Original ligand ID,Optimized ligand ID,Sampling region,Optimization direction,Valid
0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,[Be]=C1N(Cc2ccc(F)cc2)C=CN1C(C)(C)C,0.4677419354838709,log P,False,uncond_mono-min15k-9550,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-9550,High G parameter,O1,True
1,[Be]=C1N(CCl)C=CN1C(C)(C)C,2.06629,34.92758236511221,0,0,[Be]=C1N(CCl)C=CN1C(C)(C)C,[Be]=C1N(CCl)c2cc(Cl)ccc2N1C(C)(C)C,0.3571428571428571,log P,False,uncond_mono-min15k-4182,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-4182,High G parameter,O1,True
2,[Li]<-N(=C(C)C)c1ccc(C)cc1,3.1073200000000014,29.41270093904186,0,0,[Li]<-N(=C(C)C)c1ccc(C)cc1,[Li]<-N(=Cc1ccc(C)s1)c1ccc(C)cc1,0.4259259259259259,log P,False,uncond_mono-min15k-4021,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-4021,High G parameter,O1,True
3,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N(C)=C1C2C3C=CC=CC2C(c2ccccc2Br)C13,0.391304347826087,log P,False,uncond_mono-min15k-8040,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-8040,High G parameter,O1,True
4,[Li]<-O=C(C=C)Nc1cccc(C)c1C,2.4279400000000004,29.635524431004296,0,0,[Li]<-O=C(C=C)Nc1cccc(C)c1C,[Li]<-S=C(C=Cc1c(C)cccc1C)c1ccccc1,0.2602739726027397,log P,False,uncond_mono-min15k-7231,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-7231,High G parameter,O1,True
5,[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0,[Li]<-O=CC(=C)c1ccccc1,[Li]<-O=P(Cl)(c1ccccc1)C(C)(C)C,0.3333333333333333,log P,False,uncond_mono-min15k-3343,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-3343,High G parameter,O1,True
6,[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Li]<-S=C(NC1CCCCC1)c1ccc(C)cc1,0.3015873015873015,log P,False,uncond_mono-min15k-4752,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-4752,High G parameter,O1,True
7,[Be]=C1N(C)C=CN1Cc1cccnc1,1.29649,30.97246538277893,0,0,[Be]=C1N(C)C=CN1Cc1cccnc1,[Li]<-S=P(CC)(c1ccccc1)c1cccnc1,0.2714285714285714,log P,False,uncond_mono-min15k-6877,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-6877,High G parameter,O1,True
8,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1c(C(=O)OCC)cc(-c2ccccn2)c2ccccc21,0.2658227848101265,log P,False,uncond_mono-min15k-7207,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-7207,High G parameter,O1,True
9,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,[Be]=C1N(CCC(C)C)c2ccccc2N1CC(C)C,0.2465753424657534,log P,False,uncond_mono-min15k-9884,cond_mono-isolated_ligands-O1_optimized-uncond_mono-min15k-9884,High G parameter,O1,True
0,[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0,[Li]<-O=CC(=C)c1ccccc1,[Be]=C1NC(C)(c2ccccc2)CC(N)(CO)N1C,0.2121212121212121,G parameter,False,uncond_mono-min15k-3343,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-3343,High G parameter,O2,True
1,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,[Be]=C1N(C)c2ccccc2N1C(C)(C)O,0.25,G parameter,False,uncond_mono-min15k-14761,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-14761,High G parameter,O2,True
2,[Li]<-N(=C(C)C)c1ccc(C)cc1,3.1073200000000014,29.41270093904186,0,0,[Li]<-N(=C(C)C)c1ccc(C)cc1,[Be]=C(NN)Nc1cc(C)ccc1C,0.2407407407407407,G parameter,False,uncond_mono-min15k-4021,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-4021,High G parameter,O2,True
3,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,[Be]=C1N(C)c2ccccc2N1CC(C)(C)O,0.2058823529411764,G parameter,False,uncond_mono-min15k-9884,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-9884,High G parameter,O2,True
4,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,[Be]=C1NC(N)C(=O)CN1C(C)c1ccccc1,0.2191780821917808,G parameter,False,uncond_mono-min15k-9550,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-9550,High G parameter,O2,True
5,[Be]=C(SC=C(C)OC)N(C)C,1.78519,33.40760783065414,0,0,[Be]=C(SC=C(C)OC)N(C)C,[Be]=C(NC)SCC(=C)OC,0.2272727272727272,G parameter,False,uncond_mono-min15k-2627,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-2627,High G parameter,O2,True
6,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Be]=C1N(C)C(C#N)=C(C(=O)OCC)N1C,0.288135593220339,G parameter,False,uncond_mono-min15k-7207,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-7207,High G parameter,O2,True
7,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,1.44121,29.02275982810759,0,0,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,[Be]=C(NC)c1cccc(N2COCC2(C)N)c1,0.2191780821917808,G parameter,False,uncond_mono-min15k-9292,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-9292,High G parameter,O2,True
8,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,1.55123,31.02021327391374,0,0,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,[Be]=C1N(C)C=CN1C(C)c1ccc(OC)cc1,0.2666666666666666,G parameter,False,uncond_mono-min15k-14325,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-14325,High G parameter,O2,True
9,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,2.04059,30.45519656215184,0,0,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,[Be]=C1N(C)C(=O)CCN1C(C)c1ccccc1,0.2361111111111111,G parameter,False,uncond_mono-min15k-8572,cond_mono-isolated_ligands-O2_optimized-uncond_mono-min15k-8572,High G parameter,O2,True
0,[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0,[Li]<-O=CC(=C)c1ccccc1,[Li]<-O=CC(=C)N,0.2777777777777778,log P,True,uncond_mono-min15k-3343,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-3343,High G parameter,O3,True
1,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,[Li]<-n1ccccc1C(O)(O)OC,0.4642857142857143,log P,True,uncond_mono-min15k-14761,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-14761,High G parameter,O3,True
2,[Li]<-N(=C(C)C)c1ccc(C)cc1,3.1073200000000014,29.41270093904186,0,0,[Li]<-N(=C(C)C)c1ccc(C)cc1,[Li]<-N(=C(C)C)C(C)N,0.2439024390243902,log P,True,uncond_mono-min15k-4021,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-4021,High G parameter,O3,True
3,[Li]<-N(=C(C)C(F)(F)F)C(C)C,2.418000000000001,35.365271367181286,0,0,[Li]<-N(=C(C)C(F)(F)F)C(C)C,[Li]<-N(=C(C)C(=O)OC)C(C)C,0.358974358974359,log P,True,uncond_mono-min15k-3436,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-3436,High G parameter,O3,True
4,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,[Be]=C1NC(N)=CN1CC(=O)N(C)C,0.3333333333333333,log P,True,uncond_mono-min15k-9550,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-9550,High G parameter,O3,True
5,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,1.44121,29.02275982810759,0,0,[Be]=C1NC(=O)C=CN1c1cccc(C)c1,[Be]=C1NC(=O)N(c2ccccc2)C=C1N,0.3770491803278688,log P,True,uncond_mono-min15k-9292,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-9292,High G parameter,O3,True
6,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-[nH]1nc(N)cc1C(=O)OCC,0.3269230769230769,log P,True,uncond_mono-min15k-7207,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-7207,High G parameter,O3,True
7,[Li]<-O=C(C=C)Nc1cccc(C)c1C,2.4279400000000004,29.635524431004296,0,0,[Li]<-O=C(C=C)Nc1cccc(C)c1C,[Li]<-O=C(C=C)Nc1ccccc1C,0.6818181818181818,log P,True,uncond_mono-min15k-7231,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-7231,High G parameter,O3,True
8,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,[Be]=C1N(C)CCN1CC(C)=O,0.2830188679245283,log P,True,uncond_mono-min15k-9884,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-9884,High G parameter,O3,True
9,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,2.04059,30.45519656215184,0,0,[Be]=C1N(C)C=CN1Cc1ccc(F)cc1,[Be]=C1N(C)C=CN1CC(=O)N(C)C,0.3333333333333333,log P,True,uncond_mono-min15k-8572,cond_mono-isolated_ligands-O3_optimized-uncond_mono-min15k-8572,High G parameter,O3,True
0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1ccc(C=NOC)c(C(C)=O)c1,0.2096774193548387,G parameter,True,uncond_mono-min15k-7207,cond_mono-isolated_ligands-O4_optimized-uncond_mono-min15k-7207,High G parameter,O4,True
1,[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0,[Li]<-O=CC(=C)c1ccccc1,[Li]<-[nH]1cnc(C(=C)C(=O)c2ccccc2)c1,0.3818181818181818,G parameter,True,uncond_mono-min15k-3343,cond_mono-isolated_ligands-O4_optimized-uncond_mono-min15k-3343,High G parameter,O4,True
2,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,[Li]<-[nH]1c(OC)nc(Cc2ccccc2)c1C(C)=N,0.2195121951219512,G parameter,True,uncond_mono-min15k-14761,cond_mono-isolated_ligands-O4_optimized-uncond_mono-min15k-14761,High G parameter,O4,True
3,[Be]=C1CC=CCOC1,1.04419,29.93792774152475,0,0,[Be]=C1CC=CCOC1,[Be]=C1COC(P)C1,0.2352941176470588,G parameter,True,uncond_mono-min15k-611,cond_mono-isolated_ligands-O4_optimized-uncond_mono-min15k-611,High G parameter,O4,True
4,[Be]=C1N(C)C=CN1Cc1cccnc1,1.29649,30.97246538277893,0,0,[Be]=C1N(C)C=CN1Cc1cccnc1,[Li]<-n1cccc(CP(C)O)c1,0.2068965517241379,G parameter,True,uncond_mono-min15k-6877,cond_mono-isolated_ligands-O4_optimized-uncond_mono-min15k-6877,High G parameter,O4,True
5,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,1.55123,31.02021327391374,0,0,[Be]=C1N(c2cccc(C)c2C)C=CN1C(C)(O)O,[Be]=C1N(c2c(C)cccc2C)C=CN1C(C)(C)O,0.6,G parameter,True,uncond_mono-min15k-14325,cond_mono-isolated_ligands-O4_optimized-uncond_mono-min15k-14325,High G parameter,O4,True
0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,1.0360999999999998,30.2244150883336,0,0,[Li]<-N(C)=C1C2C=CC=CC3C1C(O)C23,[Li]<-N1=C(C)SC2(N)C=CC=CC12,0.2,log P + G parameter,False,uncond_mono-min15k-8040,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-8040,High G parameter,O5,True
1,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,0.98479,34.45010345376412,0,0,[Be]=C1NC(N)=CN1Cc1ccc(F)cc1,[Be]=C1N(C)C=CN1Cc1ccc(C#N)cc1,0.359375,log P + G parameter,False,uncond_mono-min15k-9550,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-9550,High G parameter,O5,True
2,[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0,[Li]<-O=CC(=C)c1ccccc1,[Li]<-O=Cc1ccc(SC)cc1,0.24,log P + G parameter,False,uncond_mono-min15k-3343,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-3343,High G parameter,O5,True
3,[Be]=C1N(C)C=CN1Cc1cccnc1,1.29649,30.97246538277893,0,0,[Be]=C1N(C)C=CN1Cc1cccnc1,[Be]=C1N(C)CCN1C(C)c1ccccc1,0.2424242424242424,log P + G parameter,False,uncond_mono-min15k-6877,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-6877,High G parameter,O5,True
4,[Li]<-O=C(C)Nc1ccc(C)cc1,1.95342,29.26149928378164,0,0,[Li]<-O=C(C)Nc1ccc(C)cc1,[Be]=C1NCCC(N)(CC)N1c1ccc(C)cc1,0.2698412698412698,log P + G parameter,False,uncond_mono-min15k-4752,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-4752,High G parameter,O5,True
5,[Li]<-N(=C(C)C)c1ccc(C)cc1,3.1073200000000014,29.41270093904186,0,0,[Li]<-N(=C(C)C)c1ccc(C)cc1,[Be]=C(NC)c1ccc(C(=O)OC)cc1,0.2280701754385964,log P + G parameter,False,uncond_mono-min15k-4021,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-4021,High G parameter,O5,True
6,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,0.8233900000000001,29.46044883017667,0,0,[Li]<-n1c(C(=O)OCC)cc(C)n1C=N,[Li]<-n1c(C(=O)OCC)c(C)cn1-c1ccccc1,0.3384615384615385,log P + G parameter,False,uncond_mono-min15k-7207,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-7207,High G parameter,O5,True
7,[Be]=C(SC=C(C)OC)N(C)C,1.78519,33.40760783065414,0,0,[Be]=C(SC=C(C)OC)N(C)C,[Be]=C(SCCOC)N(C)C,0.3846153846153846,log P + G parameter,False,uncond_mono-min15k-2627,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-2627,High G parameter,O5,True
8,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,2.30239,32.23778449785135,0,0,[Be]=C1N(CC(C)C)CCN1CC(C)(C)C,[Be]=C1N(C)CCN1c1cccc(C(C)C)c1,0.2388059701492537,log P + G parameter,False,uncond_mono-min15k-9884,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-9884,High G parameter,O5,True
9,[Li]<-O=C(C=C)Nc1cccc(C)c1C,2.4279400000000004,29.635524431004296,0,0,[Li]<-O=C(C=C)Nc1cccc(C)c1C,[Be]=C(NCC=C)c1ccc(C)cc1,0.2333333333333333,log P + G parameter,False,uncond_mono-min15k-7231,cond_mono-isolated_ligands-O5_optimized-uncond_mono-min15k-7231,High G parameter,O5,True
0,[Li]<-O=CC(=C)c1ccccc1,1.8987,31.664809804233645,0,0,[Li]<-O=CC(=C)c1ccccc1,[Be]=C1NCCC(N)(Cc2ccccc2)N1C,0.2258064516129032,log P - G parameter,True,uncond_mono-min15k-3343,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-3343,High G parameter,O6,True
1,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,2.22982,31.55339805825244,0,0,[Li]<-n1ccccc1C(O)(OC)c1ccc(C)cc1,[Be]=C1N(C)c2ccccc2N1C(C)CO,0.2133333333333333,log P - G parameter,True,uncond_mono-min15k-14761,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-14761,High G parameter,O6,True
2,[Li]<-N(=C(C)C)c1ccc(C)cc1,3.1073200000000014,29.41270093904186,0,0,[Li]<-N(=C(C)C)c1ccc(C)cc1,[Be]=C(NN)Nc1cccc(C)c1,0.2264150943396226,log P - G parameter,True,uncond_mono-min15k-4021,cond_mono-isolated_ligands-O6_optimized-uncond_mono-min15k-4021,High G parameter,O6,True
