,Ligand ID,Isomer,Label ID,HOMO-LUMO gap (Eh),Metal center charge,Final single point energy (Eh),log P,G parameter,Atom count,Decoded SMILES,Connection IDs,Encoded SMILES,Coordination environment,Denticity,tmp_lab,sampling_region,input_smiles,optimized_smiles,tanimoto_similarity,isomer_prediction,optimization_direction,minimize
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,,0.14705882352941177,cis,homo_lumo_gap,False
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,C1=CC23CS4->[Ir]<-S(CC2C4)C3CC1,0.3064516129032258,trans,homo_lumo_gap,True
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,C1=CC23CS4->[Ir]<-S(CC2C4)C3CC1,0.3064516129032258,cis,both,False
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,,0.10344827586206896,trans,both,True
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,C1=CC23CS4->[Ir]<-S(CC2C4)C3CC1,0.3064516129032258,trans,charge,False
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,C1=CC23CS4->[Ir]<-S(CC2C4)C3c2ccccc21,0.19230769230769232,cis,charge,True
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,C1=CC2C=CC3S4->[Ir]<-S5CC(C4)C3(C5)C2c2ccccc21,0.17142857142857143,cis,both_opposite,False
4443,uncond_bi-min10k-4640,0,4530,0.153909,-0.0148355870354623,-2553.493406137562,3.191300000000002,44.278211045678816,29,C1=CCC2(CC1)SCC1CSCC12,"[6, 10]",C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,"['S([C])([C])', 'S([C])([C])']",1,uncond_bi-min10k-4640-cis,Low metal center charge,C1=CCC2(CC1)C1CS3->[Ir]<-S2CC1C3,,0.11290322580645161,trans,both_opposite,True
3204,uncond_bi-min10k-3170,0,3280,0.16386,0.094673485684127,-2240.36845384961,1.3886999999999996,39.67849753302563,27,CC(C)C1(P)N=CN(C)C1P,"[4, 10]",CC(C)C12N=CN(C)C1P->[Ir]<-P2,"['P([C])', 'P([C])']",1,uncond_bi-min10k-3170-cis,High HOMO-LUMO gap (eV),CC(C)C12N=CN(C)C1P->[Ir]<-P2,CC(C)C1N=CN2->[Ir]<-NCC12,0.16363636363636364,cis,homo_lumo_gap,False
3204,uncond_bi-min10k-3170,0,3280,0.16386,0.094673485684127,-2240.36845384961,1.3886999999999996,39.67849753302563,27,CC(C)C1(P)N=CN(C)C1P,"[4, 10]",CC(C)C12N=CN(C)C1P->[Ir]<-P2,"['P([C])', 'P([C])']",1,uncond_bi-min10k-3170-cis,High HOMO-LUMO gap (eV),CC(C)C12N=CN(C)C1P->[Ir]<-P2,CC(C)C1=NC23C=CC=CC2(P->[Ir]<-P3)N1C,0.15942028985507245,cis,homo_lumo_gap,True
