Original ligand ID,Original isomer,Optimized ligand ID,Optimized isomer,Sampling region,Optimization objective,Minimization,Original encoded SMILES,Optimized encoded SMILES,Tanimoto similarity,Optimized metal center charge,Optimized HOMO-LUMO gap (eV),Optimized XYZ,Optimized final single point energy (Eh),Original log P,Optimized log P,Original G parameter,Optimized G parameter
uncond_bi-min10k-7985,trans,cond_bi-isolated_ligands-O2_optimized-uncond_bi-min10k-7985,trans,High log P,G parameter,False,Cc1cccn2->[Ir]<-n3c(-c4ccccc4)cccc3-c12,Cc1cccc2n1->[Ir]<-SC(c1ccccc1)C2S,0.3373493975903614,0.34722828639211784,3.2764141723344316,"65
cond_bi-isolated_ligands-O2_optimized-uncond_bi-min10k-7985-trans
Ir 0.714229 -0.69658 -1.175702
C -2.347509 1.63304 3.613441
C -2.046247 2.333912 2.32968
C -1.804571 3.707542 2.194692
C -1.573963 4.251537 0.922211
C -1.609243 3.435291 -0.218557
C -1.857377 2.06883 -0.063438
C -2.051514 1.079234 -1.180068
S -1.498882 -0.616185 -0.632568
C -3.561112 1.009522 -1.608766
S -3.878935 2.526955 -2.616192
C -4.489605 0.81892 -0.423448
C -5.01802 1.910821 0.295918
C -5.772134 1.702995 1.459792
C -6.0118 0.397866 1.922638
C -5.503968 -0.696071 1.204627
C -4.750674 -0.488128 0.038672
N -2.03577 1.591897 1.194513
H -1.793263 0.675932 3.68655
H -3.430368 1.387264 3.656037
H -2.098359 2.267261 4.482473
H -1.792866 4.340345 3.092617
H -1.372233 5.328294 0.818129
H -1.457438 3.8467 -1.2248
H -1.452143 1.392806 -2.058221
H -2.124755 0.546294 1.228146
H -3.633116 0.132941 -2.283204
H -5.21921 2.327611 -2.758684
H -4.840153 2.931181 -0.077913
H -6.190158 2.565847 2.000671
H -6.615333 0.233274 2.828206
H -5.707782 -1.722411 1.545758
H -4.355444 -1.349368 -0.520463
C 3.666439 0.767852 -2.774654
C 3.658593 -0.70966 -2.531774
C 4.705211 -1.576219 -2.904518
C 4.616882 -2.94959 -2.64202
C 3.478013 -3.477186 -2.004767
C 2.472809 -2.578799 -1.652067
C 1.131658 -2.719981 -0.968712
S 1.662105 0.548466 0.419609
C 1.170719 -3.21825 0.477548
S 1.672812 -5.01157 0.536305
C -0.092842 -2.965871 1.269864
C -1.349179 -3.422867 0.822952
C -2.508607 -3.180583 1.572452
C -2.432915 -2.477815 2.785139
C -1.184298 -2.025938 3.243572
C -0.025538 -2.263528 2.488262
N 2.578059 -1.2478 -1.921367
H 4.593147 1.088723 -3.283593
H 3.576092 1.321432 -1.817153
H 2.796694 1.061024 -3.398336
H 5.590489 -1.158243 -3.404699
H 5.439816 -3.617423 -2.937651
H 3.367605 -4.545044 -1.775617
H 0.394899 -3.29055 -1.582334
H 0.663789 0.546983 1.364224
H 2.016172 -2.719642 0.991829
H 0.513392 -5.495645 0.007384
H -1.431326 -3.977539 -0.125322
H -3.479252 -3.549203 1.207789
H -3.341939 -2.300442 3.379649
H -1.103632 -1.51395 4.215718
H 0.95172 -1.909325 2.851996",-2890.142346913026,4.119020000000004,4.032020000000003,43.09247174916441,24.66178577112844
uncond_bi-min10k-110,cis,cond_bi-isolated_ligands-O5_optimized-uncond_bi-min10k-110,cis,Low G parameter,log P + G parameter,False,Cc1ccc2n(->[Ir]<-O=C2)c1,Cc1cccnc1C1=O->[Ir]<-n2ccccc21,0.2459016393442623,0.3994405478163469,3.6750881922244005,"51
cond_bi-isolated_ligands-O5_optimized-uncond_bi-min10k-110-cis
Ir 0.345459 -0.384701 0.302767
C -4.795256 -0.379114 1.411009
C -4.089022 0.488795 2.415793
C -4.804693 1.008665 3.514966
C -4.175851 1.845988 4.437978
C -2.81985 2.180152 4.234446
N -2.115158 1.721227 3.204905
C -2.722805 0.881603 2.333097
C -1.830662 0.440467 1.252194
O -0.883174 1.197063 0.838661
C -1.764384 -0.904466 0.618561
C -1.396567 -0.939662 -0.802557
C -1.531322 -2.222548 -1.448023
C -1.930049 -3.315892 -0.715118
C -2.262553 -3.149938 0.674565
N -2.20568 -2.007075 1.321035
H -5.874827 -0.135805 1.38214
H -4.696781 -1.448066 1.689435
H -4.394323 -0.268121 0.38599
H -5.870055 0.755616 3.631111
H -4.725631 2.250514 5.300945
H -2.293522 2.848353 4.938091
H -1.515523 -0.041541 -1.436682
H -1.340832 -2.297722 -2.529284
H -2.053696 -4.302719 -1.184694
H -2.623389 -4.023169 1.248611
C 3.991358 2.417722 -0.892191
C 4.617605 1.136004 -1.355254
C 5.832319 1.146207 -2.071618
C 6.422884 -0.051776 -2.481714
C 5.784264 -1.271538 -2.166925
N 4.630638 -1.3214 -1.510781
C 4.059913 -0.157506 -1.117595
C 2.804543 -0.35743 -0.408276
O 2.219628 0.541158 0.291948
C 2.016494 -1.622911 -0.413915
C 1.547254 -2.062412 0.902216
C 1.053154 -3.41653 0.968251
C 1.00352 -4.176582 -0.176143
C 1.453826 -3.609397 -1.42067
N 1.948973 -2.400852 -1.551751
H 2.923966 2.487026 -1.183118
H 4.005258 2.491885 0.21448
H 4.531102 3.28943 -1.306717
H 6.312528 2.109731 -2.301922
H 7.37168 -0.050536 -3.039044
H 6.232687 -2.235229 -2.464037
H 1.988493 -1.645603 1.826562
H 0.761787 -3.831359 1.945068
H 0.65938 -5.22114 -0.151843
H 1.404996 -4.222976 -2.339188",-1399.208606667925,1.20252,2.01602,33.7020531593188,40.1082285532389
uncond_bi-min10k-597,cis,cond_bi-isolated_ligands-O8_optimized-uncond_bi-min10k-597,trans,Low G parameter,log P - G parameter,False,ON1->[Ir]<-N2=C(OC(C(F)(F)F)C2)C=1C(F)(F)F,CC(F)(F)C12COC=N1->[Ir]<-n1[nH]c(C(F)(F)F)cc12,0.2837837837837837,0.48071597395163856,3.1682217006203834,"53
cond_bi-isolated_ligands-O8_optimized-uncond_bi-min10k-597-trans
Ir 0.27991 0.567503 0.988114
C 0.565426 4.442028 5.75862
C 1.455662 4.346842 4.538332
F 0.908133 5.091715 3.519868
F 2.685482 4.873821 4.816924
C 1.697491 2.901543 3.973408
C 0.403067 2.352127 3.452408
C -0.053675 2.528785 2.090364
C -1.315093 1.84778 2.098401
C -2.30825 1.843152 0.974353
F -1.513036 1.406683 -0.175361
F -3.285352 0.964358 1.112267
F -2.786583 3.023633 0.639367
N -1.502222 1.331473 3.345778
N -0.449144 1.617627 4.157633
C 2.427299 1.984396 5.002285
O 3.66416 1.645832 4.336317
C 3.640438 2.288935 3.154801
N 2.62364 2.999671 2.829197
H 0.481018 5.508049 6.042716
H -0.443035 4.044852 5.541894
H 0.994931 3.885192 6.612257
H 0.304195 3.308328 1.401992
H -1.984126 0.373542 3.541802
H 1.87024 1.055203 5.225937
H 2.679096 2.506327 5.94547
H 4.534728 2.140342 2.528549
C -3.167182 -4.000929 1.434267
C -3.150239 -2.79708 2.349464
F -4.061242 -2.958706 3.356189
F -3.541232 -1.676991 1.637837
C -1.779407 -2.469076 3.023965
C -0.704052 -2.222082 1.984526
C -0.777063 -1.32415 0.829401
C 0.532046 -1.510494 0.208374
C 1.062345 -0.453034 -0.637709
F 1.612598 0.047807 2.264634
F 2.381944 -0.395578 -0.804019
F 0.426381 -0.145425 -1.775201
N 1.211556 -2.390251 1.005654
N 0.476867 -2.806794 2.058525
C -1.387454 -3.569506 4.059127
O -1.400851 -2.879983 5.335554
C -1.725314 -1.619246 5.082961
N -1.954382 -1.256325 3.865437
H -4.195877 -4.133535 1.049039
H -2.874209 -4.919513 1.976509
H -2.480765 -3.857416 0.57881
H -1.716416 -1.105173 0.300711
H 2.207525 -2.620389 0.962664
H -2.12282 -4.393208 4.118674
H -0.372114 -3.972955 3.892548
H -1.764065 -0.946615 5.955249",-2275.675517427305,1.7385,2.3375000000000004,34.40235556262931,40.888110775107435
uncond_bi-min10k-5146,cis,cond_bi-isolated_ligands-O2_optimized-uncond_bi-min10k-5146,trans,Low G parameter,G parameter,False,CCOC(=O)c1c(C)[nH]n2->[Ir]<-n3ccccc3-c12,CCOC1(C)C=N->[Ir]<-n2[nH]cc(C)c21,0.2,0.33918734410154283,3.8643433835652483,"57
cond_bi-isolated_ligands-O2_optimized-uncond_bi-min10k-5146-trans
Ir -0.46072 0.18374 0.529439
C -6.41119 -2.246922 1.208267
C -5.584414 -1.595924 0.115519
O -4.22357 -1.582553 0.555751
C -3.25421 -0.875138 -0.230105
C -3.429945 -1.02669 -1.748036
C -3.314689 0.583255 0.142398
N -2.217482 1.165693 0.524267
C -1.901015 -1.446995 0.219406
N -1.400602 -2.507129 -0.522584
N -0.655398 -3.184665 0.336248
C -0.622018 -2.705629 1.602737
C -1.432185 -1.526639 1.618107
C -2.088351 -1.0436 2.88956
H -6.049978 -3.275326 1.406478
H -7.474875 -2.304608 0.904649
H -6.346586 -1.669498 2.151623
H -5.681282 -2.162991 -0.83792
H -5.951177 -0.55977 -0.083548
H -2.576326 -0.548694 -2.265581
H -4.366191 -0.55361 -2.099887
H -3.431338 -2.099972 -2.015507
H -4.269518 1.135083 0.080761
H -2.32634 2.170517 0.726886
H -0.165947 -4.020086 -0.002993
H -0.114663 -3.238023 2.415855
H -1.32781 -0.815177 3.66218
H -2.767126 -1.827437 3.284302
H -2.692375 -0.135231 2.730269
C 6.069452 1.473958 -0.483775
C 4.622639 1.242601 -0.095856
O 3.85176 1.145068 -1.300386
C 2.464979 0.882572 -1.137444
C 1.891314 0.707812 -2.559783
C 2.302597 -0.439944 -0.404936
N 1.262983 -0.793322 0.282604
C 1.775763 2.046396 -0.441158
N 0.660621 1.870587 0.303614
N 0.29869 3.099306 0.742119
C 1.156014 4.055331 0.296153
C 2.118384 3.430059 -0.497823
C 3.236049 4.104953 -1.233403
H 6.178038 2.412038 -1.063522
H 6.447422 0.640815 -1.108182
H 6.703831 1.549442 0.420978
H 4.239673 2.070278 0.546238
H 4.521839 0.306862 0.504677
H 0.80765 0.488136 -2.503715
H 2.413749 -0.119323 -3.078225
H 2.051503 1.640438 -3.134474
H 3.130789 -1.15481 -0.565161
H 1.322941 -1.753314 0.657325
H -0.403815 3.177606 1.47843
H 1.02869 5.108593 0.57021
H 3.402375 3.655672 -2.229464
H 4.195658 4.023199 -0.68312
H 3.020873 5.182448 -1.363269",-1286.221423360323,1.95682,1.6193899999999999,34.2989017985039,45.05013528569155
uncond_bi-min10k-4730,cis,cond_bi-isolated_ligands-O3_optimized-uncond_bi-min10k-4730,trans,High log P,log P,True,c1ccc(NC2=S->[Ir]<-S=C2Nc2ccccc2)cc1,Nc1cccc(NC2=O->[Ir]<-n3ccccc32)c1,0.2891566265060241,0.37727940286874845,2.851562798875821,"55
cond_bi-isolated_ligands-O3_optimized-uncond_bi-min10k-4730-trans
Ir 0.079216 0.059024 -0.510827
N -5.900099 2.824795 -5.608366
C -4.997429 2.966358 -4.585488
C -4.440717 4.235502 -4.271355
C -3.496837 4.365339 -3.250996
C -3.059469 3.263269 -2.499906
C -3.605295 2.004253 -2.81453
N -3.229247 0.825732 -2.122672
C -2.262959 0.616359 -1.23302
O -1.434656 1.490207 -0.769601
C -1.933305 -0.765545 -0.790287
C -1.493153 -0.946937 0.598284
C -1.256846 -2.313803 0.983698
C -1.437302 -3.331809 0.068611
C -1.966264 -3.027749 -1.227305
N -2.223288 -1.802749 -1.644394
C -4.562828 1.849889 -3.833031
H -6.432207 1.96192 -5.699079
H -6.326955 3.655906 -6.012471
H -4.763144 5.121241 -4.839426
H -3.088544 5.361936 -3.025625
H -2.325809 3.374758 -1.694616
H -3.687827 -0.049036 -2.41062
H -1.752543 -0.215094 1.38176
H -0.96168 -2.53524 2.020579
H -1.254277 -4.3802 0.345636
H -2.206912 -3.849226 -1.925124
H -4.971597 0.851177 -4.054129
N 3.637654 -5.524385 -2.229544
C 4.178657 -4.281295 -2.440477
C 5.357661 -4.126305 -3.217659
C 5.929113 -2.864998 -3.398131
C 5.358587 -1.722722 -2.821379
C 4.186899 -1.874112 -2.053746
N 3.645424 -0.69371 -1.487633
C 2.521558 -0.485121 -0.808792
O 1.628276 -1.363072 -0.496767
C 2.099206 0.900019 -0.460056
C 1.433279 1.103677 0.831483
C 1.122719 2.474255 1.143219
C 1.435824 3.475558 0.245781
C 2.173137 3.152755 -0.939501
N 2.513585 1.923828 -1.278136
C 3.593173 -3.131367 -1.855516
H 3.959186 -6.311021 -2.789674
H 2.706315 -5.607693 -1.829221
H 5.824915 -5.012298 -3.67362
H 6.842974 -2.767655 -4.002465
H 5.811239 -0.730481 -2.964617
H 4.143647 0.181776 -1.696255
H 1.559474 0.387902 1.660734
H 0.660724 2.712568 2.113294
H 1.194927 4.526264 0.463119
H 2.513089 3.963084 -1.608336
H 2.685598 -3.221979 -1.245731",-1509.922681212421,3.865400000000001,1.9161,36.20085946204043,40.1639344262295
uncond_bi-min10k-9185,cis,cond_bi-isolated_ligands-O1_optimized-uncond_bi-min10k-9185,cis,Center,log P,False,C1=NCC2(N->[Ir]<-n3cc4ccccc4cc32)c2ccncc21,ClC1=CC=CC23C=Nc4ccccc4C24Cc2ccccc2C=N4->[Ir]<-N13,0.2543859649122807,0.3498433396723939,2.7615747445603387,"83
cond_bi-isolated_ligands-O1_optimized-uncond_bi-min10k-9185-cis
Ir -0.036407 -0.029656 -0.053946
Cl -1.114166 -3.388197 -1.254859
C -1.94926 -1.866257 -1.262276
C -2.614764 -1.419129 -2.351774
C -3.315723 -0.153184 -2.271967
C -3.4788 0.474672 -1.084001
C -3.026563 -0.144258 0.212333
C -4.148345 -0.931528 0.904629
N -4.080529 -1.291585 2.137472
C -2.971149 -0.895822 2.90776
C -2.733025 -1.575747 4.120444
C -1.650283 -1.215545 4.929834
C -0.813868 -0.154682 4.545591
C -1.050573 0.537383 3.346865
C -2.112907 0.167304 2.513249
C -2.46173 0.900624 1.220279
C -3.503625 2.004336 1.538204
C -2.874988 3.236127 2.125142
C -3.502948 4.056136 3.068085
C -2.910208 5.270732 3.458083
C -1.686489 5.676544 2.897853
C -1.041564 4.857662 1.964372
C -1.622273 3.625384 1.5866
C -0.926932 2.707694 0.709586
N -1.224614 1.432171 0.568865
N -1.853999 -1.110127 -0.0362
H -2.590766 -2.004057 -3.278676
H -3.716475 0.288731 -3.19562
H -4.032193 1.420638 -1.032928
H -5.028976 -1.224054 0.301631
H -3.420579 -2.388185 4.396476
H -1.46421 -1.754129 5.870729
H 0.030493 0.140878 5.185981
H -0.39003 1.365486 3.053885
H -4.283464 1.58858 2.20482
H -4.017534 2.318568 0.60567
H -4.472828 3.754538 3.492981
H -3.413706 5.909729 4.198655
H -1.233867 6.633522 3.196411
H -0.073518 5.157589 1.532965
H -0.013806 3.052026 0.197342
H -1.79963 -1.761764 0.769249
Cl 0.12688 -2.758856 1.96557
C 1.469651 -1.883757 1.271876
C 2.598686 -1.668694 1.998164
C 3.824882 -1.311047 1.319891
C 3.875479 -1.144919 -0.02469
C 2.659242 -1.187829 -0.902298
C 2.842883 -2.167196 -2.062797
N 2.175089 -2.117099 -3.160178
C 1.268903 -1.070976 -3.376424
C 0.381892 -1.184984 -4.469497
C -0.495238 -0.143019 -4.779894
C -0.473927 1.039468 -4.015488
C 0.400159 1.161825 -2.928148
C 1.250236 0.09697 -2.566576
C 2.312823 0.246385 -1.474948
C 3.528342 0.994133 -2.064877
C 4.380331 1.713347 -1.051881
C 5.723962 2.030398 -1.2811
C 6.450438 2.782196 -0.339618
C 5.833807 3.232164 0.839719
C 4.490633 2.921597 1.080904
C 3.761162 2.158023 0.143855
C 2.392204 1.767493 0.416788
N 1.695031 0.932455 -0.310029
N 1.378314 -1.640281 -0.146615
H 2.58214 -1.85745 3.078249
H 4.748744 -1.244001 1.91359
H 4.834523 -0.98076 -0.534755
H 3.572877 -2.987217 -1.918023
H 0.427364 -2.106559 -5.067392
H -1.176869 -0.233822 -5.638867
H -1.139642 1.876429 -4.273148
H 0.420174 2.095441 -2.346384
H 3.13218 1.748714 -2.7793
H 4.125226 0.291979 -2.682121
H 6.213351 1.690482 -2.207207
H 7.5072 3.020297 -0.532275
H 6.404143 3.823269 1.571007
H 3.998773 3.256333 2.007657
H 1.899269 2.150678 1.327013
H 0.968081 -2.464877 -0.624738",-2971.039909324501,2.2646000000000006,4.251400000000004,37.37864077669902,45.71860576157887
uncond_bi-min10k-9703,trans,cond_bi-isolated_ligands-O3_optimized-uncond_bi-min10k-9703,cis,High log P,log P,True,Cc1ccc2n(->[Ir]<-N(c3cccc(C)c3C)C2)c1,Cc1ccc2n(->[Ir]<-N(C(C)C)C2)c1,0.45,0.20523293894690828,4.917505665443722,"57
cond_bi-isolated_ligands-O3_optimized-uncond_bi-min10k-9703-cis
Ir -0.524923 0.281596 0.354514
C -0.914088 4.133016 -3.810775
C -1.482978 3.607229 -2.521946
C -2.667631 4.121438 -1.959898
C -3.146672 3.603207 -0.751418
C -2.438815 2.574906 -0.116337
C -2.832786 2.031022 1.234498
N -2.45517 0.606204 1.386515
C -3.38236 -0.433677 0.804521
C -4.868926 -0.135422 0.987556
C -3.003366 -0.694167 -0.657725
N -1.307636 2.057924 -0.663044
C -0.843634 2.564649 -1.828159
H -1.588418 3.910894 -4.664019
H -0.794431 5.234813 -3.774941
H 0.072459 3.683427 -4.031435
H -3.214354 4.932649 -2.465603
H -4.064459 3.999759 -0.292797
H -2.26332 2.590101 2.00796
H -3.90875 2.2119 1.433701
H -2.351607 0.411126 2.389598
H -3.132884 -1.351197 1.37673
H -5.463965 -1.019232 0.684522
H -5.209079 0.715722 0.363658
H -5.118182 0.079831 2.046317
H -1.918274 -0.993896 -0.753088
H -3.563498 -1.564775 -1.052883
H -3.202104 0.170983 -1.318719
H 0.113788 2.144475 -2.18352
C 5.317828 3.847313 -0.739116
C 4.247185 2.794704 -0.664276
C 4.252703 1.792035 0.328199
C 3.241384 0.827202 0.355503
C 2.237804 0.881735 -0.63218
C 1.109392 -0.106152 -0.644011
N 1.277083 -1.22789 -1.341775
C 2.436383 -1.798008 -2.087478
C 3.357537 -2.560346 -1.126736
C 3.1931 -0.804905 -2.970002
N 2.201488 1.83943 -1.57456
C 3.176753 2.760855 -1.580506
H 6.313083 3.393124 -0.925957
H 5.396523 4.410024 0.213744
H 5.120396 4.574408 -1.549896
H 5.054117 1.770381 1.083803
H 3.217753 0.04674 1.130233
H 0.404238 1.028612 1.34538
H -0.173485 -1.019627 1.223952
H 0.502368 -1.895311 -1.249014
H 1.954755 -2.537401 -2.762165
H 3.874378 -1.859439 -0.4416
H 4.129467 -3.110643 -1.700132
H 2.797109 -3.296255 -0.516576
H 2.503798 -0.159589 -3.546159
H 3.814302 -1.379398 -3.685051
H 3.873796 -0.15502 -2.38895
H 3.111715 3.532599 -2.368971",-1103.849989646676,3.618960000000002,1.88802,38.50867420022283,40.05252268024829
uncond_bi-min10k-3092,trans,cond_bi-isolated_ligands-O6_optimized-uncond_bi-min10k-3092,cis,Center,log P - G parameter,True,CC(=O)C1=CCN2->[Ir]<-n3ccccc3C2=C1,CC(=O)CN1->[Ir]<-n2ccccc2C1[SeH],0.3492063492063492,0.369426885010419,4.606887691445768,"51
cond_bi-isolated_ligands-O6_optimized-uncond_bi-min10k-3092-cis
Ir -0.457816 -0.538551 -0.379056
C -0.038954 4.565594 -0.655988
C -0.677182 3.424537 0.075826
O -0.595155 3.26198 1.28999
C -1.434883 2.393533 -0.759084
N -1.563745 1.178329 0.043849
C -2.420095 0.038493 -0.343442
Se -3.61932 0.181896 -1.841491
C -2.80446 -0.748725 0.874464
C -4.061792 -1.091952 1.377633
C -4.116243 -1.898721 2.527954
C -2.925533 -2.33195 3.128027
C -1.700643 -1.959279 2.550469
N -1.647905 -1.193432 1.450238
H 0.131408 5.420329 0.023515
H 0.947214 4.192006 -1.013467
H -0.619959 4.875578 -1.546609
H -0.919287 2.188929 -1.715497
H -2.436998 2.813324 -1.013476
H -1.602381 1.471048 1.041059
H -0.013195 0.009294 -1.797187
H -4.773932 0.797194 -1.114052
H -4.974462 -0.750324 0.869813
H -5.088867 -2.189349 2.952606
H -2.938883 -2.962665 4.028149
H -0.739952 -2.297343 2.971343
C 2.493526 2.713868 1.876705
C 2.264124 1.697967 0.794833
O 2.189153 1.978053 -0.396129
C 2.127748 0.242296 1.234801
N 1.718749 -0.600652 0.105959
C 2.148519 -2.003012 0.221245
Se 4.125798 -2.247844 0.067925
C 1.326454 -2.89075 -0.695189
C 1.739931 -4.156407 -1.131664
C 0.87625 -4.938572 -1.908056
C -0.387411 -4.426555 -2.23538
C -0.743298 -3.159341 -1.77333
N 0.091166 -2.405218 -1.012423
H 3.088496 3.558643 1.482518
H 1.497389 3.110936 2.174766
H 2.977027 2.282301 2.774251
H 1.406123 0.152868 2.073932
H 3.132052 -0.06837 1.615037
H 2.114033 -0.150663 -0.740581
H 1.952717 -2.321273 1.268709
H 4.124351 -1.927664 -1.384549
H 2.744097 -4.510172 -0.858216
H 1.189706 -5.933769 -2.25551
H -1.100172 -4.997327 -2.846836
H -1.718428 -2.704132 -1.99831",-5975.796063197427,1.5411,0.15959999999999963,37.44230463154545,53.19115072417635
uncond_bi-min10k-720,cis,cond_bi-isolated_ligands-O4_optimized-uncond_bi-min10k-720,trans,Low log P,G parameter,True,COC(=O)C1N->[Ir]<-[SeH]CC1[SeH],COC(=O)C1CN->[Ir]<-[Se](C)C1,0.2765957446808511,0.3298818628035765,3.91125581345333,"47
cond_bi-isolated_ligands-O4_optimized-uncond_bi-min10k-720-trans
Ir -0.004874 -0.087083 -1.088342
C -5.865823 -2.40517 0.3228
O -4.783158 -1.861401 -0.46153
C -4.200619 -0.758141 0.03139
O -4.508867 -0.203702 1.069144
C -3.036903 -0.316613 -0.864521
C -2.739919 1.164753 -0.62518
N -1.391612 1.518083 -1.164483
C -1.785064 -1.157872 -0.594786
Se -1.020572 -0.846761 1.187076
C -0.148157 -2.570888 1.52712
H -6.685362 -1.66569 0.41204
H -5.513995 -2.669013 1.33943
H -6.210184 -3.302831 -0.218395
H -3.323716 -0.509933 -1.920173
H -3.51922 1.818658 -1.064087
H -2.745536 1.353377 0.468238
H -1.469436 1.798092 -2.15239
H -1.022654 2.343286 -0.668286
H -1.927735 -2.233855 -0.801765
H -0.655263 -0.674799 -2.439859
H 0.916618 -2.379914 1.756974
H -0.640621 -3.026608 2.405667
H -0.269195 -3.240784 0.655312
C 5.738155 2.540256 0.171745
O 4.628942 1.941097 -0.525461
C 4.217756 0.755145 -0.050598
O 4.743599 0.142263 0.861417
C 2.964057 0.280818 -0.784489
C 2.744064 -1.203417 -0.519808
N 1.468168 -1.610068 -1.186556
C 1.692553 1.066601 -0.375352
Se 1.739467 1.357687 1.605976
C 0.206264 2.561802 1.710612
H 6.610402 1.857901 0.176587
H 5.453492 2.762677 1.219353
H 5.973136 3.470668 -0.373134
H 3.125469 0.45628 -1.870852
H 3.583677 -1.83513 -0.872527
H 2.64166 -1.364358 0.57131
H 1.646849 -1.781324 -2.187062
H 1.148798 -2.516167 -0.815251
H 1.749005 2.08728 -0.803757
H 0.681733 0.536729 -2.387119
H -0.752562 2.022388 1.562168
H 0.203458 2.99467 2.728775
H 0.316041 3.391013 0.982634",-5789.46805254764,-1.5049000000000003,-0.09510000000000018,36.72608626452332,53.83574725449626
uncond_bi-min10k-6811,cis,cond_bi-isolated_ligands-O6_optimized-uncond_bi-min10k-6811,cis,Center,log P - G parameter,True,C(c1cccc2c1OCO2)=N1->[Ir]<-O=C(c2ccccc2)N1,CN1C=S->[Ir]<-N1=Cc1cccc2c1OCO2,0.4102564102564102,0.22128073279311522,2.665436916953262,"51
cond_bi-isolated_ligands-O6_optimized-uncond_bi-min10k-6811-cis
Ir -0.177423 -0.286761 -0.114424
C -3.902147 -2.120908 1.214118
N -2.833314 -1.203851 0.837311
C -2.928883 0.130237 1.051361
S -1.758351 1.204587 0.514552
N -1.748145 -1.632215 0.070778
C -1.864562 -2.797751 -0.54846
C -0.915122 -3.299501 -1.509984
C -0.118396 -2.484931 -2.379225
C 0.817368 -3.047835 -3.250672
C 1.00948 -4.44962 -3.334519
C 0.185153 -5.243176 -2.540636
C -0.767086 -4.688686 -1.673675
O -1.392681 -5.683432 -0.97957
C -0.988366 -6.904751 -1.636813
O 0.177839 -6.605003 -2.403776
H -3.47227 -3.017056 1.704452
H -4.556183 -1.603392 1.93657
H -4.509278 -2.425243 0.336074
H -3.813245 0.474095 1.607929
H -2.720513 -3.448582 -0.314349
H -0.296361 -1.395463 -2.366923
H 1.390918 -2.389589 -3.919938
H 1.741094 -4.899819 -4.019586
H -0.751977 -7.673008 -0.873971
H -1.812069 -7.245962 -2.308249
C 3.691637 -2.071823 -1.034072
N 2.582945 -1.159693 -0.787756
C 2.634729 0.149542 -1.129026
S 1.387321 1.21338 -0.795908
N 1.471017 -1.557375 -0.038088
C 1.571706 -2.676296 0.656898
C 0.564385 -3.105071 1.611455
C 0.115108 -4.459574 1.63454
C -0.922187 -4.8717 2.469577
C -1.549288 -3.973225 3.372615
C -1.061043 -2.672933 3.401971
C -0.011935 -2.247283 2.564803
O 0.313112 -0.963443 2.856612
C -0.514892 -0.578544 3.96935
O -1.477186 -1.621081 4.168653
H 4.398921 -1.576657 -1.721418
H 3.317853 -2.997398 -1.516644
H 4.227841 -2.325757 -0.095847
H 3.5463 0.480902 -1.649216
H 2.434906 -3.341119 0.493436
H 0.564682 -5.172428 0.929708
H -1.26388 -5.915817 2.43157
H -2.357936 -4.293059 4.044184
H -1.032985 0.372316 3.725975
H 0.122185 -0.46733 4.876806",-2193.408463852539,2.1792,1.6381999999999999,39.21693458538915,43.617698551647294
